merge_edge_id,scene,from_tracklet_candidate_id,to_tracklet_candidate_id,from_frame_start,from_frame_end,to_frame_start,to_frame_end,temporal_relation,temporal_offset_frames,forward_gap_frames,overlap_or_interleave_offset_frames,frame_gap,frame_overlap_count,from_detection_count,to_detection_count,endpoint_center_distance_px,motion_predicted_center_distance_px,bridge_iou_proxy,area_ratio_endpoint,aspect_ratio_endpoint,bottom_y_delta_px,class_consistent,confidence_bridge_min,from_boundary_contact_count,to_boundary_contact_count,from_neighbor_ambiguity_count,to_neighbor_ambiguity_count,shape_transition_proxy,partial_to_full_box_transition_proxy,competing_merge_count_from,competing_merge_count_to,merge_candidate_score_not_selector,merge_candidate_status,merge_policy
oty1_tracklet_0039__oty1_tracklet_0045,GM_RM019,oty1_tracklet_0039,oty1_tracklet_0045,162,172,171,183,overlap_or_interleave,-1,0,-1,-1,1,8,13,80.151171039759,80.151171039759,0.541249116302846,0.6950541452364177,0.48056218334963036,123.60043334960938,True,0.2549740970134735,6,11,6,1,area_transition_review,partial_to_full_box_transition_review,3,2,0.6807770449052162,partial_to_full_box_transition_candidate,oty1a_runtime_optical_geometry_only_candidate_not_confirmed_identity
oty1_tracklet_0002__oty1_tracklet_0003,GM_RM019,oty1_tracklet_0002,oty1_tracklet_0003,0,2,1,1,overlap_or_interleave,-1,0,-1,-1,1,3,1,16.827036456939332,16.827036456939332,0.7142771772943258,0.7607870959190751,0.8699701315028344,19.40899658203125,True,0.30715277791023254,1,0,3,1,stable_or_minor_shape_change,not_indicated,1,2,0.845276945245648,ambiguous_competing_merge,oty1a_runtime_optical_geometry_only_candidate_not_confirmed_identity
oty1_tracklet_0025__oty1_tracklet_0027,GM_RM019,oty1_tracklet_0025,oty1_tracklet_0027,77,80,77,77,overlap_or_interleave,-3,0,-3,-3,1,4,1,3.563856422076751,3.563856422076751,0.6563360545864594,0.7119644629440423,0.7803889336826507,3.50042724609375,True,0.26318439841270447,0,0,3,1,area_transition_review,not_indicated,4,7,0.829741186402803,overlap_shape_transition_candidate,oty1a_runtime_optical_geometry_only_candidate_not_confirmed_identity
oty1_tracklet_0040__oty1_tracklet_0043,GM_RM019,oty1_tracklet_0040,oty1_tracklet_0043,164,165,167,167,forward_gap,2,2,,2,0,2,1,125.46103191547762,71.22192326533906,0.6846999247502105,0.9913221241659768,0.9955528754729083,0.140594482421875,True,0.2528480589389801,2,1,2,0,stable_or_minor_shape_change,not_indicated,1,2,0.8188572679148796,ambiguous_competing_merge,oty1a_runtime_optical_geometry_only_candidate_not_confirmed_identity
oty1_tracklet_0015__oty1_tracklet_0020,GM_RM019,oty1_tracklet_0015,oty1_tracklet_0020,50,62,62,66,overlap_or_interleave,0,0,0,0,1,11,4,9.098824555368784,9.098824555368784,0.5796531603967716,0.6014909485557028,0.8260804586877679,4.141815185546875,True,0.2675548493862152,0,0,3,1,area_transition_review,not_indicated,3,4,0.8044828722127638,overlap_shape_transition_candidate,oty1a_runtime_optical_geometry_only_candidate_not_confirmed_identity
oty1_tracklet_0008__oty1_tracklet_0009,GM_RM019,oty1_tracklet_0008,oty1_tracklet_0009,22,25,24,28,overlap_or_interleave,-1,0,-1,-1,2,4,5,88.45721707930585,88.45721707930585,0.6864626662534487,0.7383655866800416,0.8318167792483592,29.990997314453125,True,0.27278876304626465,2,3,2,5,area_transition_review,partial_to_full_box_transition_review,1,2,0.7837798121017734,partial_to_full_box_transition_candidate,oty1a_runtime_optical_geometry_only_candidate_not_confirmed_identity
oty1_tracklet_0038__oty1_tracklet_0045,GM_RM019,oty1_tracklet_0038,oty1_tracklet_0045,147,164,171,183,forward_gap,7,7,,7,0,18,13,47.47003241894134,516.3645945160494,0.8183865290611418,0.9759340421500082,0.9202331087129121,0.1319580078125,True,0.25009825825691223,14,11,2,1,stable_or_minor_shape_change,not_indicated,2,2,0.7450758169112818,ambiguous_competing_merge,oty1a_runtime_optical_geometry_only_candidate_not_confirmed_identity
oty1_tracklet_0011__oty1_tracklet_0014,GM_RM019,oty1_tracklet_0011,oty1_tracklet_0014,37,52,47,49,overlap_or_interleave,-5,0,-5,-5,1,13,2,33.620332968904414,33.620332968904414,0.0,0.9581125541167609,0.7519097347698023,2.559661865234375,True,0.2534814774990082,0,0,7,2,stable_or_minor_shape_change,not_indicated,8,3,0.721439373955119,ambiguous_competing_merge,oty1a_runtime_optical_geometry_only_candidate_not_confirmed_identity
oty1_tracklet_0010__oty1_tracklet_0011,GM_RM019,oty1_tracklet_0010,oty1_tracklet_0011,34,34,37,52,forward_gap,3,3,,3,0,1,13,11.509862604443514,11.509862604443514,0.2154688342903809,0.8765984883244147,0.5777686828853966,2.496490478515625,True,0.30180978775024414,0,0,0,7,aspect_transition_review,not_indicated,2,1,0.7135231083018869,ambiguous_competing_merge,oty1a_runtime_optical_geometry_only_candidate_not_confirmed_identity
oty1_tracklet_0022__oty1_tracklet_0024,GM_RM019,oty1_tracklet_0022,oty1_tracklet_0024,72,87,72,72,overlap_or_interleave,-15,0,-15,-15,1,12,1,78.2688044268581,78.2688044268581,0.29909887070655317,0.4218007299404726,0.9324709629150272,4.143402099609375,True,0.25410565733909607,0,0,6,1,large_shape_transition_review,not_indicated,7,5,0.7041901766879447,overlap_shape_transition_candidate,oty1a_runtime_optical_geometry_only_candidate_not_confirmed_identity
