review_id,gt_id,case_id,scene,sar_frame,category,why_selected,what_to_look_for,possible_decision_options,image_panel_path,notes
R0001,10,GTREF_GM_RM011_s5_10,GM_RM011,5,possible_gt_too_small,GT scale is in the lower tail; may only box a local scatterer.,看 GT 是否只框到局部亮点，是否漏掉车辆尺度的条带/边界/角点组合。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\01_GTREF_GM_RM011_s5_10_gt_quality_vehicle_scale_cn.png,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0002,12,GTREF_GM_RM011_s6_12,GM_RM011,6,possible_gt_too_small,GT scale is in the lower tail; may only box a local scatterer.,看 GT 是否只框到局部亮点，是否漏掉车辆尺度的条带/边界/角点组合。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\02_GTREF_GM_RM011_s6_12_gt_quality_vehicle_scale_cn.png,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0003,132,GTREF_PAIRED_GM_RM017_s338_132,GM_RM017,338,possible_gt_too_small,GT scale is in the lower tail; may only box a local scatterer.,看 GT 是否只框到局部亮点，是否漏掉车辆尺度的条带/边界/角点组合。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\03_GTREF_PAIRED_GM_RM017_s338_132_gt_quality_vehicle_scale_cn.png,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0004,18,GTREF_GM_RM011_s10_18,GM_RM011,10,possible_gt_too_small,GT scale is in the lower tail; may only box a local scatterer.,看 GT 是否只框到局部亮点，是否漏掉车辆尺度的条带/边界/角点组合。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\04_GTREF_GM_RM011_s10_18_gt_quality_vehicle_scale_cn.png,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0005,217,GTREF_PAIRED_GM_RM017_s366_217,GM_RM017,366,possible_gt_too_large,GT scale is in the upper tail; may include background or neighboring structure.,看 GT 是否包含过多背景、邻车或路边结构。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\05_GTREF_PAIRED_GM_RM017_s366_217_gt_quality_vehicle_scale_cn.png,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0006,255,GTREF_PAIRED_GM_RM017_s379_255,GM_RM017,379,possible_gt_too_large,GT scale is in the upper tail; may include background or neighboring structure.,看 GT 是否包含过多背景、邻车或路边结构。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\06_GTREF_PAIRED_GM_RM017_s379_255_gt_quality_vehicle_scale_cn.png,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0007,282,GTREF_PAIRED_GM_RM017_s388_282,GM_RM017,388,possible_gt_too_large,GT scale is in the upper tail; may include background or neighboring structure.,看 GT 是否包含过多背景、邻车或路边结构。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\07_GTREF_PAIRED_GM_RM017_s388_282_gt_quality_vehicle_scale_cn.png,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0008,303,GTREF_PAIRED_GM_RM017_s429_303,GM_RM017,429,possible_gt_too_large,GT scale is in the upper tail; may include background or neighboring structure.,看 GT 是否包含过多背景、邻车或路边结构。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\08_GTREF_PAIRED_GM_RM017_s429_303_gt_quality_vehicle_scale_cn.png,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0009,123,GTREF_PAIRED_GM_RM017_s334_123,GM_RM017,334,possible_extreme_aspect,GT aspect ratio is unusually high for this 442-row pool.,看长宽比是否合理，是否只框了一条边或过度拉长。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\09_GTREF_PAIRED_GM_RM017_s334_123_gt_quality_vehicle_scale_cn.png,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0010,236,GTREF_PAIRED_GM_RM017_s372_236,GM_RM017,372,possible_extreme_aspect,GT aspect ratio is unusually high for this 442-row pool.,看长宽比是否合理，是否只框了一条边或过度拉长。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\10_GTREF_PAIRED_GM_RM017_s372_236_gt_quality_vehicle_scale_cn.png,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0011,285,GTREF_PAIRED_GM_RM017_s389_285,GM_RM017,389,possible_extreme_aspect,GT aspect ratio is unusually high for this 442-row pool.,看长宽比是否合理，是否只框了一条边或过度拉长。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\11_GTREF_PAIRED_GM_RM017_s389_285_gt_quality_vehicle_scale_cn.png,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0012,286,GTREF_PAIRED_GM_RM017_s389_286,GM_RM017,389,possible_extreme_aspect,GT aspect ratio is unusually high for this 442-row pool.,看长宽比是否合理，是否只框了一条边或过度拉长。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\12_GTREF_PAIRED_GM_RM017_s389_286_gt_quality_vehicle_scale_cn.png,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0013,116,GTREF_PAIRED_GM_RM017_s330_116,GM_RM017,330,weak_but_structured_gt,GT crop is in the lower tail of display-grayscale energy mean; weak target or edge case.,看弱能量中是否仍有车辆尺度条带、角点或边界结构。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\13_GTREF_PAIRED_GM_RM017_s330_116_gt_quality_vehicle_scale_cn.png,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0014,117,GTREF_PAIRED_GM_RM017_s331_117,GM_RM017,331,weak_but_structured_gt,GT crop is in the lower tail of display-grayscale energy mean; weak target or edge case.,看弱能量中是否仍有车辆尺度条带、角点或边界结构。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\14_GTREF_PAIRED_GM_RM017_s331_117_gt_quality_vehicle_scale_cn.png,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
