wrong_object_triage_id,source_mode_name,scene,object_hypothesis_id,wrong_object_hypothesis_id,state_condition,optical_frame,expected_sar_frame,wrong_object_source_sar_frame,wrong_object_frame_delta,same_scene,azimuth_overlap_deg,azimuth_overlap_ratio_vs_true,range_overlap_px,range_overlap_ratio_vs_true,support_iou_proxy,support_intersection_ratio_vs_true,overlap_bucket,topk_contains_near_gt_posthoc,top1_near_gt_posthoc,gt_inside_support_posthoc,best_topk_distance_to_gt_px_posthoc,top1_background_ratio,scatter_cluster_type,temporal_stability_label,notes,provenance_labels
WO00001,broad_fan_baseline,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,oty1t_obj_GM_RM017_bytetrack_bt_0012,complete,165,343,343,0,true,20.9455,0.7194,1332.7,1,0.495,0.7194,medium_overlap_0p25_0p75,false,false,true,407.521,1.7836,diffuse_clutter,jumping_peak,high wrong-object rate is plausibly support-overlap/object-confusion,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
WO00002,state_conditioned_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,oty1t_obj_GM_RM017_bytetrack_bt_0012,complete,165,343,343,0,true,20.9455,0.7194,130,1,0.2039,0.7194,medium_overlap_0p25_0p75,true,false,true,37.157,1.5737,diffuse_clutter,stable_cluster_tube,high wrong-object rate is plausibly support-overlap/object-confusion,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
WO00003,broad_fan_baseline,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,oty1t_obj_GM_RM017_bytetrack_bt_0012,complete,165,344,344,0,true,20.9455,0.7194,1332.7,1,0.495,0.7194,medium_overlap_0p25_0p75,false,false,true,404.775,1.8195,diffuse_clutter,jumping_peak,high wrong-object rate is plausibly support-overlap/object-confusion,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
WO00004,state_conditioned_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,oty1t_obj_GM_RM017_bytetrack_bt_0012,complete,165,344,344,0,true,20.9455,0.7194,130,1,0.2039,0.7194,medium_overlap_0p25_0p75,true,true,true,32.161,1.5026,multi_peak_nearby_cluster,stable_cluster_tube,high wrong-object rate is plausibly support-overlap/object-confusion,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
WO00005,broad_fan_baseline,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,oty1t_obj_GM_RM017_bytetrack_bt_0012,complete,166,345,345,0,true,20.9622,0.7163,1332.7,1,0.478,0.7163,medium_overlap_0p25_0p75,false,false,true,404.287,1.7767,weak_no_structure,jumping_peak,high wrong-object rate is plausibly support-overlap/object-confusion,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
WO00006,state_conditioned_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,oty1t_obj_GM_RM017_bytetrack_bt_0012,complete,166,345,345,0,true,20.9622,0.7163,130,1,0.1964,0.7163,medium_overlap_0p25_0p75,true,true,true,44.472,1.5439,multi_peak_nearby_cluster,stable_cluster_tube,high wrong-object rate is plausibly support-overlap/object-confusion,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
WO00007,broad_fan_baseline,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,oty1t_obj_GM_RM017_bytetrack_bt_0012,complete,166,346,346,0,true,20.9622,0.7163,1332.7,1,0.478,0.7163,medium_overlap_0p25_0p75,false,false,true,400.808,1.7825,weak_no_structure,jumping_peak,high wrong-object rate is plausibly support-overlap/object-confusion,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
WO00008,state_conditioned_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,oty1t_obj_GM_RM017_bytetrack_bt_0012,complete,166,346,346,0,true,20.9622,0.7163,130,1,0.1964,0.7163,medium_overlap_0p25_0p75,true,true,true,37.861,1.5957,diffuse_clutter,stable_cluster_tube,high wrong-object rate is plausibly support-overlap/object-confusion,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
WO00009,broad_fan_baseline,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,oty1t_obj_GM_RM017_bytetrack_bt_0012,complete,167,347,347,0,true,20.6725,0.7089,1332.7,1,0.4549,0.7089,medium_overlap_0p25_0p75,false,false,true,398.252,1.8016,diffuse_clutter,jumping_peak,high wrong-object rate is plausibly support-overlap/object-confusion,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
WO00010,state_conditioned_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,oty1t_obj_GM_RM017_bytetrack_bt_0012,complete,167,347,347,0,true,20.6725,0.7089,130,1,0.1865,0.7089,medium_overlap_0p25_0p75,true,true,true,49.837,1.6479,multi_peak_nearby_cluster,stable_cluster_tube,high wrong-object rate is plausibly support-overlap/object-confusion,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
