scene,object_hypothesis_id,result_class,spatial_prior_status,temporal_window_status,sar_start_frame,sar_end_frame,sar_window_frame_count,azimuth_available,azimuth_width_deg,range_prior_mode,time_info_strength,azimuth_info_strength,range_info_strength,state_uncertainty_level,geometry_completeness_level,weakness_source_group,rule_effect_summary,normal_downstream_input,review_only_context,blocked,degradation_reason,notes
GM_RM011,,blocked_scene_missing_object_flow,blocked_missing_object_level_flow,not_ready_for_sar_temporal_window,,,,false,,not_generated_no_object_flow,none_or_blocked,none,none_or_blocked,blocked_or_not_ready,missing_or_not_applicable,missing_optical_object_flow,scene timing metadata kept; target-level prior blocked by missing optical object flow,false,false,true,temporal_metadata_available_but_object_flow_missing,GM_RM011_keeps_24_50_software_sync_metadata_but_has_no_target_level_input
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,relaxed_normal_downstream,loose_spatial_prior_generated,ready_uncertainty_expanded_sar_temporal_window,293,452,160,true,79.999,broad_unknown_range_prior,medium_expanded,weak_broad,weak_broad_unknown,high_review_uncertainty,partial_azimuth_only_range_missing,range_missing_info,uncertainty states keep object in normal downstream input but expand prior; secondary observations expand envelope; edge/partial state expands margin; duplicate/handoff state preserves uncertainty; range remains broad unknown until runtime-safe range geometry exists,true,false,false,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;normal_downstream_input_with_expanded_uncertainty;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,relaxed_normal_downstream,loose_spatial_prior_generated,ready_uncertainty_expanded_sar_temporal_window,306,444,139,true,80.013,broad_unknown_range_prior,medium_expanded,weak_broad,weak_broad_unknown,high_review_uncertainty,partial_azimuth_only_range_missing,range_missing_info,uncertainty states keep object in normal downstream input but expand prior; secondary observations expand envelope; edge/partial state expands margin; duplicate/handoff state preserves uncertainty; range remains broad unknown until runtime-safe range geometry exists,true,false,false,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;normal_downstream_input_with_expanded_uncertainty;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,relaxed_normal_downstream,loose_spatial_prior_generated,ready_uncertainty_expanded_sar_temporal_window,312,450,139,true,16.745,broad_unknown_range_prior,medium_expanded,medium_compact,weak_broad_unknown,high_review_uncertainty,partial_azimuth_only_range_missing,range_missing_info,uncertainty states keep object in normal downstream input but expand prior; secondary observations expand envelope; edge/partial state expands margin; duplicate/handoff state preserves uncertainty; range remains broad unknown until runtime-safe range geometry exists,true,false,false,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;normal_downstream_input_with_expanded_uncertainty;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0001,normal_stable_or_primary,normal_spatial_prior_generated,ready_primary_sar_temporal_window,242,347,106,true,79.981,broad_unknown_range_prior,strong,weak_broad,weak_broad_unknown,high_review_uncertainty,partial_azimuth_only_range_missing,range_missing_info,primary runtime-safe object state permits normal prior; edge/partial state expands margin; range remains broad unknown until runtime-safe range geometry exists,true,false,false,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0002,normal_stable_or_primary,normal_spatial_prior_generated,ready_primary_sar_temporal_window,249,274,26,true,55.210,broad_unknown_range_prior,strong,weak_but_bounded,weak_broad_unknown,high_review_uncertainty,partial_azimuth_only_range_missing,range_missing_info,primary runtime-safe object state permits normal prior; range remains broad unknown until runtime-safe range geometry exists,true,false,false,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,review_only_context,review_only_spatial_context_generated,low_confidence_sar_temporal_window,297,424,128,true,85.989,broad_unknown_range_prior_review_only,review_only,weak_broad,weak_broad_unknown,high_review_uncertainty,partial_azimuth_only_range_missing,range_missing_plus_review_uncertainty,ambiguity/review state routes object to review-only context; secondary observations expand envelope; edge/partial state expands margin; duplicate/handoff state preserves uncertainty; range remains broad unknown until runtime-safe range geometry exists,false,true,false,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;review_only_context_not_mixed_with_normal_spatial_priors;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0009,blocked_not_ready_object,blocked_no_spatial_prior,not_ready_for_sar_temporal_window,,,,false,,not_generated_for_blocked_object,none_or_blocked,none,none_or_blocked,blocked_or_not_ready,missing_or_not_applicable,object_not_ready_or_short_noise,short/noise or object gate blocked normal spatial prior,false,false,true,object_not_ready_for_spatial_prior,blocked_objects_preserve_temporal_status_only
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0024,blocked_not_ready_object,blocked_no_spatial_prior,not_ready_for_sar_temporal_window,,,,false,,not_generated_for_blocked_object,none_or_blocked,none,none_or_blocked,blocked_or_not_ready,missing_or_not_applicable,object_not_ready_or_short_noise,short/noise or object gate blocked normal spatial prior,false,false,true,object_not_ready_for_spatial_prior,blocked_objects_preserve_temporal_status_only
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0029,blocked_not_ready_object,blocked_no_spatial_prior,not_ready_for_sar_temporal_window,,,,false,,not_generated_for_blocked_object,none_or_blocked,none,none_or_blocked,blocked_or_not_ready,missing_or_not_applicable,object_not_ready_or_short_noise,short/noise or object gate blocked normal spatial prior,false,false,true,object_not_ready_for_spatial_prior,blocked_objects_preserve_temporal_status_only
