comparison_id,source_mode_name,control_support_type,control_variant,sample_pool,n_rows,gt_inside_support_rate_posthoc,top1_near_gt_rate_posthoc,topk_contains_near_gt_rate_posthoc,multiple_topk_peaks_near_gt_rate_posthoc,all_topk_far_rate_posthoc,stable_cluster_tube_rate,jumping_peak_rate,diffuse_or_unstable_rate,median_best_topk_distance_to_gt_px_posthoc,median_peak_background_ratio,median_support_area_px,median_area_ratio_vs_true_mode,serious_peak_competition_rate,scatter_cluster_type_mix,temporal_stability_label_mix,interpretation,provenance_labels
NC0001,broad_fan_baseline,azimuth_shifted_support,ALL,paired_optical_object_sar_gt=860,860,0.6791,0.007,0.0244,0.0674,0.8733,0.0047,0.7593,0.2314,359.99,1.9431,512946,1,0.9965,diffuse_clutter=542;azimuth_spread_cluster=111;range_spread_cluster=108;weak_no_structure=98;compact_cluster=1,jumping_peak=653;diffuse_or_unstable_cluster_tube=199;insufficient_temporal_samples=4;stable_cluster_tube=4,negative control mostly suppresses GT-near top-k; true support is likely more discriminative,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0002,broad_fan_baseline,azimuth_shifted_support,delta_deg=-10,paired_optical_object_sar_gt=215,215,0.9302,0.0093,0.0326,0.0744,0.8419,0,0.9674,0.0279,354.496,1.9281,512937,1,0.9953,diffuse_clutter=150;range_spread_cluster=32;azimuth_spread_cluster=16;weak_no_structure=16;compact_cluster=1,jumping_peak=208;diffuse_or_unstable_cluster_tube=6;insufficient_temporal_samples=1,negative control mostly suppresses GT-near top-k; true support is likely more discriminative,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0003,broad_fan_baseline,azimuth_shifted_support,delta_deg=-20,paired_optical_object_sar_gt=215,215,0.4186,0.0093,0.0279,0.0558,0.8419,0,0.6837,0.3116,341.037,1.9994,510732,1,1,diffuse_clutter=154;range_spread_cluster=35;weak_no_structure=13;azimuth_spread_cluster=13,jumping_peak=147;diffuse_or_unstable_cluster_tube=67;insufficient_temporal_samples=1,negative control mostly suppresses GT-near top-k; true support is likely more discriminative,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0004,broad_fan_baseline,azimuth_shifted_support,delta_deg=10,paired_optical_object_sar_gt=215,215,0.9674,0.0047,0.0233,0.0558,0.9302,0.0093,0.693,0.293,370.181,1.9207,512964,1,1,diffuse_clutter=128;azimuth_spread_cluster=43;weak_no_structure=29;range_spread_cluster=15,jumping_peak=149;diffuse_or_unstable_cluster_tube=63;stable_cluster_tube=2;insufficient_temporal_samples=1,negative control mostly suppresses GT-near top-k; true support is likely more discriminative,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0005,broad_fan_baseline,azimuth_shifted_support,delta_deg=20,paired_optical_object_sar_gt=215,215,0.4,0.0047,0.014,0.0837,0.8791,0.0093,0.693,0.293,372.319,1.9224,512703,1,0.9907,diffuse_clutter=110;weak_no_structure=40;azimuth_spread_cluster=39;range_spread_cluster=26,jumping_peak=149;diffuse_or_unstable_cluster_tube=63;stable_cluster_tube=2;insufficient_temporal_samples=1,negative control mostly suppresses GT-near top-k; true support is likely more discriminative,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0006,broad_fan_baseline,random_same_scene_support,ALL,paired_optical_object_sar_gt=215,215,0.2698,0.0093,0.0186,0.0651,0.8791,0,0.9488,0.0465,369.589,2.0427,503415,0.9999,0.9953,diffuse_clutter=147;range_spread_cluster=26;azimuth_spread_cluster=25;weak_no_structure=17,jumping_peak=204;diffuse_or_unstable_cluster_tube=10;insufficient_temporal_samples=1,negative control mostly suppresses GT-near top-k; true support is likely more discriminative,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0007,broad_fan_baseline,random_same_scene_support,deterministic_same_size_random,paired_optical_object_sar_gt=215,215,0.2698,0.0093,0.0186,0.0651,0.8791,0,0.9488,0.0465,369.589,2.0427,503415,0.9999,0.9953,diffuse_clutter=147;range_spread_cluster=26;azimuth_spread_cluster=25;weak_no_structure=17,jumping_peak=204;diffuse_or_unstable_cluster_tube=10;insufficient_temporal_samples=1,negative control mostly suppresses GT-near top-k; true support is likely more discriminative,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0008,broad_fan_baseline,true_support,ALL,paired_optical_object_sar_gt=215,215,0.9628,0.0093,0.0279,0.0698,0.9256,0.0233,0.3302,0.6419,370.86,1.9188,512919,1,1,diffuse_clutter=132;azimuth_spread_cluster=41;weak_no_structure=26;range_spread_cluster=16,diffuse_or_unstable_cluster_tube=138;jumping_peak=71;stable_cluster_tube=5;insufficient_temporal_samples=1,"baseline true support for this mode; still posthoc validation, not runtime localization",SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0009,broad_fan_baseline,true_support,original,paired_optical_object_sar_gt=215,215,0.9628,0.0093,0.0279,0.0698,0.9256,0.0233,0.3302,0.6419,370.86,1.9188,512919,1,1,diffuse_clutter=132;azimuth_spread_cluster=41;weak_no_structure=26;range_spread_cluster=16,diffuse_or_unstable_cluster_tube=138;jumping_peak=71;stable_cluster_tube=5;insufficient_temporal_samples=1,"baseline true support for this mode; still posthoc validation, not runtime localization",SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0010,broad_fan_baseline,wrong_object_support,ALL,paired_optical_object_sar_gt=215,215,0.3535,0,0,0.0698,0.9256,0.014,0.6558,0.3256,370.86,1.9661,471897,0.8597,1,diffuse_clutter=145;azimuth_spread_cluster=28;weak_no_structure=26;range_spread_cluster=13;multi_peak_nearby_cluster=3,jumping_peak=141;diffuse_or_unstable_cluster_tube=70;stable_cluster_tube=3;insufficient_temporal_samples=1,negative control mostly suppresses GT-near top-k; true support is likely more discriminative,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0011,broad_fan_baseline,wrong_object_support,same_scene_other_object,paired_optical_object_sar_gt=215,215,0.3535,0,0,0.0698,0.9256,0.014,0.6558,0.3256,370.86,1.9661,471897,0.8597,1,diffuse_clutter=145;azimuth_spread_cluster=28;weak_no_structure=26;range_spread_cluster=13;multi_peak_nearby_cluster=3,jumping_peak=141;diffuse_or_unstable_cluster_tube=70;stable_cluster_tube=3;insufficient_temporal_samples=1,negative control mostly suppresses GT-near top-k; true support is likely more discriminative,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0012,broad_fan_baseline,wrong_sar_frame_support,ALL,paired_optical_object_sar_gt=215,215,0.9628,0.014,0.0233,0.0605,0.9256,0.0186,0,0,370.722,1.9244,512919,1,1,diffuse_clutter=160;azimuth_spread_cluster=27;range_spread_cluster=16;weak_no_structure=12,insufficient_temporal_samples=211;stable_cluster_tube=4,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0013,broad_fan_baseline,wrong_sar_frame_support,observed_frame=102,paired_optical_object_sar_gt=1,1,0,0,0,1,0,0,0,0,146.503,2.1793,490725,1,1,range_spread_cluster=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0014,broad_fan_baseline,wrong_sar_frame_support,observed_frame=106,paired_optical_object_sar_gt=1,1,0,0,0,1,0,0,0,0,142.424,2.1886,387441,1,1,range_spread_cluster=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0015,broad_fan_baseline,wrong_sar_frame_support,observed_frame=237,paired_optical_object_sar_gt=1,1,0,0,0,0,0,0,0,0,184.469,2.237,371070,1,1,range_spread_cluster=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0016,broad_fan_baseline,wrong_sar_frame_support,observed_frame=25,paired_optical_object_sar_gt=1,1,1,1,1,1,0,0,0,0,104.043,1.6833,1144458,1,1,range_spread_cluster=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0017,broad_fan_baseline,wrong_sar_frame_support,observed_frame=263,paired_optical_object_sar_gt=1,1,1,0,1,1,0,0,0,0,99.485,2.0091,829413,1,1,range_spread_cluster=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0018,broad_fan_baseline,wrong_sar_frame_support,observed_frame=29,paired_optical_object_sar_gt=1,1,1,1,1,1,0,0,0,0,106.906,1.6899,1116657,1,1,range_spread_cluster=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0019,broad_fan_baseline,wrong_sar_frame_support,observed_frame=294,paired_optical_object_sar_gt=1,1,1,0,0,0,0,0,0,0,133.321,2.0049,848925,1,1,range_spread_cluster=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0020,broad_fan_baseline,wrong_sar_frame_support,observed_frame=298,paired_optical_object_sar_gt=1,1,1,0,0,1,0,0,0,0,113.167,2.0694,736677,1,1,range_spread_cluster=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0021,broad_fan_baseline,wrong_sar_frame_support,observed_frame=313,paired_optical_object_sar_gt=1,1,0,0,0,1,0,0,0,0,129.141,2.3919,369351,1,1,range_spread_cluster=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0022,broad_fan_baseline,wrong_sar_frame_support,observed_frame=315,paired_optical_object_sar_gt=1,1,0,0,0,1,0,0,0,0,138.561,2.4042,316953,1,1,range_spread_cluster=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0023,broad_fan_baseline,wrong_sar_frame_support,observed_frame=327,paired_optical_object_sar_gt=1,1,1,0,0,0,1,0,0,0,403.693,1.8481,475398,1,1,weak_no_structure=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0024,broad_fan_baseline,wrong_sar_frame_support,observed_frame=33,paired_optical_object_sar_gt=1,1,1,0,1,0,0,0,0,0,109.525,1.8095,1069362,1,1,range_spread_cluster=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0025,broad_fan_baseline,wrong_sar_frame_support,observed_frame=335,paired_optical_object_sar_gt=1,1,1,0,0,0,1,0,0,0,370.86,1.9505,690939,1,1,diffuse_clutter=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0026,broad_fan_baseline,wrong_sar_frame_support,observed_frame=340,paired_optical_object_sar_gt=3,3,1,0,0,0.3333,0.6667,0,0,0,345.156,1.7932,583677,1,1,diffuse_clutter=2;range_spread_cluster=1,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
