strategy,margin_deg,subgroup_type,subgroup,n_frames,n_objects,coverage_pass,coverage_fail,coverage_rate,median_sector_width_deg,median_width_compression_rate_vs_original,median_signed_error_deg,median_abs_error_deg,mean_signed_error_deg,failure_context_counts,failure_scene_counts,failure_object_count,systematic_offset_note,posthoc_only_note
original_interval,,all,all,215,9,205,10,0.9535,80.013,,-3.41,17.47,-1.778,complete=8;edge=2,GM_RM019=8;GM_RM017=2,5,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,5,all,all,215,9,34,181,0.1581,10,0.875,-3.41,17.47,-1.778,complete=80;edge=58;ambiguous_or_review_only=26;duplicate_or_handoff=17,GM_RM017=167;GM_RM019=14,9,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,10,all,all,215,9,66,149,0.307,20,0.75,-3.41,17.47,-1.778,complete=60;edge=58;ambiguous_or_review_only=16;duplicate_or_handoff=15,GM_RM017=137;GM_RM019=12,7,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,15,all,all,215,9,91,124,0.4233,30,0.6251,-3.41,17.47,-1.778,edge=58;complete=42;duplicate_or_handoff=15;ambiguous_or_review_only=9,GM_RM017=112;GM_RM019=12,7,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,20,all,all,215,9,118,97,0.5488,40,0.5001,-3.41,17.47,-1.778,edge=53;complete=28;duplicate_or_handoff=11;ambiguous_or_review_only=5,GM_RM017=85;GM_RM019=12,7,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,25,all,all,215,9,145,70,0.6744,50,0.3751,-3.41,17.47,-1.778,edge=45;complete=20;duplicate_or_handoff=4;ambiguous_or_review_only=1,GM_RM017=58;GM_RM019=12,7,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,30,all,all,215,9,171,44,0.7953,60,0.2501,-3.41,17.47,-1.778,edge=28;complete=12;duplicate_or_handoff=3;ambiguous_or_review_only=1,GM_RM017=32;GM_RM019=12,7,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,35,all,all,215,9,196,19,0.9116,70,0.1251,-3.41,17.47,-1.778,complete=10;edge=9,GM_RM019=10;GM_RM017=9,6,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,40,all,all,215,9,208,7,0.9674,80,0.0002,-3.41,17.47,-1.778,complete=6;edge=1,GM_RM019=6;GM_RM017=1,4,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,45,all,all,215,9,211,4,0.9814,90,,-3.41,17.47,-1.778,complete=4,GM_RM019=4,3,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
