optical_condition,runtime_safe,expected_sar_structure_change,support_region_effect,expected_failure_mode,compatible_structure_types,not_reliable_structure_types,posthoc_evidence_seen,needs_manual_review,next_probe
complete visible object,yes,compact or multi-peak body should become more plausible if SAR structure is stable,"can use tighter optical state support, but current range bands are still posthoc",compact clutter may be mistaken for body,compact_cluster;multi_peak_nearby_cluster;stable_cluster_tube,diffuse_clutter;weak_no_structure,complete/low-uncertainty proxy rows=59;structure_mix=azimuth_spread_cluster=139;diffuse_clutter=33;range_spread_cluster=21;multi_peak_nearby_cluster=20;compact_cluster=2,no,visual exemplar check for compact/multi-peak cases
left/right truncation,yes,"vehicle structure may become spread, partial, or shifted within support",widen or relax feasible domain rather than selecting a center,range/azimuth spread can be vehicle or boundary artifact,range_spread_cluster;azimuth_spread_cluster;stable_cluster_tube,single top1 peak,partial/truncation proxy rows=215,yes,state-specific visual review and boundary-aware support
bottom truncation / occlusion,yes,SAR body may be only partly represented; temporal tube may be stronger than current frame,"use existence and tube support, not clean morphology",dropout/existence can be over-promoted,stable_cluster_tube;range_spread_cluster,complete-shape range rule,dropout pool remains 12 special rows,yes,keep dropout pool separate
edge contact,yes,mask-boundary and fan-edge effects can truncate SAR structure,support should remain boundary-aware,valid-mask partial overlap and weak structure,boundary_affected_body_proxy;azimuth_spread_cluster,unique center isolation,edge proxy rows=0,yes,inspect boundary cases in 442 valid mask audit
motion instability,yes,"SAR tube should show plausible drift, not jumping peak",requires temporal linking rather than per-frame selection,wrong-frame persistence can mimic stable structure,vehicle-like drifting tube candidate,jumping_peak;stable background tube risk,existing tube rows lack explicit range/azimuth drift,yes,add optical-motion compatible drift gate
identity ambiguity,yes,structure may be vehicle-like but not attributable to one optical object,association must become review_required or weak,wrong-object support overlap,multi_peak_nearby_cluster;stable_cluster_tube,associated strong without review,duplicate/handoff/ambiguous proxy rows=215,yes,GM_RM019 optical continuity review
bbox height / apparent scale,no_currently_posthoc_hypothesis,"may relate to range concentration, but not runtime-approved here",do not convert shape-radius relation into runtime prior,GT-validated range bands can leak,range_spread_cluster as diagnostic,state-conditioned top-k success as runtime rule,state-conditioned true is 0.8977 but posthoc,yes,derive optical-only range mechanism before runtime use
tracklet smoothing,partial,may stabilize feasible support across adjacent SAR frames,"use as temporal support stabilizer, not identity truth",wrong-frame controls remain high,stable_cluster_tube,wrong-frame-tolerant association,wrong-frame state-conditioned top-k near-GT is 0.9116,yes,separate vehicle-like drift from background persistence
azimuth trend,yes,may condition which azimuth-spread structures are plausible,sector overlap must be audited before strong gate,azimuth-shift confounding,azimuth_spread_cluster with temporal support,azimuth alone as strong gate,azimuth-shift state-conditioned top-k near-GT is 0.7151,yes,overlap-aware azimuth margin audit
near/mid/far relative depth hint,partial_or_hypothesis,may alter expected spread and intensity concentration,only weak conditioning unless runtime-safe source is documented,depth-like cues can become hidden range GT leakage,range_spread_cluster;compact_cluster,hard depth controller,not sufficiently separated in existing tables,yes,document runtime-safe depth source before use
