gt_id,scene,sar_frame,pool_type,gt_box_available,image_available,gt_x,gt_y,gt_w,gt_h,gt_area_px,gt_aspect_ratio,gt_long_axis_px,gt_short_axis_px,gt_orientation_proxy,near_image_boundary,valid_for_scale_reference,scale_outlier_flag,scale_outlier_reason,notes
336,GM_RM011,0,gm011_waiting_object_stream,yes,yes,1140.347,1244.238,136.103,69.358,9439.832,1.9623,136.103,69.358,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=41.692
2,GM_RM011,0,gm011_waiting_object_stream,yes,yes,1272.217,1152.23,145.119,70.695,10259.188,2.0527,145.119,70.695,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=104.196
3,GM_RM011,1,gm011_waiting_object_stream,yes,yes,1146.642,1243.802,143.942,75.44,10858.984,1.908,143.942,75.44,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=42.829
4,GM_RM011,1,gm011_waiting_object_stream,yes,yes,1282.522,1152.115,80.74,149.827,12097.032,1.8557,149.827,80.74,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=98.549
336,GM_RM011,2,gm011_waiting_object_stream,yes,yes,1148.642,1241.802,143.942,75.44,10858.984,1.908,143.942,75.44,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=44.829
5,GM_RM011,2,gm011_waiting_object_stream,yes,yes,1286.522,1150.115,78.74,147.827,11639.898,1.8774,147.827,78.74,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=100.189
6,GM_RM011,3,gm011_waiting_object_stream,yes,yes,1150.642,1246.802,133.942,65.44,8765.164,2.0468,133.942,65.44,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=54.478
7,GM_RM011,3,gm011_waiting_object_stream,yes,yes,1292.522,1152.115,74.74,143.827,10749.63,1.9244,143.827,74.74,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=100.921
8,GM_RM011,4,gm011_waiting_object_stream,yes,yes,1151.642,1247.802,133.942,65.44,8765.164,2.0468,133.942,65.44,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=50.018
9,GM_RM011,4,gm011_waiting_object_stream,yes,yes,1294.522,1151.115,78.74,147.827,11639.898,1.8774,147.827,78.74,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=99.189
10,GM_RM011,5,gm011_waiting_object_stream,yes,yes,1151.642,1246.802,131.942,63.44,8370.4,2.0798,131.942,63.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=54.331
11,GM_RM011,5,gm011_waiting_object_stream,yes,yes,1295.522,1150.115,78.74,147.827,11639.898,1.8774,147.827,78.74,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=100.152
12,GM_RM011,6,gm011_waiting_object_stream,yes,yes,1152.642,1247.802,133.942,63.44,8497.28,2.1113,133.942,63.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=53.314
13,GM_RM011,6,gm011_waiting_object_stream,yes,yes,1296.522,1147.115,78.74,147.827,11639.898,1.8774,147.827,78.74,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=103.152
14,GM_RM011,7,gm011_waiting_object_stream,yes,yes,1152.642,1246.802,135.942,65.44,8896.044,2.0774,135.942,65.44,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=53.297
15,GM_RM011,7,gm011_waiting_object_stream,yes,yes,1293.522,1144.115,78.74,147.827,11639.898,1.8774,147.827,78.74,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=106.947
16,GM_RM011,8,gm011_waiting_object_stream,yes,yes,1152.642,1244.802,137.942,67.44,9302.808,2.0454,137.942,67.44,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=54.279
17,GM_RM011,9,gm011_waiting_object_stream,yes,yes,1152.642,1244.802,137.942,67.44,9302.808,2.0454,137.942,67.44,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=54.279
18,GM_RM011,10,gm011_waiting_object_stream,yes,yes,1149.642,1243.802,129.942,63.44,8243.52,2.0483,129.942,63.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=49.744
19,GM_RM011,11,gm011_waiting_object_stream,yes,yes,1148.642,1245.802,129.942,63.44,8243.52,2.0483,129.942,63.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=47.744
20,GM_RM011,12,gm011_waiting_object_stream,yes,yes,1149.642,1246.802,129.942,63.44,8243.52,2.0483,129.942,63.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=42.663
21,GM_RM011,12,gm011_waiting_object_stream,yes,yes,1152.377,1243.565,128.333,62.847,8065.344,2.042,128.333,62.847,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=49.361
