anchor_id,scene,object_hypothesis_id,sample_pool,n_samples,optical_frame_span,sar_frame_span,anchor_type,residual_or_latent_to_estimate,confidence_tier,evidence_summary,use_allowed,use_forbidden,review_requirement,next_action,provenance_labels
scene_GM_RM017,GM_RM017,,paired_optical_object_sar_gt,199,scene-level,scene-level,scene_level_azimuth_residual,Delta_theta_s median=-3.937 deg; shell_ratio_median=0.4555,scene_anchor_dominant_but_not_global,"High-confidence samples can estimate residuals only, not copy labels.",posthoc residual diagnosis and uncertainty calibration hypothesis,writing Delta_theta_s into runtime prior without independent validation,state-mix review before propagation,Estimate residuals after support-region SAR observation extraction.,SAR_GT_posthoc_evidence;manual_or_review_anchor;hypothesis_to_validate
scene_GM_RM019,GM_RM019,,paired_optical_object_sar_gt,16,scene-level,scene-level,scene_level_azimuth_residual,Delta_theta_s median=4.548 deg; shell_ratio_median=1.0398,scene_anchor_review_needed,"High-confidence samples can estimate residuals only, not copy labels.",posthoc residual diagnosis and uncertainty calibration hypothesis,writing Delta_theta_s into runtime prior without independent validation,GM_RM019 review before scene generalization,Estimate residuals after support-region SAR observation extraction.,SAR_GT_posthoc_evidence;manual_or_review_anchor;hypothesis_to_validate
object_01,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,paired_optical_object_sar_gt,61,145-182,302-380,object_level_motion_or_sar_scatter_anchor,"object azimuth residual, radial trend residual, SAR scatter morphology template",strong_but_review_gated_scene_or_object_anchor,az=1; peak/bg=3.0654; drift=local_peak_drift_consistent_with_sar_gt_center_posthoc; reliability=review_only_temporal_signal,estimate object-level residual/uncertainty after review,copying SAR labels or claiming identity truth,review-only/state-mixed object; keep as explanation evidence unless reviewed,Use as review-gated anchor candidate; no label copying.,runtime_safe_optical_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;manual_or_review_anchor;hypothesis_to_validate
object_02,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,paired_optical_object_sar_gt,75,151-189,315-394,object_level_motion_or_sar_scatter_anchor,"object azimuth residual, radial trend residual, SAR scatter morphology template",strong_but_review_gated_scene_or_object_anchor,az=1; peak/bg=3.0672; drift=local_peak_drift_consistent_with_sar_gt_center_posthoc; reliability=review_only_temporal_signal,estimate object-level residual/uncertainty after review,copying SAR labels or claiming identity truth,review-only/state-mixed object; keep as explanation evidence unless reviewed,Use as review-gated anchor candidate; no label copying.,runtime_safe_optical_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;manual_or_review_anchor;hypothesis_to_validate
object_03,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,paired_optical_object_sar_gt,60,162-210,337-438,object_level_motion_or_sar_scatter_anchor,"object azimuth residual, radial trend residual, SAR scatter morphology template",strong_but_review_gated_scene_or_object_anchor,az=1; peak/bg=3.1358; drift=local_peak_drift_consistent_with_sar_gt_center_posthoc; reliability=review_only_temporal_signal,estimate object-level residual/uncertainty after review,copying SAR labels or claiming identity truth,review-only/state-mixed object; keep as explanation evidence unless reviewed,Use as review-gated anchor candidate; no label copying.,runtime_safe_optical_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;manual_or_review_anchor;hypothesis_to_validate
object_04,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,paired_optical_object_sar_gt,3,184-212,383-442,object_level_motion_or_sar_scatter_anchor,"object azimuth residual, radial trend residual, SAR scatter morphology template",limited_anchor_low_azimuth_review_needed,az=0.3333; peak/bg=3.3934; drift=local_peak_drift_consistent_with_sar_gt_center_posthoc; reliability=center_direction_signal_only,estimate object-level residual/uncertainty after review,copying SAR labels or claiming identity truth,none_for_current_posthoc_report,Use as review-gated anchor candidate; no label copying.,runtime_safe_optical_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;manual_or_review_anchor;hypothesis_to_validate
object_05,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,paired_optical_object_sar_gt,3,0-4,0-8,object_level_motion_or_sar_scatter_anchor,"object azimuth residual, radial trend residual, SAR scatter morphology template",candidate_anchor,az=1; peak/bg=4.0138; drift=local_peak_drift_partial_or_axis_weak_posthoc; reliability=review_only_temporal_signal,estimate object-level residual/uncertainty after review,copying SAR labels or claiming identity truth,GM_RM019 state-mixed trajectory; review complete morphology frames,Use as review-gated anchor candidate; no label copying.,runtime_safe_optical_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;manual_or_review_anchor;hypothesis_to_validate
object_06,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,paired_optical_object_sar_gt,4,13-39,27-81,object_level_motion_or_sar_scatter_anchor,"object azimuth residual, radial trend residual, SAR scatter morphology template",limited_anchor_low_azimuth_review_needed,az=0.5; peak/bg=3.5681; drift=local_peak_drift_partial_or_axis_weak_posthoc; reliability=clean_object_temporal_signal,estimate object-level residual/uncertainty after review,copying SAR labels or claiming identity truth,GM_RM019 low azimuth coverage; review object continuity and complete frames,Use as review-gated anchor candidate; no label copying.,runtime_safe_optical_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;manual_or_review_anchor;hypothesis_to_validate
object_07,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0009,paired_optical_object_sar_gt,1,13,27,object_level_motion_or_sar_scatter_anchor,"object azimuth residual, radial trend residual, SAR scatter morphology template",insufficient_anchor,az=0; peak/bg=3.6927; drift=insufficient_sar_temporal_samples; reliability=insufficient_temporal_pairs,record as non-anchor or review candidate,copying SAR labels or claiming identity truth,GM_RM019 sparse object; optical GT / identity review recommended,Collect more frames or review object continuity.,runtime_safe_optical_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;manual_or_review_anchor;hypothesis_to_validate
object_08,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,paired_optical_object_sar_gt,6,102-139,212-290,object_level_motion_or_sar_scatter_anchor,"object azimuth residual, radial trend residual, SAR scatter morphology template",limited_anchor_low_azimuth_review_needed,az=0.5; peak/bg=3.7743; drift=local_peak_drift_consistent_with_sar_gt_center_posthoc; reliability=center_direction_signal_only,estimate object-level residual/uncertainty after review,copying SAR labels or claiming identity truth,GM_RM019 low azimuth coverage; review object continuity and complete frames,Use as review-gated anchor candidate; no label copying.,runtime_safe_optical_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;manual_or_review_anchor;hypothesis_to_validate
