case_id,scene,sar_frame,object_hypothesis_id,gt_id,image_available,gt_box_available,support_boundary_available,support_source,support_mask_path_available,support_render_method,panel_generated,panel_path,reason
PAIR_GM_RM017_o184_s383_oty1t_obj_GM_RM017_bytetrack_bt_0014,GM_RM017,383,oty1t_obj_GM_RM017_bytetrack_bt_0014,,yes,yes,yes,state_conditioned_range_band;posthoc_state_conditioned_range_band;posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,no,reconstructed_from_sector_radius_and_azimuth_fields,yes,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\01_possible_compact_vehicle_structure_PAIR_GM_RM017_o184_s383_oty1t_obj_GM_RM017_bytetrack_bt_0014_gt_support_energy_panel.png,rendered from SAR image path and reconstructed sector support
PAIR_GM_RM017_o153_s319_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,319,oty1t_obj_GM_RM017_bytetrack_bt_0008,,yes,yes,yes,state_conditioned_range_band;posthoc_state_conditioned_range_band;posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,no,reconstructed_from_sector_radius_and_azimuth_fields,yes,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\02_possible_multi-peak_vehicle_structure_PAIR_GM_RM017_o153_s319_oty1t_obj_GM_RM017_bytetrack_bt_0008_gt_support_energy_panel.png,rendered from SAR image path and reconstructed sector support
PAIR_GM_RM019_o13_s27_oty1t_obj_GM_RM019_bytetrack_bt_0005,GM_RM019,27,oty1t_obj_GM_RM019_bytetrack_bt_0005,,yes,yes,yes,state_conditioned_range_band;posthoc_state_conditioned_range_band;posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,no,reconstructed_from_sector_radius_and_azimuth_fields,yes,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\03_possible_range-spread_vehicle_structure_PAIR_GM_RM019_o13_s27_oty1t_obj_GM_RM019_bytetrack_bt_0005_gt_support_energy_panel.png,rendered from SAR image path and reconstructed sector support
PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,343,oty1t_obj_GM_RM017_bytetrack_bt_0010,,yes,yes,yes,state_conditioned_range_band;posthoc_state_conditioned_range_band;posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,no,reconstructed_from_sector_radius_and_azimuth_fields,yes,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\04_possible_azimuth-spread_vehicle_structure_PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010_gt_support_energy_panel.png,rendered from SAR image path and reconstructed sector support
PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,343,oty1t_obj_GM_RM017_bytetrack_bt_0010,,yes,yes,yes,state_conditioned_range_band;posthoc_state_conditioned_range_band;posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,no,reconstructed_from_sector_radius_and_azimuth_fields,yes,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\05_possible_stable_vehicle_tube_PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010_gt_support_energy_panel.png,rendered from SAR image path and reconstructed sector support
PAIR_GM_RM019_o15_s31_oty1t_obj_GM_RM019_bytetrack_bt_0005,GM_RM019,31,oty1t_obj_GM_RM019_bytetrack_bt_0005,,yes,yes,yes,state_conditioned_range_band;posthoc_state_conditioned_range_band;posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,no,reconstructed_from_sector_radius_and_azimuth_fields,yes,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\06_diffuse_reject_exemplar_PAIR_GM_RM019_o15_s31_oty1t_obj_GM_RM019_bytetrack_bt_0005_gt_support_energy_panel.png,rendered from SAR image path and reconstructed sector support
PAIR_GM_RM019_o13_s27_oty1t_obj_GM_RM019_bytetrack_bt_0005,GM_RM019,27,oty1t_obj_GM_RM019_bytetrack_bt_0005,,yes,yes,yes,state_conditioned_range_band;posthoc_state_conditioned_range_band;posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,no,reconstructed_from_sector_radius_and_azimuth_fields,yes,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\07_background-stable_wrong-frame_exemplar_PAIR_GM_RM019_o13_s27_oty1t_obj_GM_RM019_bytetrack_bt_0005_gt_support_energy_panel.png,rendered from SAR image path and reconstructed sector support
PAIR_GM_RM017_o149_s310_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,310,oty1t_obj_GM_RM017_bytetrack_bt_0008,,yes,yes,yes,state_conditioned_range_band;posthoc_state_conditioned_range_band;posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,no,reconstructed_from_sector_radius_and_azimuth_fields,yes,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\08_neighboring-object_wrong-object_exemplar_PAIR_GM_RM017_o149_s310_oty1t_obj_GM_RM017_bytetrack_bt_0008_gt_support_energy_panel.png,rendered from SAR image path and reconstructed sector support
PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,343,oty1t_obj_GM_RM017_bytetrack_bt_0010,,yes,yes,yes,state_conditioned_range_band;posthoc_state_conditioned_range_band;posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,no,reconstructed_from_sector_radius_and_azimuth_fields,yes,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\09_support-overlap_azimuth-shift_exemplar_PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010_gt_support_energy_panel.png,rendered from SAR image path and reconstructed sector support
PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,343,oty1t_obj_GM_RM017_bytetrack_bt_0010,,yes,yes,yes,state_conditioned_range_band;posthoc_state_conditioned_range_band;posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,no,reconstructed_from_sector_radius_and_azimuth_fields,yes,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\10_statistics_say_vehicle-like_but_visual_review_likely_needed_PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010_gt_support_energy_panel.png,rendered from SAR image path and reconstructed sector support
