state_gate_probe_id,mode_name,state_condition,sample_pool,n_rows,optical_state_gate,range_uncertainty_gate,topk_contains_peak_near_gt_rate_posthoc,multiple_topk_peaks_near_gt_rate_posthoc,all_topk_far_from_gt_rate_posthoc,scatter_cluster_type_mix,gated_association_status_mix,recommended_gate_treatment,provenance_labels,notes
G0001,broad_fan_baseline,ambiguous_or_review_only,paired_optical_object_sar_gt,37,optical_state_review_gate,range_too_broad_for_strong_association=37,0.0811,0.0541,0.9189,diffuse_clutter=26;weak_no_structure=5;azimuth_spread_cluster=3;range_spread_cluster=3,review_required=34;sar_structure_present_but_optical_ambiguous=3,review required; SAR structure can support but not settle optical ambiguity,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,State gate preserves dropout/no-match outside clean morphology and does not declare identity truth.
G0002,broad_fan_baseline,complete,paired_optical_object_sar_gt,103,optical_state_strong_gate,range_too_broad_for_strong_association=103,0.0291,0.1068,0.8932,diffuse_clutter=69;azimuth_spread_cluster=14;range_spread_cluster=11;weak_no_structure=9,rejected_for_temporal_instability=96;rejected_for_peak_competition=3;associated_posthoc_weak=3;optical_support_present_but_sar_ambiguous=1,allow strongest posthoc association when SAR cluster and temporal gates pass,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,State gate preserves dropout/no-match outside clean morphology and does not declare identity truth.
G0003,broad_fan_baseline,dropout_or_no_match,detection_dropout_temporal_continuation,12,dropout_existence_only_gate,range_too_broad_for_strong_association=12,0,0,0,range_spread_cluster=8;azimuth_spread_cluster=4,dropout_existence_support_only=12,dropout rows provide temporal existence support only; do not use for clean morphology,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,State gate preserves dropout/no-match outside clean morphology and does not declare identity truth.
G0004,broad_fan_baseline,duplicate_or_handoff,paired_optical_object_sar_gt,17,optical_state_review_gate,range_too_broad_for_strong_association=17,0,0,1,diffuse_clutter=15;azimuth_spread_cluster=2,review_required=17,manual review required before strong association,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,State gate preserves dropout/no-match outside clean morphology and does not declare identity truth.
G0005,broad_fan_baseline,edge_or_truncated,paired_optical_object_sar_gt,58,optical_state_relaxed_gate,range_too_broad_for_strong_association=58,0,0.0345,0.9655,diffuse_clutter=22;azimuth_spread_cluster=22;weak_no_structure=12;range_spread_cluster=2,rejected_for_temporal_instability=56;optical_support_present_but_sar_ambiguous=2,allow weak or relaxed association; keep range and footprint uncertainty wider,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,State gate preserves dropout/no-match outside clean morphology and does not declare identity truth.
G0006,complete_shape_quantile_range_band,complete,paired_optical_object_sar_gt,103,optical_state_strong_gate,range_band_compact_posthoc=103,0.9903,1,0,azimuth_spread_cluster=99;compact_cluster=2;range_spread_cluster=1;diffuse_clutter=1,associated_posthoc_weak=100;associated_posthoc_strong=2;optical_support_present_but_sar_ambiguous=1,allow strongest posthoc association when SAR cluster and temporal gates pass,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,State gate preserves dropout/no-match outside clean morphology and does not declare identity truth.
G0007,object_smoothed_range_band,ambiguous_or_review_only,paired_optical_object_sar_gt,37,optical_state_review_gate,range_band_compact_posthoc=37,0.973,1,0,azimuth_spread_cluster=28;diffuse_clutter=5;multi_peak_nearby_cluster=4,sar_structure_present_but_optical_ambiguous=36;review_required=1,review required; SAR structure can support but not settle optical ambiguity,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,State gate preserves dropout/no-match outside clean morphology and does not declare identity truth.
G0008,object_smoothed_range_band,complete,paired_optical_object_sar_gt,102,optical_state_strong_gate,range_band_compact_posthoc=102,1,1,0,azimuth_spread_cluster=101;compact_cluster=1,associated_posthoc_weak=102,allow strongest posthoc association when SAR cluster and temporal gates pass,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,State gate preserves dropout/no-match outside clean morphology and does not declare identity truth.
G0009,object_smoothed_range_band,duplicate_or_handoff,paired_optical_object_sar_gt,17,optical_state_review_gate,range_band_moderate_posthoc=9;range_band_compact_posthoc=8,0.6471,0.7647,0.1176,range_spread_cluster=10;azimuth_spread_cluster=3;multi_peak_nearby_cluster=2;diffuse_clutter=2,sar_structure_present_but_optical_ambiguous=11;review_required=6,manual review required before strong association,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,State gate preserves dropout/no-match outside clean morphology and does not declare identity truth.
G0010,object_smoothed_range_band,edge_or_truncated,paired_optical_object_sar_gt,58,optical_state_relaxed_gate,range_band_compact_posthoc=37;range_band_moderate_posthoc=21,0.931,1,0,azimuth_spread_cluster=29;range_spread_cluster=17;multi_peak_nearby_cluster=10;diffuse_clutter=2,associated_posthoc_weak=54;optical_support_present_but_sar_ambiguous=4,allow weak or relaxed association; keep range and footprint uncertainty wider,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,State gate preserves dropout/no-match outside clean morphology and does not declare identity truth.
G0011,scene_residual_range_band,ambiguous_or_review_only,paired_optical_object_sar_gt,37,optical_state_review_gate,range_band_compact_posthoc=37,0.9459,1,0,azimuth_spread_cluster=27;diffuse_clutter=5;multi_peak_nearby_cluster=4;range_spread_cluster=1,sar_structure_present_but_optical_ambiguous=35;review_required=2,review required; SAR structure can support but not settle optical ambiguity,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,State gate preserves dropout/no-match outside clean morphology and does not declare identity truth.
G0012,scene_residual_range_band,complete,paired_optical_object_sar_gt,103,optical_state_strong_gate,range_band_compact_posthoc=103,0.932,1,0,azimuth_spread_cluster=96;multi_peak_nearby_cluster=4;compact_cluster=3,associated_posthoc_weak=93;optical_support_present_but_sar_ambiguous=7;associated_posthoc_strong=3,allow strongest posthoc association when SAR cluster and temporal gates pass,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,State gate preserves dropout/no-match outside clean morphology and does not declare identity truth.
G0013,scene_residual_range_band,duplicate_or_handoff,paired_optical_object_sar_gt,17,optical_state_review_gate,range_band_moderate_posthoc=12;range_band_compact_posthoc=5,0.6471,0.7647,0.1176,range_spread_cluster=9;diffuse_clutter=4;azimuth_spread_cluster=2;multi_peak_nearby_cluster=2,sar_structure_present_but_optical_ambiguous=11;review_required=6,manual review required before strong association,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,State gate preserves dropout/no-match outside clean morphology and does not declare identity truth.
G0014,scene_residual_range_band,edge_or_truncated,paired_optical_object_sar_gt,58,optical_state_relaxed_gate,range_band_compact_posthoc=42;range_band_moderate_posthoc=16,0.9655,1,0,azimuth_spread_cluster=21;multi_peak_nearby_cluster=17;diffuse_clutter=12;range_spread_cluster=8,associated_posthoc_weak=56;optical_support_present_but_sar_ambiguous=2,allow weak or relaxed association; keep range and footprint uncertainty wider,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,State gate preserves dropout/no-match outside clean morphology and does not declare identity truth.
G0015,state_conditioned_range_band,ambiguous_or_review_only,paired_optical_object_sar_gt,37,optical_state_review_gate,range_band_compact_posthoc=37,0.9189,0.9189,0.0541,azimuth_spread_cluster=23;diffuse_clutter=8;multi_peak_nearby_cluster=6,sar_structure_present_but_optical_ambiguous=34;review_required=3,review required; SAR structure can support but not settle optical ambiguity,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,State gate preserves dropout/no-match outside clean morphology and does not declare identity truth.
