scene,object_hypothesis_id,correspondence_status,correspondence_match_iou,optical_track_or_observation_ids,sar_frame,sar_gt_id,sar_gt_center,sar_gt_width_height_or_rotated_box,sar_gt_radius_px,sar_gt_azimuth_deg,optical_frame,optical_bbox,optical_bbox_width_height_area,optical_bbox_aspect_ratio,optical_bbox_bottom_y,optical_bbox_bottom_y_norm,optical_object_state,primary_secondary_status,visibility_state,edge_partial_duplicate_handoff_ambiguity_flags,vehicle_research_eligibility,resolvability_tier,spatial_prior_status,temporal_window_contains_gt_frame,azimuth_prior_contains_gt,vehicle_size_shell_contains_gt,range_shell_contains_gt,notes
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,posthoc_correspondence_iou_high,0.7383,track=bt_0008;primary_det=GM_RM017_000145_002;secondary=,302,95,"870.138,1008.476",w=137.225;h=68.218;heading=176.000,429.350,-41.387,145,"0.186,322.138,97.952,408.436",w=97.766;h=86.298;area=8437.064;area_ratio=0.017577,1.1329,408.436,0.6807,eligibility=review_only_vehicle;tier=high_resolvable_vehicle;spatial=review_only_spatial_context_generated,primary=true;secondary=true,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,review_only_vehicle,high_resolvable_vehicle,review_only_spatial_context_generated,true,true,true,false,posthoc correspondence hypothesis from optical bbox overlap; not identity truth; GT/SAR image are posthoc-only
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,posthoc_correspondence_iou_high,0.7737,track=bt_0008;primary_det=GM_RM017_000149_002;secondary=GM_RM017_000149_003,310,98,"920.890,1010.485",w=167.826;h=66.700;heading=-3.000,395.997,-36.062,149,"2.727,302.727,171.818,403.636",w=169.091;h=100.909;area=17062.804;area_ratio=0.035548,1.6757,403.636,0.6727,eligibility=review_only_vehicle;tier=high_resolvable_vehicle;spatial=review_only_spatial_context_generated,primary=true;secondary=true,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=mixed_partial_full_observations;boundary=boundary_truncation_present;multi=multiple_observations,edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,review_only_vehicle,high_resolvable_vehicle,review_only_spatial_context_generated,true,true,true,true,posthoc correspondence hypothesis from optical bbox overlap; not identity truth; GT/SAR image are posthoc-only
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,posthoc_correspondence_iou_high,0.9429,track=bt_0010;primary_det=GM_RM017_000151_003;secondary=,315,99,"790.875,940.529",w=143.983;h=70.213;heading=177.000,532.931,-42.951,151,"0.049,309.587,51.328,351.758",w=51.279;h=42.171;area=2162.445;area_ratio=0.004505,1.2160,351.758,0.5863,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,primary=true;secondary=true,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,weak_vehicle_layer,high_resolvable_vehicle,loose_spatial_prior_generated,true,true,true,true,posthoc correspondence hypothesis from optical bbox overlap; not identity truth; GT/SAR image are posthoc-only
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,posthoc_correspondence_iou_high,0.9146,track=bt_0008;primary_det=GM_RM017_000151_002;secondary=,315,100,"956.450,1010.550",w=157.500;h=65.100;heading=-2.000,376.109,-31.685,151,"8.182,319.091,218.182,406.364",w=210.000;h=87.273;area=18327.330;area_ratio=0.038182,2.4062,406.364,0.6773,eligibility=review_only_vehicle;tier=high_resolvable_vehicle;spatial=review_only_spatial_context_generated,primary=true;secondary=true,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,review_only_vehicle,high_resolvable_vehicle,review_only_spatial_context_generated,true,true,true,true,posthoc correspondence hypothesis from optical bbox overlap; not identity truth; GT/SAR image are posthoc-only
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,posthoc_correspondence_iou_high,0.9918,track=bt_0008;primary_det=GM_RM017_000152_001;secondary=GM_RM017_000152_004,317,101,"977.076,1007.111",w=149.812;h=68.644;heading=175.000,368.710,-28.675,152,"0.673,314.663,239.203,406.354",w=238.530;h=91.690;area=21870.971;area_ratio=0.045565,2.6015,406.354,0.6773,eligibility=review_only_vehicle;tier=high_resolvable_vehicle;spatial=review_only_spatial_context_generated,primary=true;secondary=true,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=mixed_partial_full_observations;boundary=boundary_truncation_present;multi=multiple_observations,edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,review_only_vehicle,high_resolvable_vehicle,review_only_spatial_context_generated,true,true,true,true,posthoc correspondence hypothesis from optical bbox overlap; not identity truth; GT/SAR image are posthoc-only
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,posthoc_correspondence_iou_high,0.7061,track=bt_0010;primary_det=GM_RM017_000152_003;secondary=GM_RM017_000152_004,317,102,"796.483,941.214",w=163.847;h=68.644;heading=-2.000,528.621,-42.557,152,"2.727,300.000,70.909,360.000",w=68.182;h=60.000;area=4090.920;area_ratio=0.008523,1.1364,360.000,0.6000,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,primary=true;secondary=true,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=mixed_partial_full_observations;boundary=boundary_truncation_present;multi=multiple_observations,edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,weak_vehicle_layer,high_resolvable_vehicle,loose_spatial_prior_generated,true,true,true,true,posthoc correspondence hypothesis from optical bbox overlap; not identity truth; GT/SAR image are posthoc-only
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,posthoc_correspondence_iou_high,0.9394,track=bt_0010;primary_det=GM_RM017_000153_003;secondary=,319,103,"813.800,939.398",w=151.000;h=72.822;heading=-1.000,518.435,-41.011,153,"0.148,307.790,84.859,371.663",w=84.711;h=63.873;area=5410.768;area_ratio=0.011272,1.3262,371.663,0.6194,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,primary=true;secondary=true,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,weak_vehicle_layer,high_resolvable_vehicle,loose_spatial_prior_generated,true,true,true,true,posthoc correspondence hypothesis from optical bbox overlap; not identity truth; GT/SAR image are posthoc-only
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,posthoc_correspondence_iou_high,0.8106,track=bt_0008;primary_det=GM_RM017_000153_001;secondary=,319,104,"982.076,1008.910",w=159.155;h=70.137;heading=-1.000,364.750,-28.122,153,"2.727,297.273,261.818,403.636",w=259.091;h=106.363;area=27557.696;area_ratio=0.057412,2.4359,403.636,0.6727,eligibility=review_only_vehicle;tier=high_resolvable_vehicle;spatial=review_only_spatial_context_generated,primary=true;secondary=true,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,review_only_vehicle,high_resolvable_vehicle,review_only_spatial_context_generated,true,true,true,true,posthoc correspondence hypothesis from optical bbox overlap; not identity truth; GT/SAR image are posthoc-only
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,posthoc_correspondence_iou_high,0.9785,track=bt_0008;primary_det=GM_RM017_000154_001;secondary=,321,105,"993.833,1004.750",w=154.423;h=74.500;heading=,363.086,-26.176,154,"22.054,314.965,282.694,407.006",w=260.639;h=92.041;area=23989.595;area_ratio=0.049978,2.8318,407.006,0.6783,eligibility=review_only_vehicle;tier=high_resolvable_vehicle;spatial=review_only_spatial_context_generated,primary=true;secondary=true,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,review_only_vehicle,high_resolvable_vehicle,review_only_spatial_context_generated,true,true,true,false,posthoc correspondence hypothesis from optical bbox overlap; not identity truth; GT/SAR image are posthoc-only
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,posthoc_correspondence_iou_high,0.8452,track=bt_0010;primary_det=GM_RM017_000154_003;secondary=,321,106,"826.984,944.068",w=148.297;h=65.897;heading=-1.000,506.307,-40.232,154,"2.727,302.727,106.364,392.727",w=103.637;h=90.000;area=9327.330;area_ratio=0.019432,1.1515,392.727,0.6545,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,primary=true;secondary=true,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,weak_vehicle_layer,high_resolvable_vehicle,loose_spatial_prior_generated,true,true,true,true,posthoc correspondence hypothesis from optical bbox overlap; not identity truth; GT/SAR image are posthoc-only
