scene,object_hypothesis_id,row_scope,readiness_status,spatial_constraint_input_status,confidence_status,object_state_category,uses_primary_observations,uses_secondary_observations,optical_start_frame,optical_end_frame,optical_frame_count,sar_start_raw,sar_end_raw,sar_start_frame,sar_end_frame,sar_window_frame_count,optical_span_sar_frames,window_scene_fraction,padding_sar_frames,expected_padding_sar_frames,padding_policy_status,recomputed_sar_start_raw,recomputed_sar_end_raw,recomputed_sar_start_frame,recomputed_sar_end_frame,recomputed_sar_window_frame_count,formula_check_status,fps_ratio_check_status,width_constraint_status,narrowness_status,state_margin_status,blockers,quality_notes
GM_RM011,,scene_input_blocker,not_ready_for_sar_temporal_window,blocked_missing_object_level_flow,blocked_missing_object_stream,scene_missing_object_flow,false,false,,,,,,,,,,,,,not_applicable_no_object_flow,,,,,,not_applicable_no_object_flow,metadata_available_24_50_software_sync,not_applicable_no_object_flow,not_applicable_no_object_flow,not_applicable_no_object_flow,missing_oty0;missing_oty1;missing_oty1a;missing_oty1t;missing_p4g_object_hypotheses;missing_p4g_object_frame_states,temporal_metadata_available_but_object_flow_missing;no_object_level_sar_temporal_window_generated
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0001,object_temporal_window,ready_primary_sar_temporal_window,eligible_primary_spatial_constraint_input,software_sync_with_small_padding,stable_primary_continuity,true,false,118,164,47,245.833333,343.750000,242,347,106,97.916667,0.1384,3,3,pass_expected_state_padding,245.833333,343.750000,242,347,106,pass_50_24_formula,pass_50_over_24_mapping,normal_temporal_constraint,not_too_narrow_formula_padding_ok,stable_margin_base_rounding_sync_state,,
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0002,object_temporal_window,ready_primary_sar_temporal_window,eligible_primary_spatial_constraint_input,software_sync_with_small_padding,stable_primary_continuity,true,false,121,129,9,252.083333,270.833333,249,274,26,18.750000,0.0339,3,3,pass_expected_state_padding,252.083333,270.833333,249,274,26,pass_50_24_formula,pass_50_over_24_mapping,compact_temporal_constraint,not_too_narrow_formula_padding_ok,stable_margin_base_rounding_sync_state,,
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,object_temporal_window,low_confidence_sar_temporal_window,review_only_temporal_context_not_normal_spatial_input,software_sync_low_confidence_review_window,ambiguous_review_required,true,true,145,200,56,302.083333,418.750000,297,424,128,116.666667,0.1671,5,5,pass_expected_state_padding,302.083333,418.750000,297,424,128,pass_50_24_formula,pass_50_over_24_mapping,wide_but_bounded_review,not_too_narrow_formula_padding_ok,ambiguous_low_confidence_review_margin,,wide_but_still_bounded_by_scene_time
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,object_temporal_window,ready_uncertainty_expanded_sar_temporal_window,eligible_uncertainty_expanded_spatial_constraint_input,software_sync_with_uncertainty_padding,secondary_edge_handoff_uncertainty,true,true,143,214,72,297.916667,447.916667,293,452,160,150.000000,0.2089,4,4,pass_expected_state_padding,297.916667,447.916667,293,452,160,pass_50_24_formula,pass_50_over_24_mapping,wide_but_bounded_review,not_too_narrow_formula_padding_ok,secondary_edge_handoff_expanded_margin,,wide_but_still_bounded_by_scene_time
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,object_temporal_window,ready_uncertainty_expanded_sar_temporal_window,eligible_uncertainty_expanded_spatial_constraint_input,software_sync_with_uncertainty_padding,secondary_edge_handoff_uncertainty,true,true,149,210,62,310.416667,439.583333,306,444,139,129.166667,0.1815,4,4,pass_expected_state_padding,310.416667,439.583333,306,444,139,pass_50_24_formula,pass_50_over_24_mapping,wide_but_bounded_review,not_too_narrow_formula_padding_ok,secondary_edge_handoff_expanded_margin,,wide_but_still_bounded_by_scene_time
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,object_temporal_window,ready_uncertainty_expanded_sar_temporal_window,eligible_uncertainty_expanded_spatial_constraint_input,software_sync_with_uncertainty_padding,secondary_edge_handoff_uncertainty,true,true,152,213,62,316.666667,445.833333,312,450,139,129.166667,0.1815,4,4,pass_expected_state_padding,316.666667,445.833333,312,450,139,pass_50_24_formula,pass_50_over_24_mapping,wide_but_bounded_review,not_too_narrow_formula_padding_ok,secondary_edge_handoff_expanded_margin,,wide_but_still_bounded_by_scene_time
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,object_temporal_window,low_confidence_sar_temporal_window,review_only_temporal_context_not_normal_spatial_input,software_sync_low_confidence_review_window,ambiguous_review_required,true,true,0,11,12,0.000000,25.000000,0,30,31,25.000000,0.0405,5,5,pass_expected_state_padding,0.000000,25.000000,0,30,31,pass_50_24_formula_with_inventory_clamp,pass_50_over_24_mapping,compact_temporal_constraint,not_too_narrow_inventory_start_or_end_clamped,ambiguous_low_confidence_review_margin,,inventory_clamp_applied
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0002,object_temporal_window,low_confidence_sar_temporal_window,review_only_temporal_context_not_normal_spatial_input,software_sync_low_confidence_review_window,ambiguous_review_required,true,false,0,12,13,0.000000,27.083333,0,33,34,27.083333,0.0444,5,5,pass_expected_state_padding,0.000000,27.083333,0,33,34,pass_50_24_formula_with_inventory_clamp,pass_50_over_24_mapping,compact_temporal_constraint,not_too_narrow_inventory_start_or_end_clamped,ambiguous_low_confidence_review_margin,,inventory_clamp_applied
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,object_temporal_window,ready_uncertainty_expanded_sar_temporal_window,eligible_uncertainty_expanded_spatial_constraint_input,software_sync_with_uncertainty_padding,secondary_edge_handoff_uncertainty,true,true,5,41,37,10.416667,87.500000,6,92,87,77.083333,0.1136,4,4,pass_expected_state_padding,10.416667,87.500000,6,92,87,pass_50_24_formula,pass_50_over_24_mapping,normal_temporal_constraint,not_too_narrow_formula_padding_ok,secondary_edge_handoff_expanded_margin,,
