priority,scene,object_hypothesis_id,sample_pool,optical_frame_span,sar_frame_span,n_samples,review_need,reason,mechanism_relevance,required_inputs,not_identity_truth_note,provenance_labels
high,GM_RM011,,blocked_missing_gm011_object_stream,scene-level,scene-level,195,object_stream_recovery_input_need,GM_RM011 has SAR GT/review optical linkage but no current OTY optical object stream.,Required before GM_RM011 can enter optical-object to SAR-GT mechanism modeling.,Run GM_RM011 through OTY0/OTY1/OTY1t object-stream construction using optical data only.,"Recovery establishes an optical object stream candidate, not SAR identity truth.",runtime_safe_optical_evidence;manual_or_review_anchor;hypothesis_to_validate
high,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,paired_optical_object_sar_gt,102-139,212-290,6,optical_gt_or_identity_continuity_review,GM_RM019 low azimuth coverage; review object continuity and complete frames,"Confirms object hypothesis continuity, trajectory direction, and complete morphology frames.","Optical frames, current OTY object stream rows, review optical boxes; no SAR GT/image input for stream construction.",Review can anchor optical object hypotheses but this report does not declare identity truth.,manual_or_review_anchor;runtime_safe_optical_evidence;hypothesis_to_validate
high,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0009,paired_optical_object_sar_gt,13,27,1,optical_gt_or_identity_continuity_review,GM_RM019 sparse object; optical GT / identity review recommended,"Confirms object hypothesis continuity, trajectory direction, and complete morphology frames.","Optical frames, current OTY object stream rows, review optical boxes; no SAR GT/image input for stream construction.",Review can anchor optical object hypotheses but this report does not declare identity truth.,manual_or_review_anchor;runtime_safe_optical_evidence;hypothesis_to_validate
high,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,paired_optical_object_sar_gt,13-39,27-81,4,optical_gt_or_identity_continuity_review,GM_RM019 low azimuth coverage; review object continuity and complete frames,"Confirms object hypothesis continuity, trajectory direction, and complete morphology frames.","Optical frames, current OTY object stream rows, review optical boxes; no SAR GT/image input for stream construction.",Review can anchor optical object hypotheses but this report does not declare identity truth.,manual_or_review_anchor;runtime_safe_optical_evidence;hypothesis_to_validate
high,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,detection_dropout_temporal_continuation,147,306,1,dropout_or_severe_truncation_temporal_continuation_review,sar_gt_id=329; current primary missing; manual_review_required=true,Tests whether optical temporal continuation and SAR support recover target existence in dropout/truncation states.,"Current frame and +/- temporal optical frames, OTY object stream, review bbox context.","This is existence/continuation review, not final SAR label or identity truth.",manual_or_review_anchor;runtime_safe_temporal_evidence;SAR_temporal_observation;hypothesis_to_validate
high,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,paired_optical_object_sar_gt,151-152,315-317,2,optical_gt_or_identity_continuity_review,GM_RM019 sparse object; optical GT / identity review recommended,"Confirms object hypothesis continuity, trajectory direction, and complete morphology frames.","Optical frames, current OTY object stream rows, review optical boxes; no SAR GT/image input for stream construction.",Review can anchor optical object hypotheses but this report does not declare identity truth.,manual_or_review_anchor;runtime_safe_optical_evidence;hypothesis_to_validate
high,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098;oty1t_obj_GM_RM019_bytetrack_bt_0111,detection_dropout_temporal_continuation,168,350,1,dropout_or_severe_truncation_temporal_continuation_review,sar_gt_id=332; current primary missing; manual_review_required=true,Tests whether optical temporal continuation and SAR support recover target existence in dropout/truncation states.,"Current frame and +/- temporal optical frames, OTY object stream, review bbox context.","This is existence/continuation review, not final SAR label or identity truth.",manual_or_review_anchor;runtime_safe_temporal_evidence;SAR_temporal_observation;hypothesis_to_validate
high,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,detection_dropout_temporal_continuation,170,354,1,dropout_or_severe_truncation_temporal_continuation_review,sar_gt_id=333; current primary missing; manual_review_required=true,Tests whether optical temporal continuation and SAR support recover target existence in dropout/truncation states.,"Current frame and +/- temporal optical frames, OTY object stream, review bbox context.","This is existence/continuation review, not final SAR label or identity truth.",manual_or_review_anchor;runtime_safe_temporal_evidence;SAR_temporal_observation;hypothesis_to_validate
high,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,detection_dropout_temporal_continuation,4,8,1,dropout_or_severe_truncation_temporal_continuation_review,sar_gt_id=313; current primary missing; manual_review_required=true,Tests whether optical temporal continuation and SAR support recover target existence in dropout/truncation states.,"Current frame and +/- temporal optical frames, OTY object stream, review bbox context.","This is existence/continuation review, not final SAR label or identity truth.",manual_or_review_anchor;runtime_safe_temporal_evidence;SAR_temporal_observation;hypothesis_to_validate
high,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,detection_dropout_temporal_continuation,42,88,1,dropout_or_severe_truncation_temporal_continuation_review,sar_gt_id=321; current primary missing; manual_review_required=true,Tests whether optical temporal continuation and SAR support recover target existence in dropout/truncation states.,"Current frame and +/- temporal optical frames, OTY object stream, review bbox context.","This is existence/continuation review, not final SAR label or identity truth.",manual_or_review_anchor;runtime_safe_temporal_evidence;SAR_temporal_observation;hypothesis_to_validate
high,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,detection_dropout_temporal_continuation,97,202,1,dropout_or_severe_truncation_temporal_continuation_review,sar_gt_id=322; current primary missing; manual_review_required=true,Tests whether optical temporal continuation and SAR support recover target existence in dropout/truncation states.,"Current frame and +/- temporal optical frames, OTY object stream, review bbox context.","This is existence/continuation review, not final SAR label or identity truth.",manual_or_review_anchor;runtime_safe_temporal_evidence;SAR_temporal_observation;hypothesis_to_validate
medium,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,paired_optical_object_sar_gt,145-182,302-380,61,optical_gt_or_identity_continuity_review,review-only/state-mixed object; keep as explanation evidence unless reviewed,"Confirms object hypothesis continuity, trajectory direction, and complete morphology frames.","Optical frames, current OTY object stream rows, review optical boxes; no SAR GT/image input for stream construction.",Review can anchor optical object hypotheses but this report does not declare identity truth.,manual_or_review_anchor;runtime_safe_optical_evidence;hypothesis_to_validate
medium,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008;oty1t_obj_GM_RM017_bytetrack_bt_0010,detection_dropout_temporal_continuation,149,310,1,dropout_or_severe_truncation_temporal_continuation_review,sar_gt_id=97; current primary missing; manual_review_required=true,Tests whether optical temporal continuation and SAR support recover target existence in dropout/truncation states.,"Current frame and +/- temporal optical frames, OTY object stream, review bbox context.","This is existence/continuation review, not final SAR label or identity truth.",manual_or_review_anchor;runtime_safe_temporal_evidence;SAR_temporal_observation;hypothesis_to_validate
medium,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,paired_optical_object_sar_gt,151-189,315-394,75,optical_gt_or_identity_continuity_review,review-only/state-mixed object; keep as explanation evidence unless reviewed,"Confirms object hypothesis continuity, trajectory direction, and complete morphology frames.","Optical frames, current OTY object stream rows, review optical boxes; no SAR GT/image input for stream construction.",Review can anchor optical object hypotheses but this report does not declare identity truth.,manual_or_review_anchor;runtime_safe_optical_evidence;hypothesis_to_validate
medium,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,paired_optical_object_sar_gt,162-210,337-438,60,optical_gt_or_identity_continuity_review,review-only/state-mixed object; keep as explanation evidence unless reviewed,"Confirms object hypothesis continuity, trajectory direction, and complete morphology frames.","Optical frames, current OTY object stream rows, review optical boxes; no SAR GT/image input for stream construction.",Review can anchor optical object hypotheses but this report does not declare identity truth.,manual_or_review_anchor;runtime_safe_optical_evidence;hypothesis_to_validate
medium,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008;oty1t_obj_GM_RM017_bytetrack_bt_0010,detection_dropout_temporal_continuation,183,381,1,dropout_or_severe_truncation_temporal_continuation_review,sar_gt_id=263; current primary missing; manual_review_required=true,Tests whether optical temporal continuation and SAR support recover target existence in dropout/truncation states.,"Current frame and +/- temporal optical frames, OTY object stream, review bbox context.","This is existence/continuation review, not final SAR label or identity truth.",manual_or_review_anchor;runtime_safe_temporal_evidence;SAR_temporal_observation;hypothesis_to_validate
medium,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008;oty1t_obj_GM_RM017_bytetrack_bt_0010,detection_dropout_temporal_continuation,183,382,1,dropout_or_severe_truncation_temporal_continuation_review,sar_gt_id=266; current primary missing; manual_review_required=true,Tests whether optical temporal continuation and SAR support recover target existence in dropout/truncation states.,"Current frame and +/- temporal optical frames, OTY object stream, review bbox context.","This is existence/continuation review, not final SAR label or identity truth.",manual_or_review_anchor;runtime_safe_temporal_evidence;SAR_temporal_observation;hypothesis_to_validate
medium,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008;oty1t_obj_GM_RM017_bytetrack_bt_0010,detection_dropout_temporal_continuation,185,385,1,dropout_or_severe_truncation_temporal_continuation_review,sar_gt_id=275; current primary missing; manual_review_required=true,Tests whether optical temporal continuation and SAR support recover target existence in dropout/truncation states.,"Current frame and +/- temporal optical frames, OTY object stream, review bbox context.","This is existence/continuation review, not final SAR label or identity truth.",manual_or_review_anchor;runtime_safe_temporal_evidence;SAR_temporal_observation;hypothesis_to_validate
medium,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008;oty1t_obj_GM_RM017_bytetrack_bt_0010,detection_dropout_temporal_continuation,185,386,1,dropout_or_severe_truncation_temporal_continuation_review,sar_gt_id=278; current primary missing; manual_review_required=true,Tests whether optical temporal continuation and SAR support recover target existence in dropout/truncation states.,"Current frame and +/- temporal optical frames, OTY object stream, review bbox context.","This is existence/continuation review, not final SAR label or identity truth.",manual_or_review_anchor;runtime_safe_temporal_evidence;SAR_temporal_observation;hypothesis_to_validate
medium,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012;oty1t_obj_GM_RM017_bytetrack_bt_0014,detection_dropout_temporal_continuation,214,446,1,dropout_or_severe_truncation_temporal_continuation_review,sar_gt_id=308; current primary missing; manual_review_required=true,Tests whether optical temporal continuation and SAR support recover target existence in dropout/truncation states.,"Current frame and +/- temporal optical frames, OTY object stream, review bbox context.","This is existence/continuation review, not final SAR label or identity truth.",manual_or_review_anchor;runtime_safe_temporal_evidence;SAR_temporal_observation;hypothesis_to_validate
medium,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,paired_optical_object_sar_gt,0-4,0-8,3,optical_gt_or_identity_continuity_review,GM_RM019 state-mixed trajectory; review complete morphology frames,"Confirms object hypothesis continuity, trajectory direction, and complete morphology frames.","Optical frames, current OTY object stream rows, review optical boxes; no SAR GT/image input for stream construction.",Review can anchor optical object hypotheses but this report does not declare identity truth.,manual_or_review_anchor;runtime_safe_optical_evidence;hypothesis_to_validate
