panel_index,case_id,中文标题,样例类型,为什么选择这张,这张图要看什么,人工需要回答的问题,可以记录的结论,不能记录的结论,主要混淆因素,support 是否可判断,GT 是否可判断,是否需要前后帧,建议人工标签选项,panel_path
1,PAIR_GM_RM017_o184_s383_oty1t_obj_GM_RM017_bytetrack_bt_0014,完整光学高置信样例：紧凑车体结构,完整/高置信 paired support review,用于检查完整光学车辆对应的 optical-derived support 是否覆盖 SAR GT 内主要车体散射结构。,重点看 GT 框内近侧强散射条带、角点高能区、远侧弱回波是否落在 reconstructed support 内。,support 是否覆盖主要车体结构，而不仅是覆盖 GT 框的一部分面积？,可记录 GT 内 SAR morphology 是否清楚、support 是否覆盖主结构、是否存在过宽或峰值竞争。,不能记录为最终标注成功、identity truth 或 selector/ranking 结论。,近邻车辆、过宽 support、GT 边缘、局部高能背景。,可判断 reconstructed support 对 GT 主结构的覆盖，但只能作为 posthoc coverage hypothesis。,可判断 GT 框内 SAR morphology；GT 是 posthoc morphology anchor。,否，若主结构有疑问可补看前后帧。,SAR车体结构明显;SAR车体结构可见但断续;SAR车体结构弱;GT框可能偏/边缘影响;support覆盖主结构;support未覆盖主结构;support过宽;support疑似错位不可判断;邻车/电动车/栏杆干扰;需要时序判断;只能作为morphology参考;不能用于optical-SAR关联,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\01_PAIR_GM_RM017_o184_s383_oty1t_obj_GM_RM017_bytetrack_bt_0014_gt_support_energy_panel_cn.png
2,PAIR_GM_RM017_o153_s319_oty1t_obj_GM_RM017_bytetrack_bt_0008,断续多峰样例：车体片段是否仍可组成结构,paired support review / discontinuous morphology,用于检查多峰、断续条带是否仍形成 SAR 车体结构，以及 support 是否覆盖这些片段。,重点看多个高能点是否沿车体边缘排列，是否被 support 覆盖，还是来自邻近散射。,断续多峰能否作为 morphology 参考，还是需要标为邻近干扰？,可记录断续车体结构、角点高能、support 覆盖或漏覆盖。,不能把多峰直接写成车辆身份确认，也不能输出最终框。,邻车、货车或道路结构散射、GT 框边缘。,可判断 reconstructed support 对 GT 主结构的覆盖，但只能作为 posthoc coverage hypothesis。,可判断 GT 框内 SAR morphology；GT 是 posthoc morphology anchor。,可选，若多峰是否同一车体不清楚则需要。,SAR车体结构明显;SAR车体结构可见但断续;SAR车体结构弱;GT框可能偏/边缘影响;support覆盖主结构;support未覆盖主结构;support过宽;support疑似错位不可判断;邻车/电动车/栏杆干扰;需要时序判断;只能作为morphology参考;不能用于optical-SAR关联,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\02_PAIR_GM_RM017_o153_s319_oty1t_obj_GM_RM017_bytetrack_bt_0008_gt_support_energy_panel_cn.png
3,PAIR_GM_RM019_o13_s27_oty1t_obj_GM_RM019_bytetrack_bt_0005,径向扩散样例：扩散中是否保留车体 core,paired support review / range-spread morphology,用于检查 range spread 不应被直接等同于 diffuse/reject，仍需看 GT 内是否有车体核心结构。,重点看 GT 框上下侧或侧边是否有连续/断续车体条带，support 是否覆盖这些高能区域。,扩散是车辆结构的一部分、运动/环境影响，还是纯背景散射？,可记录 range-spread with vehicle body core、support 覆盖情况、是否需要时序。,不能把 motion/drift hypothesis 写成已证实物理结论。,路边栏杆、道路边缘、运动模糊假设、display contrast。,可判断 reconstructed support 对 GT 主结构的覆盖，但只能作为 posthoc coverage hypothesis。,可判断 GT 框内 SAR morphology；GT 是 posthoc morphology anchor。,是，建议结合前后帧看高能区是否随目标移动。,SAR车体结构明显;SAR车体结构可见但断续;SAR车体结构弱;GT框可能偏/边缘影响;support覆盖主结构;support未覆盖主结构;support过宽;support疑似错位不可判断;邻车/电动车/栏杆干扰;需要时序判断;只能作为morphology参考;不能用于optical-SAR关联,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\03_PAIR_GM_RM019_o13_s27_oty1t_obj_GM_RM019_bytetrack_bt_0005_gt_support_energy_panel_cn.png
4,PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,方位扩散样例：强侧边条带是否为车体结构,paired support review / azimuth-spread morphology,用于检查方位扩散或 support overlap 下，GT 内强侧边条带是否仍是车体 morphology anchor。,重点看近侧连续强条带、远侧弱回波、support 边界是否覆盖主条带。,support 覆盖的是目标车体主结构，还是覆盖了过宽的方位区域？,可记录 near-side ridge、support 是否过宽、coverage hypothesis 是否可视化成立。,不能记录为最终 optical-SAR 关联强度或身份真值。,方位映射裕量、support 过宽、邻近车辆峰值竞争。,可判断 reconstructed support 对 GT 主结构的覆盖，但只能作为 posthoc coverage hypothesis。,可判断 GT 框内 SAR morphology；GT 是 posthoc morphology anchor。,可选。,SAR车体结构明显;SAR车体结构可见但断续;SAR车体结构弱;GT框可能偏/边缘影响;support覆盖主结构;support未覆盖主结构;support过宽;support疑似错位不可判断;邻车/电动车/栏杆干扰;需要时序判断;只能作为morphology参考;不能用于optical-SAR关联,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\04_PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010_gt_support_energy_panel_cn.png
5,PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,时序稳定样例：高能区是否随车体迁移,temporal morphology reference / paired support review,用于检查单帧 support 之外，前后帧是否显示同一类车体高能结构迁移。,重点看当前帧 GT 内条带，以及前后帧小图中高能区是否呈合理时序迁移。,这是车辆 tube 的结构迁移，还是背景稳定峰值？,可记录需要 temporal morphology tube 或时序补偿。,不能把单帧覆盖不足直接判为失败，也不能输出最终轨迹或框。,背景稳定亮点、wrong-frame support、邻近车辆。,可判断 reconstructed support 对 GT 主结构的覆盖，但只能作为 posthoc coverage hypothesis。,可判断 GT 框内 SAR morphology；GT 是 posthoc morphology anchor。,是。,SAR车体结构明显;SAR车体结构可见但断续;SAR车体结构弱;GT框可能偏/边缘影响;support覆盖主结构;support未覆盖主结构;support过宽;support疑似错位不可判断;邻车/电动车/栏杆干扰;需要时序判断;只能作为morphology参考;不能用于optical-SAR关联,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\05_PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010_gt_support_energy_panel_cn.png
6,PAIR_GM_RM019_o15_s31_oty1t_obj_GM_RM019_bytetrack_bt_0005,弱/扩散样例：不要用 diffuse 标签直接否定 GT 内结构,paired morphology review / weak structure,用于检查原先可能被粗略拒绝的样例中是否仍有可解释 SAR 车体结构。,重点看 GT 内两侧断续条带、近雷达端部高能、support 是否覆盖这些弱结构。,弱结构是否仍可作为 morphology 参考，还是确实不可判读？,可记录结构弱、断续、需要时序或 GT 边缘影响。,不能把 weak/diffuse 直接等同于 no vehicle。,低对比、边缘截断、背景散射、时序迁移。,可判断 reconstructed support 对 GT 主结构的覆盖，但只能作为 posthoc coverage hypothesis。,可判断 GT 框内 SAR morphology；GT 是 posthoc morphology anchor。,是。,SAR车体结构明显;SAR车体结构可见但断续;SAR车体结构弱;GT框可能偏/边缘影响;support覆盖主结构;support未覆盖主结构;support过宽;support疑似错位不可判断;邻车/电动车/栏杆干扰;需要时序判断;只能作为morphology参考;不能用于optical-SAR关联,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\06_PAIR_GM_RM019_o15_s31_oty1t_obj_GM_RM019_bytetrack_bt_0005_gt_support_energy_panel_cn.png
7,PAIR_GM_RM019_o13_s27_oty1t_obj_GM_RM019_bytetrack_bt_0005,wrong-frame 风险样例：背景稳定与车辆时序迁移区分,temporal QA / wrong-frame risk,用于检查高能结构是否可能来自 wrong-frame 或背景稳定散射。,重点看前后帧小图，判断高能结构是否跟随目标变化，还是停留在背景位置。,该结构支持车辆 morphology，还是应标为 wrong-frame/background-stable review？,可记录需要时序判断、背景稳定风险、morphology 仍可能保留。,不能用单帧支持区直接确认关联。,背景稳定峰值、错帧、道路/栏杆结构。,可判断 reconstructed support 对 GT 主结构的覆盖，但只能作为 posthoc coverage hypothesis。,可判断 GT 框内 SAR morphology；GT 是 posthoc morphology anchor。,是。,SAR车体结构明显;SAR车体结构可见但断续;SAR车体结构弱;GT框可能偏/边缘影响;support覆盖主结构;support未覆盖主结构;support过宽;support疑似错位不可判断;邻车/电动车/栏杆干扰;需要时序判断;只能作为morphology参考;不能用于optical-SAR关联,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\07_PAIR_GM_RM019_o13_s27_oty1t_obj_GM_RM019_bytetrack_bt_0005_gt_support_energy_panel_cn.png
8,PAIR_GM_RM017_o149_s310_oty1t_obj_GM_RM017_bytetrack_bt_0008,邻近目标混淆样例：车体强但 association 需复核,paired support review / neighboring-object confounder,用于检查 support 内是否同时存在目标车和邻近车辆/电动车环境散射。,重点看 GT 内车体结构是否自洽，support 是否也覆盖邻近结构。,这是 SAR morphology failure，还是 association review due to nearby object？,可记录 SAR structure strong but association review needed。,不能因为邻近混淆就否定 GT 内 morphology，也不能确认身份。,电动车、邻车、栏杆、过宽 support。,可判断 reconstructed support 对 GT 主结构的覆盖，但只能作为 posthoc coverage hypothesis。,可判断 GT 框内 SAR morphology；GT 是 posthoc morphology anchor。,可选。,SAR车体结构明显;SAR车体结构可见但断续;SAR车体结构弱;GT框可能偏/边缘影响;support覆盖主结构;support未覆盖主结构;support过宽;support疑似错位不可判断;邻车/电动车/栏杆干扰;需要时序判断;只能作为morphology参考;不能用于optical-SAR关联,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\08_PAIR_GM_RM017_o149_s310_oty1t_obj_GM_RM017_bytetrack_bt_0008_gt_support_energy_panel_cn.png
9,PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,support overlap / 方位偏移样例：先确认 overlay 可靠,paired support coverage QA,旧 atlas 中该类最容易被 support 画法误导，本轮用 crop-local QA 重新渲染。,重点看 GT/support 边界是否对齐图像，support 是否覆盖 GT 内强条带。,support coverage 是否能被人工判断，还是仍需标为不可判断？,可记录 support 覆盖、过宽、漏覆盖或需要复核。,不能沿用旧 atlas 的 support coverage visual judgment。,方位映射裕量、support 过宽、旧图错位风险。,可判断 reconstructed support 对 GT 主结构的覆盖，但只能作为 posthoc coverage hypothesis。,可判断 GT 框内 SAR morphology；GT 是 posthoc morphology anchor。,可选。,SAR车体结构明显;SAR车体结构可见但断续;SAR车体结构弱;GT框可能偏/边缘影响;support覆盖主结构;support未覆盖主结构;support过宽;support疑似错位不可判断;邻车/电动车/栏杆干扰;需要时序判断;只能作为morphology参考;不能用于optical-SAR关联,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\09_PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010_gt_support_energy_panel_cn.png
10,PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,统计像车但需人工复核：结构与关联分层,paired visual review / statistics cross-check,用于检查统计指标提示 vehicle-like 时，人工是否同意 SAR 车体结构可见。,重点看近侧强条带、远侧弱回波、前后帧高能区是否一致。,是否应记录为 morphology 可见但 association 仍弱？,可记录 SAR morphology clear / review needed / support overbroad。,不能把统计 vehicle-like 写成最终关联成功。,重复同一时序、过宽 support、峰值竞争。,可判断 reconstructed support 对 GT 主结构的覆盖，但只能作为 posthoc coverage hypothesis。,可判断 GT 框内 SAR morphology；GT 是 posthoc morphology anchor。,是。,SAR车体结构明显;SAR车体结构可见但断续;SAR车体结构弱;GT框可能偏/边缘影响;support覆盖主结构;support未覆盖主结构;support过宽;support疑似错位不可判断;邻车/电动车/栏杆干扰;需要时序判断;只能作为morphology参考;不能用于optical-SAR关联,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\10_PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010_gt_support_energy_panel_cn.png
