scene,object_hypothesis_id,sar_gt_id,sar_frame,optical_frame,optical_bbox_area_ratio,optical_bbox_height,optical_bbox_width,optical_bbox_aspect_ratio,optical_bbox_bottom_y_norm,object_optical_area_slope_per_frame,object_sar_radius_slope_per_frame,optical_area_vs_sar_radius_trend_status,sar_gt_radius_px,sar_gt_azimuth_deg,sar_gt_long_axis_px,sar_gt_short_axis_px,sar_gt_aspect,sar_box_mean_intensity,sar_box_max_intensity,sar_box_top5_mean_intensity,sar_local_background_mean,sar_box_to_background_ratio,sar_peak_to_background_ratio,sar_center_to_peak_distance_px,scatter_observation_note,posthoc_only_note
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,95,302,145,0.017577,86.298,97.766,1.1329,0.6807,-0.00005661,0.03224,opposite_sign_area_radius_trend_posthoc,429.350,-41.387,137.225,68.218,2.0116,0.178066,0.717647,0.377492,0.177233,1.004702,4.049180,66.546,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,98,310,149,0.035548,100.909,169.091,1.6757,0.6727,-0.00005661,0.03224,opposite_sign_area_radius_trend_posthoc,395.997,-36.062,167.826,66.700,2.5161,0.252049,0.760784,0.507892,0.231770,1.087496,3.282498,71.427,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,99,315,151,0.004505,42.171,51.279,1.2160,0.5863,0.00099800,-1.60366,opposite_sign_area_radius_trend_posthoc,532.931,-42.951,143.983,70.213,2.0507,0.203855,0.760784,0.369207,0.193532,1.053342,3.931055,69.571,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,100,315,151,0.038182,87.273,210.000,2.4062,0.6773,-0.00005661,0.03224,opposite_sign_area_radius_trend_posthoc,376.109,-31.685,157.500,65.100,2.4194,0.227997,0.780392,0.470117,0.205364,1.110213,3.800052,38.354,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,101,317,152,0.045565,91.690,238.530,2.6015,0.6773,-0.00005661,0.03224,opposite_sign_area_radius_trend_posthoc,368.710,-28.675,149.812,68.644,2.1824,0.269520,0.792157,0.542528,0.241690,1.115149,3.277574,63.446,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,102,317,152,0.008523,60.000,68.182,1.1364,0.6000,0.00099800,-1.60366,opposite_sign_area_radius_trend_posthoc,528.621,-42.557,163.847,68.644,2.3869,0.240286,0.843137,0.430095,0.230094,1.044293,3.664311,73.474,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,103,319,153,0.011272,63.873,84.711,1.3262,0.6194,0.00099800,-1.60366,opposite_sign_area_radius_trend_posthoc,518.435,-41.011,151.000,72.822,2.0735,0.319413,0.874510,0.554581,0.301173,1.060563,2.903683,70.802,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,104,319,153,0.057412,106.363,259.091,2.4359,0.6727,-0.00005661,0.03224,opposite_sign_area_radius_trend_posthoc,364.750,-28.122,159.155,70.137,2.2692,0.342890,0.866667,0.649855,0.310310,1.104994,2.792907,68.313,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,105,321,154,0.049978,92.041,260.639,2.8318,0.6783,-0.00005661,0.03224,opposite_sign_area_radius_trend_posthoc,363.086,-26.176,154.423,74.500,2.0728,0.314243,0.819608,0.630092,0.280605,1.119876,2.920861,69.713,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,106,321,154,0.019432,90.000,103.637,1.1515,0.6545,0.00099800,-1.60366,opposite_sign_area_radius_trend_posthoc,506.307,-40.232,148.297,65.897,2.2504,0.297452,0.847059,0.543809,0.272894,1.089990,3.103979,68.616,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,107,323,155,0.049985,90.963,263.765,2.8997,0.6815,-0.00005661,0.03224,opposite_sign_area_radius_trend_posthoc,356.751,-23.750,152.033,76.979,1.9750,0.306095,0.847059,0.617706,0.275164,1.112406,3.078374,64.989,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,108,323,155,0.024236,92.728,125.455,1.3529,0.6591,0.00099800,-1.60366,opposite_sign_area_radius_trend_posthoc,500.909,-39.439,163.729,67.703,2.4183,0.286316,0.815686,0.542148,0.264584,1.082137,3.082905,69.533,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,109,325,156,0.051075,92.472,265.117,2.8670,0.6815,-0.00005661,0.03224,opposite_sign_area_radius_trend_posthoc,348.401,-22.320,146.473,67.871,2.1581,0.374801,0.890196,0.715706,0.333311,1.124477,2.670765,68.331,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,110,325,156,0.024753,84.780,140.144,1.6530,0.6565,0.00099800,-1.60366,opposite_sign_area_radius_trend_posthoc,493.565,-37.565,172.013,78.939,2.1791,0.341385,0.843137,0.607979,0.325649,1.048320,2.589096,66.626,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,111,327,157,0.051992,94.293,264.665,2.8068,0.6784,-0.00005661,0.03224,opposite_sign_area_radius_trend_posthoc,344.684,-20.747,148.762,71.222,2.0887,0.345413,0.866667,0.714568,0.302041,1.143597,2.869367,64.380,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,112,327,157,0.027861,86.484,154.631,1.7880,0.6556,0.00099800,-1.60366,opposite_sign_area_radius_trend_posthoc,485.124,-37.290,166.919,71.355,2.3393,0.313698,0.843137,0.600230,0.290697,1.079125,2.900403,69.599,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,113,329,158,0.052332,95.010,264.384,2.7827,0.6811,-0.00005661,0.03224,opposite_sign_area_radius_trend_posthoc,338.610,-18.347,142.137,71.937,1.9759,0.263307,0.874510,0.618961,0.222155,1.185238,3.936483,57.676,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,114,329,158,0.037190,109.091,163.636,1.5000,0.6773,0.00099800,-1.60366,opposite_sign_area_radius_trend_posthoc,484.574,-35.598,165.871,79.065,2.0979,0.228992,0.807843,0.473981,0.214715,1.066492,3.762396,74.060,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,115,330,158,0.052328,95.004,264.384,2.7829,0.6811,-0.00005661,0.03224,opposite_sign_area_radius_trend_posthoc,335.992,-17.855,164.000,66.194,2.4776,0.220761,0.827451,0.546945,0.184276,1.197994,4.490283,60.039,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,116,330,158,0.030880,86.769,170.826,1.9687,0.6569,0.00099800,-1.60366,opposite_sign_area_radius_trend_posthoc,480.392,-34.620,170.490,76.581,2.2263,0.188111,0.760784,0.410056,0.179394,1.048592,4.240853,74.066,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,117,331,159,0.034362,88.148,187.115,2.1227,0.6580,0.00099800,-1.60366,opposite_sign_area_radius_trend_posthoc,470.457,-34.132,162.955,76.151,2.1399,0.168172,0.749020,0.366931,0.153516,1.095466,4.879099,69.555,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,118,331,159,0.053479,96.347,266.429,2.7653,0.6802,-0.00005661,0.03224,opposite_sign_area_radius_trend_posthoc,333.911,-16.217,158.375,68.390,2.3158,0.189374,0.831373,0.468698,0.158692,1.193339,5.238897,56.593,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,119,332,159,0.034363,88.152,187.109,2.1226,0.6580,0.00099800,-1.60366,opposite_sign_area_radius_trend_posthoc,462.867,-33.441,156.252,67.413,2.3178,0.161269,0.705882,0.361561,0.142709,1.130057,4.946309,66.075,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,120,332,159,0.053481,96.352,266.428,2.7652,0.6802,-0.00005661,0.03224,opposite_sign_area_radius_trend_posthoc,333.790,-15.925,157.981,66.648,2.3704,0.176683,0.792157,0.431269,0.149224,1.184011,5.308516,58.832,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,121,333,160,0.039386,92.494,204.398,2.2099,0.6634,0.00099800,-1.60366,opposite_sign_area_radius_trend_posthoc,464.178,-32.688,172.998,77.879,2.2214,0.170391,0.741176,0.360151,0.156176,1.091022,4.745788,69.200,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,122,333,160,0.053129,95.326,267.522,2.8064,0.6792,-0.00005661,0.03224,opposite_sign_area_radius_trend_posthoc,331.513,-14.120,155.122,69.300,2.2384,0.188203,0.752941,0.435581,0.162846,1.155712,4.623640,53.553,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,123,334,160,0.039386,92.494,204.397,2.2098,0.6634,0.00099800,-1.60366,opposite_sign_area_radius_trend_posthoc,459.501,-32.400,162.903,64.484,2.5263,0.199572,0.780392,0.431240,0.175774,1.135389,4.439741,71.492,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,124,334,160,0.053129,95.328,267.516,2.8063,0.6792,-0.00005661,0.03224,opposite_sign_area_radius_trend_posthoc,329.168,-13.460,158.132,64.442,2.4539,0.215831,0.752941,0.487361,0.186785,1.155504,4.031051,40.016,GT box shows localized scatter statistics,"SAR image and GT are used only for mechanism discovery, not runtime construction"
