case_id,scene,object_hypothesis_id,sar_frame,frame_offsets_used,temporal_data_available,shell_available_in_frames,ridge_persistence,hotspot_persistence,shell_centroid_drift_px,shell_drift_direction,shell_orientation_change,structure_changes_gradually,non_jump_constraint_supported,background_stable_risk,compatible_with_optical_tracklet_motion,vehicle_like_temporal_drift_supported,notes
PAIR_GM_RM017_o145_s302_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,302,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,36.371,right,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o149_s310_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,310,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.9091,yes,41.39,right,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o151_s315_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,315,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.7273,yes,198.221,up,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o151_s315_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,315,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.9091,yes,128.764,left,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o152_s317_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,317,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.8182,yes,24.859,right,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o152_s317_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,317,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,207.415,up,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o153_s319_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,319,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.8182,yes,26.493,right,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o153_s319_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,319,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,136.054,down,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o154_s321_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,321,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.8182,yes,190.306,up,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o154_s321_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,321,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,133.623,down,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o155_s323_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,323,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,13.652,left_down,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o155_s323_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,323,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,41.211,right_down,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o156_s325_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,325,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.8182,yes,15.046,left,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o156_s325_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,325,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,17.458,right,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o157_s327_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,327,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.9091,yes,213.834,up,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o157_s327_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,327,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,67.16,right,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o158_s329_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,329,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.9091,yes,195.61,up,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o158_s329_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,329,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,119.066,down,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o158_s330_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,330,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.9091,yes,195.264,up,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o158_s330_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,330,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,41.628,right,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o159_s331_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,331,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,28.976,left,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o159_s331_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,331,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,192.637,up,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o159_s332_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,332,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,17.105,left,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o159_s332_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,332,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,201.855,up,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o160_s333_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,333,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,23.31,left,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o160_s333_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,333,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,116.037,left_up,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o160_s334_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,334,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,17.416,left,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o160_s334_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,334,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,30.242,up,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o161_s335_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,335,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,23.528,left,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o161_s335_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,335,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,197.19,up,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o161_s336_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,336,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,56.189,left,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o161_s336_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,336,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,224.859,right,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o162_s337_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,337,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,61.377,left,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
