case_id,scene,sar_frame,object_hypothesis_id,optical_state,support_available,gt_quality_label,gt_vehicle_morphology_supported,support_gt_area_coverage,support_gt_energy_coverage,support_morphology_coverage,vehicle_scale_morphology_inside_support,main_gt_structure_outside_support,support_miss_vehicle_structure,support_failure_type,if_support_miss_do_not_search_inside_support,recommended_next_action,not_allowed_conclusion
PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,343,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.8269,0.8516,0.9914,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o165_s344_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,344,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.876,0.8982,0.9976,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o166_s345_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,345,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.8572,0.8796,0.998,yes,no,no,support_too_broad;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o166_s346_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,346,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.8973,0.9149,0.998,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o167_s347_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,347,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9167,0.9312,1,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o167_s348_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,348,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.943,0.9539,1,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o168_s349_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,349,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9572,0.9663,1,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o168_s350_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,350,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9743,0.9801,1,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o168_s351_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,351,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9665,0.9744,1,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,352,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,uncertain,0.9935,0.9951,1,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o169_s353_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,353,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9953,0.9965,1,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o171_s356_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,356,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9992,0.9994,1,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o171_s357_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,357,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,1,1,1,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o172_s358_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,358,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,1,1,1,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o172_s359_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,359,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,1,1,1,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o173_s360_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,360,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,1,1,1,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o173_s361_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,361,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9826,0.9853,0.998,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
