probe_id,relationship_type,sample_pool,clean_morphology_inclusion,scene,object_hypothesis_id,state_condition,optical_frame,tau0_sar_frame,sar_frame_probe,paired_gt_sar_frame_posthoc,gt_frame_delta_sar_frames,c_time_status,support_region_source,support_region_mode,support_azimuth_center_deg,support_azimuth_start_deg,support_azimuth_end_deg,support_azimuth_width_deg,state_margin_deg,range_prior_mode,support_radius_min_px,support_radius_max_px,c_shell_status,support_area_px,support_center_x,support_center_y,local_peak_x,local_peak_y,local_peak_intensity,support_mean_intensity,background_mean_intensity,peak_to_background_ratio,support_to_background_ratio,scatter_centroid_x,scatter_centroid_y,centroid_residual_px,range_profile_peak_radius_px,azimuth_profile_peak_deg,topk_local_peaks,sar_image_path,sar_observation_status,gt_inside_support_posthoc,gt_azimuth_inside_posthoc,gt_radius_inside_posthoc,gt_center_to_peak_distance_posthoc_px,notes,provenance_labels
F0001,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,165,343.75,343,343,-0.75,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-24.6439,-39.2014,-10.0864,29.115,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,451262,876.1469,724.9434,1139,1303,1,0.3075,0.5476,1.8263,0.5615,855.1857,663.0981,65.3009,1260,-12.5,"1139,1303,1;852,33,0.9961;693,81,0.9961;631,105,0.9961;1151,1319,0.9922",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000343.png,support_region_observation_extracted,true,true,true,399.562,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0002,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,165,343.75,344,344,0.25,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-24.6439,-39.2014,-10.0864,29.115,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,451262,876.1469,724.9434,714,73,1,0.2904,0.5362,1.8648,0.5415,858.0078,665.754,61.9064,1252,-15.5,"1134,1306,1;714,73,1;1153,1329,0.9922;519,159,0.9922",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000344.png,support_region_observation_extracted,true,true,true,906.875,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0003,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,166,345.8333,345,345,-0.8333,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-23.1837,-37.8158,-8.5516,29.2643,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,453577,891.6711,718.0595,1139,1303,1,0.3081,0.5471,1.828,0.5631,874.3995,659.7408,60.8225,1252,-14.5,"1139,1303,1;475,184,0.9961;1151,1319,0.9922;444,203,0.9922",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000345.png,support_region_observation_extracted,true,true,true,396.115,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0004,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,166,345.8333,346,346,0.1667,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-23.1837,-37.8158,-8.5516,29.2643,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,453577,891.6711,718.0595,1139,1303,1,0.3051,0.5453,1.834,0.5596,873.499,657.9034,62.8409,1252,-15.5,"1139,1303,1;1150,1320,0.9922",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000346.png,support_region_observation_extracted,true,true,true,392.446,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0005,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,167,347.9167,347,347,-0.9167,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-21.5436,-36.1246,-6.9626,29.1619,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,451986,909.3102,710.8023,1139,1303,1,0.2918,0.5362,1.8649,0.5441,902.3725,674.7707,36.6934,1252,-9.5,"1139,1303,1;803,45,0.9961;1152,1319,0.9922;519,159,0.9922;580,128,0.9922",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000347.png,support_region_observation_extracted,true,true,true,389.76,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0006,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,167,347.9167,348,348,0.0833,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-21.5436,-36.1246,-6.9626,29.1619,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,451986,909.3102,710.8023,1139,1303,1,0.2807,0.529,1.8904,0.5307,894.3971,660.7475,52.2291,1252,-14.5,"1139,1303,1;1150,1320,0.9922",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000348.png,support_region_observation_extracted,true,true,true,385.346,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0007,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,168,350,349,349,-1,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-20.0395,-34.6862,-5.3929,29.2933,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,454024,925.6628,704.5933,1139,1303,1,0.283,0.5308,1.8839,0.5332,911.5174,656.1902,50.4277,1260,-13.5,"1139,1303,1;1153,1329,0.9922",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000349.png,support_region_observation_extracted,true,true,true,382.289,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0008,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,168,350,350,350,0,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-20.0395,-34.6862,-5.3929,29.2933,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,454024,925.6628,704.5933,796,47,1,0.2694,0.5221,1.9155,0.5159,914.7366,653.8725,51.8843,1260,-7.5,"1146,1299,1;413,223,1;796,47,1;645,99,0.9961;1146,1319,0.9922",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000350.png,support_region_observation_extracted,true,true,true,921.2,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0009,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,168,350,351,351,1,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-20.0395,-34.6862,-5.3929,29.2933,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,454024,925.6628,704.5933,796,47,1,0.2746,0.5254,1.9034,0.5226,912.2888,651.9182,54.3463,1260,-6.5,"796,47,1;1144,1299,1;413,223,1;608,115,0.9961;1148,1319,0.9922",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000351.png,support_region_observation_extracted,true,true,true,921.518,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0010,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,169,352.0833,352,352,-0.0833,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-18.4061,-33.0907,-3.7215,29.3692,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,455196,943.6002,698.3388,796,47,1,0.2766,0.5263,1.9001,0.5256,936.9401,657.5301,41.3486,1260,-9.5,"1146,1299,1;796,47,1;1017,5,0.9961;1153,1329,0.9922;942,15,0.9922",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000352.png,support_region_observation_extracted,true,true,true,928.857,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
