case_id,scene,object_hypothesis_id,optical_state,incompleteness_type,why_single_frame_support_may_fail,expected_sar_structure_missing_or_shifted,temporal_compensation_needed,state_compensation_needed,possible_sar_morphology_cue,posthoc_sar_observation,allowed_use,not_allowed_use
PAIR_GM_RM017_o151_s315_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o153_s319_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o154_s321_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o155_s323_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o174_s362_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o174_s363_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o175_s364_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o175_s365_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o176_s366_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o176_s367_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o177_s368_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o177_s369_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o178_s370_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o178_s371_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o179_s372_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
