transition_state,n_rows_or_reference_count,row_scope,entry_condition,allowed_interpretation,not_allowed_interpretation,main_failure_mode,next_validation_needed,provenance_labels
isolated_optical_support_only,0,state_conditioned paired rows,support exists but SAR structure is weak/no-structure,optical support exists and needs SAR observation follow-up,do not call this a target or final box,support does not isolate SAR structure,inspect whether range/azimuth support is too broad or SAR crop is weak,hypothesis_to_validate;SAR_image_observation;manual_or_review_anchor
isolated_sar_structure_only,20,SAR-only reference ledger,SAR morphology exists without current optical object counterpart,use as SAR morphology/reference pool only,do not mix into optical-SAR correspondence,no optical object hypothesis,keep SAR-only morphology tables separate,hypothesis_to_validate;SAR_image_observation;manual_or_review_anchor
weak_support,146,state_conditioned paired rows,limited support plus non-final SAR structure,weak posthoc support requiring review/provenance,not final annotation or identity truth,association remains under-supported,add temporal and object-quality gates,hypothesis_to_validate;SAR_image_observation;manual_or_review_anchor
review_required,9,state_conditioned paired rows,"optical ambiguity, duplicate/handoff, or review-only state",manual/review anchor may be separate provenance,do not auto-resolve identity,optical object hypothesis quality is unresolved,GM_RM019 optical continuity review,hypothesis_to_validate;SAR_image_observation;manual_or_review_anchor
dropout_existence_support_only,12,dropout/no-match special pool,current-frame optical detection dropout or severe truncation,temporal continuation/existence support only,do not mix into clean paired morphology,not a clean morphology sample,separate dropout recovery and SAR support audit,hypothesis_to_validate;SAR_image_observation;manual_or_review_anchor
rejected_for_temporal_instability,10,state_conditioned paired rows,SAR cluster does not persist as a usable tube,reject/hold association pending temporal evidence,do not trust single-frame bright peak,jumping or unstable SAR structure,tube-level drift and persistence probe,hypothesis_to_validate;SAR_image_observation;manual_or_review_anchor
rejected_for_peak_competition,2,state_conditioned paired rows,top1/top2 or local peaks remain too competitive,peak competition explains why top1 is insufficient,do not tune a top-k selector,local peak ambiguity,structure grouping instead of top-k optimization,hypothesis_to_validate;SAR_image_observation;manual_or_review_anchor
sar_structure_present_but_optical_ambiguous,45,state_conditioned paired rows,SAR structure exists but optical object hypothesis is ambiguous,SAR can support review but not settle optical identity,do not claim identity truth,object association unresolved,optical tracklet quality and review anchor,hypothesis_to_validate;SAR_image_observation;manual_or_review_anchor
optical_support_present_but_sar_ambiguous,1,state_conditioned paired rows,optical support exists but SAR structure is diffuse/ambiguous,hold as weak evidence or review-required,do not force an association candidate,SAR representation insufficient,visual SAR exemplar inspection and vocabulary refinement,hypothesis_to_validate;SAR_image_observation;manual_or_review_anchor
associated_posthoc_candidate,148,state_conditioned paired rows,"posthoc support, SAR structure, and gates are jointly plausible",posthoc association candidate only,not identity truth and not final annotation,still vulnerable to wrong-object/wrong-frame confounding,provenance matrix plus negative-control recheck,hypothesis_to_validate;SAR_image_observation;manual_or_review_anchor
