observation_id,scene,object_hypothesis_id,optical_frame,sar_frame,sample_pool,support_type_or_source,support_area_px,area_ratio_vs_broad,radius_band_width_px,support_azimuth_width_deg,support_radius_min_px,support_radius_max_px,gt_inside_support_posthoc,topk_contains_near_gt_posthoc,top1_near_gt_posthoc,observed_sar_structures_inside_support,dominant_structure_type,number_of_plausible_structures,compact_structure_present,multi_peak_structure_present,diffuse_structure_present,spread_structure_present,serious_peak_competition,no_unique_structure_can_be_isolated,support_too_broad_for_association,support_exists,sar_structure_exists,vehicle_like_sar_structure_exists,unique_sar_structure_exists,association_candidate_exists,association_state_posthoc,provenance_labels,notes
SRO00001,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,165,343,paired_optical_object_sar_gt,state_conditioned_range_band,26154,0.058,130,29.115,330.611,460.611,true,true,true,azimuth_spread_cluster;stable_cluster_tube,azimuth_spread_cluster,2906,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,associated_posthoc_weak,runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,GT and GT-near fields are posthoc validation only; association candidate is not identity truth.
SRO00002,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,165,344,paired_optical_object_sar_gt,state_conditioned_range_band,26154,0.058,130,29.115,330.611,460.611,true,true,true,azimuth_spread_cluster;stable_cluster_tube,azimuth_spread_cluster,2906,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,associated_posthoc_weak,runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,GT and GT-near fields are posthoc validation only; association candidate is not identity truth.
SRO00003,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,166,345,paired_optical_object_sar_gt,state_conditioned_range_band,26289,0.058,130,29.2642,330.611,460.611,true,true,true,azimuth_spread_cluster;stable_cluster_tube,azimuth_spread_cluster,2921,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,associated_posthoc_weak,runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,GT and GT-near fields are posthoc validation only; association candidate is not identity truth.
SRO00004,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,166,346,paired_optical_object_sar_gt,state_conditioned_range_band,26289,0.058,130,29.2642,330.611,460.611,true,true,true,azimuth_spread_cluster;stable_cluster_tube,azimuth_spread_cluster,2921,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,associated_posthoc_weak,runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,GT and GT-near fields are posthoc validation only; association candidate is not identity truth.
SRO00005,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,167,347,paired_optical_object_sar_gt,state_conditioned_range_band,26190,0.0579,130,29.162,330.611,460.611,true,true,true,azimuth_spread_cluster;stable_cluster_tube,azimuth_spread_cluster,2910,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,associated_posthoc_weak,runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,GT and GT-near fields are posthoc validation only; association candidate is not identity truth.
SRO00006,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,167,348,paired_optical_object_sar_gt,state_conditioned_range_band,26190,0.0579,130,29.162,330.611,460.611,true,true,true,azimuth_spread_cluster;stable_cluster_tube,azimuth_spread_cluster,2910,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,associated_posthoc_weak,runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,GT and GT-near fields are posthoc validation only; association candidate is not identity truth.
SRO00007,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,168,349,paired_optical_object_sar_gt,state_conditioned_range_band,26307,0.0579,130,29.2933,330.611,460.611,true,true,true,azimuth_spread_cluster;stable_cluster_tube,azimuth_spread_cluster,2923,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,associated_posthoc_weak,runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,GT and GT-near fields are posthoc validation only; association candidate is not identity truth.
SRO00008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,168,350,paired_optical_object_sar_gt,state_conditioned_range_band,26307,0.0579,130,29.2933,330.611,460.611,true,true,true,azimuth_spread_cluster;stable_cluster_tube,azimuth_spread_cluster,2923,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,associated_posthoc_weak,runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,GT and GT-near fields are posthoc validation only; association candidate is not identity truth.
SRO00009,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,168,351,paired_optical_object_sar_gt,state_conditioned_range_band,26307,0.0579,130,29.2933,330.611,460.611,true,true,true,azimuth_spread_cluster;stable_cluster_tube,azimuth_spread_cluster,2923,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,associated_posthoc_weak,runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,GT and GT-near fields are posthoc validation only; association candidate is not identity truth.
SRO00010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,169,352,paired_optical_object_sar_gt,state_conditioned_range_band,26370,0.0579,130,29.3692,330.611,460.611,true,true,true,azimuth_spread_cluster;stable_cluster_tube,azimuth_spread_cluster,2930,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,associated_posthoc_weak,runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,GT and GT-near fields are posthoc validation only; association candidate is not identity truth.
SRO00011,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,169,353,paired_optical_object_sar_gt,state_conditioned_range_band,26370,0.0579,130,29.3692,330.611,460.611,true,true,true,azimuth_spread_cluster;stable_cluster_tube,azimuth_spread_cluster,2930,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,associated_posthoc_weak,runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,GT and GT-near fields are posthoc validation only; association candidate is not identity truth.
SRO00012,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,171,356,paired_optical_object_sar_gt,state_conditioned_range_band,26541,0.0581,130,29.4771,330.611,460.611,true,true,true,azimuth_spread_cluster;stable_cluster_tube,azimuth_spread_cluster,2949,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,associated_posthoc_weak,runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,GT and GT-near fields are posthoc validation only; association candidate is not identity truth.
SRO00013,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,171,357,paired_optical_object_sar_gt,state_conditioned_range_band,26541,0.0581,130,29.4771,330.611,460.611,true,true,true,azimuth_spread_cluster;stable_cluster_tube,azimuth_spread_cluster,2949,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,associated_posthoc_weak,runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,GT and GT-near fields are posthoc validation only; association candidate is not identity truth.
SRO00014,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,172,358,paired_optical_object_sar_gt,state_conditioned_range_band,26235,0.0572,130,29.576,326.072,456.072,true,true,true,azimuth_spread_cluster;stable_cluster_tube,azimuth_spread_cluster,2916,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,associated_posthoc_weak,runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,GT and GT-near fields are posthoc validation only; association candidate is not identity truth.
SRO00015,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,172,359,paired_optical_object_sar_gt,state_conditioned_range_band,26235,0.0572,130,29.576,326.072,456.072,true,true,true,azimuth_spread_cluster;stable_cluster_tube,azimuth_spread_cluster,2916,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,associated_posthoc_weak,runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,GT and GT-near fields are posthoc validation only; association candidate is not identity truth.
SRO00016,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,173,360,paired_optical_object_sar_gt,state_conditioned_range_band,26748,0.0581,130,29.716,333.197,463.197,true,true,true,azimuth_spread_cluster;stable_cluster_tube,azimuth_spread_cluster,2972,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,associated_posthoc_weak,runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,GT and GT-near fields are posthoc validation only; association candidate is not identity truth.
