gt_id,case_id,scene,sar_frame,pool_type,gt_quality_label,gt_crop_available,dominant_energy_pattern,dominant_side_or_axis_proxy,energy_distribution_description,near_or_dominant_side_ridge_proxy,corner_or_endpoint_hotspot_proxy,far_or_opposite_side_weak_return_proxy,discontinuous_edge_proxy,enclosed_shell_proxy,block_like_body_proxy,range_spread_with_core_proxy,vehicle_morphology_supported,morphology_strength,confounders,posthoc_only,notes
336,GTREF_GM_RM011_s0_336,GM_RM011,0,gm011_waiting_object_stream,good,yes,side_ridge,lower_side,dominant_side=lower_side;side_contrast=1.1771;corner_ratio=2.7961;edge_continuity=0.875;component_count=11;part_count=2,yes,yes,uncertain,yes,no,no,no,yes,strong,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
2,GTREF_GM_RM011_s0_2,GM_RM011,0,gm011_waiting_object_stream,review_multi_structure,yes,corner_hotspot,lower_side,dominant_side=lower_side;side_contrast=1.0923;corner_ratio=2.1119;edge_continuity=1;component_count=27;part_count=1,no,yes,uncertain,no,no,no,no,uncertain,uncertain,neighbor_vehicle;background_clutter,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
3,GTREF_GM_RM011_s1_3,GM_RM011,1,gm011_waiting_object_stream,good,yes,discontinuous_edges,lower_side,dominant_side=lower_side;side_contrast=1.05;corner_ratio=1.9747;edge_continuity=0.8333;component_count=11;part_count=2,no,no,uncertain,yes,no,no,no,yes,medium,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
4,GTREF_GM_RM011_s1_4,GM_RM011,1,gm011_waiting_object_stream,review_multi_structure,yes,corner_hotspot,left_side,dominant_side=left_side;side_contrast=1.09;corner_ratio=2.5049;edge_continuity=1;component_count=30;part_count=2,no,yes,uncertain,yes,no,no,yes,uncertain,uncertain,neighbor_vehicle;background_clutter,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
336,GTREF_GM_RM011_s2_336,GM_RM011,2,gm011_waiting_object_stream,review_multi_structure,yes,corner_hotspot,lower_side,dominant_side=lower_side;side_contrast=1.0802;corner_ratio=2.2405;edge_continuity=0.75;component_count=16;part_count=2,no,yes,uncertain,yes,no,no,no,uncertain,uncertain,neighbor_vehicle;background_clutter,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
5,GTREF_GM_RM011_s2_5,GM_RM011,2,gm011_waiting_object_stream,review_multi_structure,yes,corner_hotspot,left_side,dominant_side=left_side;side_contrast=1.0625;corner_ratio=3.023;edge_continuity=1;component_count=27;part_count=2,no,yes,uncertain,yes,no,no,yes,uncertain,uncertain,neighbor_vehicle;background_clutter,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
6,GTREF_GM_RM011_s3_6,GM_RM011,3,gm011_waiting_object_stream,good,yes,corner_hotspot,lower_side,dominant_side=lower_side;side_contrast=1.0603;corner_ratio=2.1621;edge_continuity=0.75;component_count=8;part_count=2,no,yes,uncertain,yes,no,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
7,GTREF_GM_RM011_s3_7,GM_RM011,3,gm011_waiting_object_stream,review_multi_structure,yes,corner_hotspot,left_side,dominant_side=left_side;side_contrast=1.0514;corner_ratio=3.0517;edge_continuity=1;component_count=29;part_count=2,no,yes,uncertain,yes,no,no,yes,uncertain,uncertain,neighbor_vehicle;background_clutter,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
8,GTREF_GM_RM011_s4_8,GM_RM011,4,gm011_waiting_object_stream,good,yes,enclosed_shell,lower_side,dominant_side=lower_side;side_contrast=1.0194;corner_ratio=2.0189;edge_continuity=0.75;component_count=10;part_count=3,no,yes,uncertain,yes,yes,no,no,yes,strong,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
9,GTREF_GM_RM011_s4_9,GM_RM011,4,gm011_waiting_object_stream,review_multi_structure,yes,enclosed_shell,upper_side,dominant_side=upper_side;side_contrast=1.0123;corner_ratio=2.9467;edge_continuity=1;component_count=34;part_count=3,no,yes,uncertain,yes,yes,no,yes,yes,medium,neighbor_vehicle;background_clutter,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
