case_id,scene,sar_frame,object_hypothesis_id,gt_shell_supported,support_available,support_covers_shell,support_covers_parts_only,support_miss_shell,support_failure_type,physical_explanation,state_or_temporal_compensation_needed,not_allowed_conclusion
PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,343,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o165_s344_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,344,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o166_s345_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,345,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,too_broad,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o166_s346_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,346,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o167_s347_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,347,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o167_s348_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,348,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o168_s349_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,349,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o168_s350_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,350,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o168_s351_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,351,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,352,oty1t_obj_GM_RM017_bytetrack_bt_0010,uncertain,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
