sample_pool,scene,object_hypothesis_id,n_samples,optical_frame_span,sar_frame_span,sar_gt_ids_sample,sar_gt_center_x_slope_per_sar_frame,sar_gt_center_y_slope_per_sar_frame,sar_peak_x_slope_per_sar_frame,sar_peak_y_slope_per_sar_frame,sar_centroid_x_slope_per_sar_frame,sar_centroid_y_slope_per_sar_frame,peak_to_background_median,box_to_background_median,center_to_peak_distance_median,gt_center_vs_peak_drift_label,temporal_support_summary,provenance_labels,notes
paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,61,145-182,302-380,95;98;100;101;104;105,6.346444,0.001042,4.501633,-0.027167,5.194751,-0.040735,3.0654,1.0796,55.411,local_peak_drift_consistent_with_sar_gt_center_posthoc,Local SAR peak/centroid drift computed inside posthoc SAR GT crop.,SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence,Posthoc SAR temporal observation; not a runtime peak tracker or selector.
paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,75,151-189,315-394,99;102;103;106;108;110,6.791187,0.092493,4.825229,0.168127,5.851553,0.101957,3.0672,1.0855,64.476,local_peak_drift_consistent_with_sar_gt_center_posthoc,Local SAR peak/centroid drift computed inside posthoc SAR GT crop.,SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence,Posthoc SAR temporal observation; not a runtime peak tracker or selector.
paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,60,162-210,337-438,135;133;137;140;143;146,6.79927,-0.053651,7.516357,-0.07179,6.986039,0.028739,3.1358,1.0379,56.955,local_peak_drift_consistent_with_sar_gt_center_posthoc,Local SAR peak/centroid drift computed inside posthoc SAR GT crop.,SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence,Posthoc SAR temporal observation; not a runtime peak tracker or selector.
paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,3,184-212,383-442,269;272;307,0.878312,-2.301015,1.135846,-2.151621,0.948932,-2.271996,3.3934,1.0564,52.377,local_peak_drift_consistent_with_sar_gt_center_posthoc,Local SAR peak/centroid drift computed inside posthoc SAR GT crop.,SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence,Posthoc SAR temporal observation; not a runtime peak tracker or selector.
paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,3,0-4,0-8,309;311;314,2.418125,-0.371625,-1.125,-0.5,0.484143,-1.014565,4.0138,0.9637,34.732,local_peak_drift_partial_or_axis_weak_posthoc,Local SAR peak/centroid drift computed inside posthoc SAR GT crop.,SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence,Posthoc SAR temporal observation; not a runtime peak tracker or selector.
paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,4,13-39,27-81,316;317;319;320,4.110343,0.118125,7.272258,-0.285771,4.723292,0.60297,3.5681,0.8458,85.602,local_peak_drift_partial_or_axis_weak_posthoc,Local SAR peak/centroid drift computed inside posthoc SAR GT crop.,SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence,Posthoc SAR temporal observation; not a runtime peak tracker or selector.
paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0009,1,13,27,315,,,,,,,3.6927,0.775,81.729,insufficient_sar_temporal_samples,Local SAR peak/centroid drift computed inside posthoc SAR GT crop.,SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence,Posthoc SAR temporal observation; not a runtime peak tracker or selector.
paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,6,102-139,212-290,323;324;325;326;327;328,3.239466,0.071828,4.402593,0.285704,4.229719,-0.002206,3.7743,0.8731,68.568,local_peak_drift_consistent_with_sar_gt_center_posthoc,Local SAR peak/centroid drift computed inside posthoc SAR GT crop.,SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence,Posthoc SAR temporal observation; not a runtime peak tracker or selector.
paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,2,151-152,315-317,330;331,4.555,0.35,10.5,6.5,2.124256,0.39022,2.6948,0.8669,62.866,insufficient_sar_temporal_samples,Local SAR peak/centroid drift computed inside posthoc SAR GT crop.,SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence,Posthoc SAR temporal observation; not a runtime peak tracker or selector.
detection_dropout_temporal_continuation,GM_RM017=6;GM_RM019=6,,12,4-214,8-446,97;263;266;275;278;308,,,,,,,3.2354,1.0285,,dropout_pool_temporal_existence_support_not_clean_morphology,temporal_continuation=12/12; sar_posthoc_support=12/12,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;manual_or_review_anchor,Kept separate from clean paired morphology; propagation boxes are diagnostics only.
sar_only_gt_reference,GM_RM017=11;GM_RM011=6;GM_RM019=3,,20,,0-438,96;281;284;287;290;293,,,,,,,2.1973,0.958,60.292,sar_only_reference_not_optical_correspondence,SAR-only rows provide SAR morphology/scatter reference but no optical object trajectory.,SAR_image_observation;SAR_GT_posthoc_evidence,Excluded from optical-SAR correspondence statistics.
