primitive_name,human_interpretation,possible_physical_meaning,visible_in_panels,expected_energy_distribution,expected_temporal_behavior,confounders,runtime_safe_observable,posthoc_only_fields,next_computation_proxy
near_side_high_energy_ridge,近雷达侧或面向雷达侧形成高能车体边缘条带。,radar-facing body side / strong specular body-side return,1;4;9;10;11,one side strip has sustained energy above the opposite side,ridge may persist while hotspot migrates with motion,guardrail;nearby vehicle/e-bike;sidelobe,yes,GT-box membership and manual panel label,"side-strip energy and continuity inside runtime support, then validate posthoc by GT"
facing_side_hotspot,面向雷达或近侧端部出现局部高能点。,corner/plate/end reflector facing radar,1;2;4;6;9;10,localized p95/p99 hotspot near a body side or endpoint,may shift across frames as pose changes,sidelobe peak;neighboring object peak,yes,manual near/facing interpretation,top local energy atoms constrained by body-side strip continuity
corner_or_endpoint_strong_reflector,角点或端部强反射可提示车体端点，但不能断言车头/车尾。,vehicle endpoint/corner scatterer,2;6;8;12;13,corner zones have peak/mean ratio above body average,endpoint reflector can appear/disappear with pose and occlusion,label edge;small roadside object;e-bike,yes,GT-corner relation,corner hotspot proxy plus neighboring-object review flag
far_side_weak_return,远雷达侧通常弱于近侧，弱回波不等于无车体。,shadowing or weaker non-facing body side,1;4;9;10;13,opposite side lower mean energy but still geometrically aligned,weak side can strengthen or fade as pose changes,display transform;occlusion;annotation extent,uncertain,physical near/far side requires calibrated geometry or human label,do not auto-compute near/far until radar-side direction is validated
continuous_body_side_strip,连续车体侧边条带可直接形成 morphology anchor。,continuous side/body scattering strip,1;4;9;10;11,edge bins along one side repeatedly exceed local background,often persists over adjacent frames,road lane/guardrail parallel edge,yes,GT-side confirmation,edge-strip continuity proxy and support energy coverage
discontinuous_aligned_body_edges,断续片段仍可能沿车身排列并构成车体，不应直接判为无结构。,multi-scatterer body edge with occlusion or pose-dependent gaps,2;6;7;8;13,multiple separated high-energy atoms aligned along two body sides,fragments may link across frames,clutter;neighbor object;guardrail,yes,manual alignment interpretation,fragment alignment bins plus temporal persistence
multi_peak_enclosed_body_structure,多峰结构可形成包裹车体，而不是单个 top-k 点。,multiple vehicle scatter centers,2;8;11,several high atoms inside GT/support with body-like enclosure,component ordering should remain plausible,neighboring vehicle;wrong-object support overlap,yes,GT enclosure validation,connected high-energy atoms plus graph component count
range_spread_with_vehicle_body_core,径向扩散若保留车体核心，不应直接归入 diffuse/reject。,motion/focusing/environment affected spread plus body core,3;7,spread in range direction with aligned body-side residual core,spread may move with object or vary with environment,guardrail;roadside structures;motion hypothesis not confirmed,uncertain,motion explanation and GT relation,range profile width plus body-core edge continuity
environment_affected_body_structure,栏杆、路边、电动车等会影响结构解释，但不必否定车体结构。,vehicle return mixed with environment scatter,3;8,vehicle-like body atoms plus extra nearby clutter component,background component may persist differently from vehicle,guardrail;e-bike;neighbor vehicle,uncertain,manual confounder category,support graph competing components plus temporal drift mismatch
boundary_weak_vehicle_structure,边界/弱目标仍可提供端点或微弱车身 morphology reference。,partial fan-edge/low-return vehicle observation,12,low energy with one or two endpoint atoms,may need adjacent frames to confirm,bad GT quality;fan edge;weak display contrast,uncertain,GT quality and boundary review,boundary flag plus weak endpoint atom persistence
temporal_migrating_hotspot,高能区域可随车辆运动或姿态变化迁移。,pose-dependent radar-facing scatter migration,5;6;7;10,hotspot center shifts while body envelope remains plausible,"structured drift, not frame-independent wrong-frame persistence",background stable peak;wrong-frame support,yes,manual same-object temporal interpretation,short-window hotspot drift and optical motion compatibility
temporal_persistent_body_ridge,车体侧边条带可在前后帧持续存在。,stable vehicle body-side scatter tube,5;9;10;11,side-strip continuity remains high across frames,persistent ridge with limited drift,guardrail/background ridge,yes,GT temporal anchor,side-strip continuity tube with background-control comparison
near_field_truncated_strong_body_sides,近场截断时车身两侧可强，端部相对弱；不要强断言车头/车尾。,near-field partial visibility and strong side returns,13,"strong side regions, weaker endpoints",requires state/temporal compensation,optical truncation;fan edge;display crop,uncertain,manual near-field truncation interpretation,optical truncation flag plus side-energy asymmetry
