panel_id,case_id,human_structure_observation,support_observation,support_failure_hypothesis,temporal_hypothesis,confounder_note,concept_correction,recommended_next_action
Panel 1,PAIR_GM_RM017_o184_s383_oty1t_obj_GM_RM017_bytetrack_bt_0014,support 与 GT 重叠弱；高能角点/条带在 support 下面。,support 可能偏移或重建不足。,support_offset_or_reconstruction_issue,需要看全域条带是否随时序迁移。,邻车不应简单作为竞争解释。,不能只看 GT 局部亮点；需要看 support 全域结构。,review support reconstruction and range alignment
Panel 2,PAIR_GM_RM017_o153_s319_oty1t_obj_GM_RM017_bytetrack_bt_0008,GT 被 support 包裹；高能点形成水平带和竖直带，可组成 car。,support 覆盖主结构。,support_ok_but_not_exclusive,可补看时序确认多峰是否稳定。,邻近主要是花坛/背景，车体自洽。,多峰/条带可构成结构，不是孤立峰。,preserve as strong morphology anchor; association separate
Panel 3,PAIR_GM_RM019_o13_s27_oty1t_obj_GM_RM019_bytetrack_bt_0005,明显近场截断/光学信息问题；扩散中心仍是高能区域。,support may need state compensation.,near_field_truncation_issue,use temporal continuation to separate drift from background.,需区分扩散、背景噪声和车体结构。,diffuse 不能直接等于 reject。,review truncation/state and temporal compensation
Panel 4,PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,强侧边条带在该样本中是车体结构。,support 是参考，不是可直接使用规则。,support_ok_but_rule_not_final,能量分布会随雷达相对位置变化。,邻车/方位重叠仍需复核。,强侧边条带是 morphology anchor，不是 final rule。,inspect support-wide ridge and temporal persistence
Panel 5,PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,应看 10 帧后最高能区域相对车体条带的位置变化。,single-frame support insufficient for this question.,temporal_compensation_needed,check -5/0/+5 and 10-frame drift.,车/雷达相对位置影响热点位置。,时序 non-jump / gradual drift 是核心机制。,run motion/drift compatibility review
Panel 6,PAIR_GM_RM019_o15_s31_oty1t_obj_GM_RM019_bytetrack_bt_0005,截断未处理好；GT 框内峰点像车形。,support may miss weak/discontinuous structure.,optical_truncation_induced_shift,check whether weak structure persists.,不要因结构弱就否定。,weak/diffuse 仍可能是 vehicle morphology.,review truncation plus support-wide weak structure
Panel 7,PAIR_GM_RM019_o13_s27_oty1t_obj_GM_RM019_bytetrack_bt_0005,结构还行但可能混淆。,若用峰点，应看 support 全域。,support_contains_neighbor_structure,temporal context needed to resolve confusion.,background-stable or neighboring object risk.,peak-level judgment must expand to support-wide structure.,manual review with temporal context
Panel 8,PAIR_GM_RM017_o149_s310_oty1t_obj_GM_RM017_bytetrack_bt_0008,车体内部结构自洽。,support can be reviewed with neighboring/repeated fan overlap in mind.,support_ok_but_not_exclusive,combine temporal context for neighbor/overlap fan bands.,邻近车/重合扇带混淆。,SAR morphology strong and association review can both be true.,separate morphology strength from association
Panel 9,PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,方位对齐但径向未对齐；support 径向压缩偏强。,support range band too compressed.,azimuth_aligned_range_misaligned,use temporal flow and vehicle long-axis cue.,support overlap and truncation possible.,"coverage failure points to range/support reconstruction, not SAR morphology failure.",review range mapping and motion/drift compatibility
Panel 10,PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,与 Panel 9 同一车相邻时序，问题类似。,support range issue repeats in adjacent frame.,azimuth_aligned_range_misaligned,compare adjacent frames for gradual drift.,same-object temporal repetition remains hypothesis only.,adjacent-frame consistency supports diagnosis but not identity truth.,review as paired temporal case with Panel 9
Panel 11,PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,association 概念需明确；多车排列也是信息。,support coverage cannot be read as identity.,support_ok_but_not_exclusive,relative position can help temporal reasoning.,multi-vehicle arrangement.,"association is optical hypothesis to SAR structure, not GT truth.",manual association review using relative position
Panel 12,GTREF_GM_RM017_s302_96,峰点围成车；边缘能量弱但仍有结构。,paired support unavailable; reference-only.,reference_only_no_support,use as temporal validation supplement only.,SAR-only edge/boundary case.,SAR-only cannot enter paired correspondence.,keep as SAR morphology reference
Panel 13,GTREF_GM_RM011_s0_336,近场容易逸散/发散；高能对岸体现结构，车体两侧条带合理。,GM_RM011 support unavailable until object stream exists.,reference_only_no_support,future object stream needed before paired temporal diagnosis.,near-field truncation and GM_RM011 missing object stream.,GM_RM011 blocked is not unannotated and not paired here.,keep as reference; do not mix into paired pool
