gt_id,scene,sar_frame,pool_type,gt_quality_label,gt_quality_confidence,gt_area_px,gt_energy_inside,gt_energy_nearby_context,energy_center_offset_from_gt_center,dominant_energy_inside_gt,vehicle_scale_structure_inside_gt,gt_contains_most_vehicle_structure,gt_contains_too_much_background,needs_manual_gt_review,review_reason,not_allowed_conclusion
336,GM_RM011,0,gm011_waiting_object_stream,good,medium,9439.832,800058,7760322,5.018,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
2,GM_RM011,0,gm011_waiting_object_stream,review_multi_structure,medium,10259.188,592633,11232248,12.25,no,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
3,GM_RM011,1,gm011_waiting_object_stream,good,medium,10858.984,1061529,8945827,5.319,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
4,GM_RM011,1,gm011_waiting_object_stream,review_multi_structure,medium,12097.032,859619,13263259,11.062,no,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
336,GM_RM011,2,gm011_waiting_object_stream,review_multi_structure,medium,10858.984,848333,8142575,4.149,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
5,GM_RM011,2,gm011_waiting_object_stream,review_multi_structure,medium,11639.898,685394,11602260,9.586,no,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
6,GM_RM011,3,gm011_waiting_object_stream,good,medium,8765.164,744476,6899207,1.299,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
7,GM_RM011,3,gm011_waiting_object_stream,review_multi_structure,medium,10749.63,683448,11518989,8.242,no,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
8,GM_RM011,4,gm011_waiting_object_stream,good,medium,8765.164,773126,7197159,1.263,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
9,GM_RM011,4,gm011_waiting_object_stream,review_multi_structure,medium,11639.898,786081,12452658,7.044,no,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
