hypothesis_id,case_id,composition_type,primitives_used,composition_rule_public,n_primitives,spatial_extent,range_extent,azimuth_extent,internal_consistency,peak_competition_context,temporal_support_available,compatible_with_optical_state,compatible_with_vehicle_physics,posthoc_gt_relation_validation_only,can_support_association,why_not_identity_truth,failure_mode,notes
COMP00001,PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;azimuth_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26154;gt_box=w=162.071;h=80.194;heading=-3.000,130,29.115,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00002,PAIR_GM_RM017_o165_s344_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,azimuth_ridge;azimuth_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26154;gt_box=w=152.280;h=71.257;heading=178.000,130,29.115,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00003,PAIR_GM_RM017_o166_s345_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,azimuth_ridge;range_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26289;gt_box=w=163.126;h=81.458;heading=-3.000,130,29.2642,medium_spread_structure,serious,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00004,PAIR_GM_RM017_o166_s346_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,azimuth_ridge;azimuth_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26289;gt_box=w=160.875;h=79.711;heading=176.000,130,29.2642,medium_spread_structure,serious,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00005,PAIR_GM_RM017_o167_s347_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,azimuth_ridge;azimuth_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26190;gt_box=w=167.084;h=76.181;heading=-3.000,130,29.162,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00006,PAIR_GM_RM017_o167_s348_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,azimuth_ridge;azimuth_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26190;gt_box=w=158.800;h=77.733;heading=178.000,130,29.162,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00007,PAIR_GM_RM017_o168_s349_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,azimuth_ridge;range_ridge;azimuth_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26307;gt_box=w=174.694;h=74.903;heading=-3.000,130,29.2933,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00008,PAIR_GM_RM017_o168_s350_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,azimuth_ridge;range_ridge;azimuth_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26307;gt_box=w=173.750;h=74.157;heading=175.000,130,29.2933,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00009,PAIR_GM_RM017_o168_s351_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,azimuth_ridge;range_ridge;azimuth_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26307;gt_box=w=171.226;h=76.413;heading=-3.000,130,29.2933,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00010,PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,azimuth_ridge;range_ridge;azimuth_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26370;gt_box=w=165.109;h=75.000;heading=178.000,130,29.3692,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
