stratum_type,stratum,feature,target,n_frames,n_objects,pearson,slope,median_feature,median_target,effect_direction,stability_label,limit_note
all,all,bbox_area_ratio,sar_radius_px,215,9,-0.7384,-1415.540454,0.043824,402.16,negative_relation_larger_optical_feature_nearer_radius,moderate_posthoc_relation,state_mixed_or_review_context; do not convert to runtime rule
all,all,bbox_height,sar_radius_px,215,9,-0.8418,-1.688157,95.004,402.16,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,state_mixed_or_review_context; do not convert to runtime rule
all,all,bbox_bottom_y_norm,sar_radius_px,215,9,-0.7722,-852.35294,0.6461,402.16,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,state_mixed_or_review_context; do not convert to runtime rule
all,all,bbox_aspect_ratio,sar_radius_px,215,9,0.1061,17.807572,2.4195,402.16,weak_or_flat_relation,unstable_or_not_supported,state_mixed_or_review_context; do not convert to runtime rule
scene,GM_RM017,bbox_area_ratio,sar_radius_px,199,4,-0.8703,-3959.218405,0.042789,408.111,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,single_scene_stratum
scene,GM_RM017,bbox_height,sar_radius_px,199,4,-0.8354,-3.598532,93.315002,408.111,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,single_scene_stratum
scene,GM_RM017,bbox_bottom_y_norm,sar_radius_px,199,4,-0.6592,-2839.902817,0.6432,408.111,negative_relation_larger_optical_feature_nearer_radius,moderate_posthoc_relation,single_scene_stratum
scene,GM_RM017,bbox_aspect_ratio,sar_radius_px,199,4,-0.3707,-54.181126,2.4253,408.111,negative_relation_larger_optical_feature_nearer_radius,weak_posthoc_relation,single_scene_stratum
scene,GM_RM019,bbox_area_ratio,sar_radius_px,16,5,-0.8477,-146.191423,0.173046,153.863,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,single_scene_stratum
scene,GM_RM019,bbox_height,sar_radius_px,16,5,-0.6594,-0.278694,251.38884,153.863,negative_relation_larger_optical_feature_nearer_radius,moderate_posthoc_relation,single_scene_stratum
scene,GM_RM019,bbox_bottom_y_norm,sar_radius_px,16,5,-0.4582,-376.059269,0.99905,153.863,negative_relation_larger_optical_feature_nearer_radius,weak_posthoc_relation,single_scene_stratum
scene,GM_RM019,bbox_aspect_ratio,sar_radius_px,16,5,-0.6662,-18.795708,1.09855,153.863,negative_relation_larger_optical_feature_nearer_radius,moderate_posthoc_relation,single_scene_stratum
vehicle_research_eligibility,blocked_vehicle_or_noise,bbox_area_ratio,sar_radius_px,1,1,,,0.044607,202.905,insufficient,insufficient_for_stability,single_scene_stratum
vehicle_research_eligibility,blocked_vehicle_or_noise,bbox_height,sar_radius_px,1,1,,,159.441711,202.905,insufficient,insufficient_for_stability,single_scene_stratum
vehicle_research_eligibility,blocked_vehicle_or_noise,bbox_bottom_y_norm,sar_radius_px,1,1,,,0.995,202.905,insufficient,insufficient_for_stability,single_scene_stratum
vehicle_research_eligibility,blocked_vehicle_or_noise,bbox_aspect_ratio,sar_radius_px,1,1,,,0.8422,202.905,insufficient,insufficient_for_stability,single_scene_stratum
vehicle_research_eligibility,review_only_vehicle,bbox_area_ratio,sar_radius_px,64,2,-0.9351,-816.822468,0.055228,334.173,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,state_mixed_or_review_context; do not convert to runtime rule
vehicle_research_eligibility,review_only_vehicle,bbox_height,sar_radius_px,64,2,-0.8813,-1.408777,100.955259,334.173,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,state_mixed_or_review_context; do not convert to runtime rule
vehicle_research_eligibility,review_only_vehicle,bbox_bottom_y_norm,sar_radius_px,64,2,-0.8943,-619.425677,0.6693,334.173,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,state_mixed_or_review_context; do not convert to runtime rule
vehicle_research_eligibility,review_only_vehicle,bbox_aspect_ratio,sar_radius_px,64,2,-0.3869,-34.48409,2.7828,334.173,negative_relation_larger_optical_feature_nearer_radius,weak_posthoc_relation,state_mixed_or_review_context; do not convert to runtime rule
vehicle_research_eligibility,weak_vehicle_layer,bbox_area_ratio,sar_radius_px,150,6,-0.7768,-1562.044931,0.035776,449.932,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,state_mixed_or_review_context; do not convert to runtime rule
vehicle_research_eligibility,weak_vehicle_layer,bbox_height,sar_radius_px,150,6,-0.9061,-1.624069,90.279038,449.932,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,state_mixed_or_review_context; do not convert to runtime rule
vehicle_research_eligibility,weak_vehicle_layer,bbox_bottom_y_norm,sar_radius_px,150,6,-0.8287,-877.222343,0.6383,449.932,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,state_mixed_or_review_context; do not convert to runtime rule
vehicle_research_eligibility,weak_vehicle_layer,bbox_aspect_ratio,sar_radius_px,150,6,0.3279,55.543808,2.40615,449.932,weak_or_flat_relation,unstable_or_not_supported,state_mixed_or_review_context; do not convert to runtime rule
context,ambiguous_or_review_only,bbox_area_ratio,sar_radius_px,37,2,-0.9542,-756.047058,0.057243,325.513,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,state_mixed_or_review_context; do not convert to runtime rule
context,ambiguous_or_review_only,bbox_height,sar_radius_px,37,2,-0.9599,-1.345669,98.704071,325.513,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,state_mixed_or_review_context; do not convert to runtime rule
context,ambiguous_or_review_only,bbox_bottom_y_norm,sar_radius_px,37,2,-0.9377,-581.984887,0.6725,325.513,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,state_mixed_or_review_context; do not convert to runtime rule
context,ambiguous_or_review_only,bbox_aspect_ratio,sar_radius_px,37,2,-0.0077,-1.433659,2.8068,325.513,weak_or_flat_relation,unstable_or_not_supported,state_mixed_or_review_context; do not convert to runtime rule
context,complete,bbox_area_ratio,sar_radius_px,103,6,-0.7746,-1297.230452,0.043037,415.184,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,complete_context_only
context,complete,bbox_height,sar_radius_px,103,6,-0.9365,-1.509847,92.653,415.184,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,complete_context_only
context,complete,bbox_bottom_y_norm,sar_radius_px,103,6,-0.9059,-798.121247,0.6374,415.184,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,complete_context_only
context,complete,bbox_aspect_ratio,sar_radius_px,103,6,0.7259,120.968973,2.4243,415.184,positive_relation,moderate_posthoc_relation,complete_context_only
context,duplicate_or_handoff,bbox_area_ratio,sar_radius_px,17,3,-0.9465,-4282.048364,0.044978,402.17,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,single_scene_stratum
context,duplicate_or_handoff,bbox_height,sar_radius_px,17,3,-0.9394,-4.213564,96.996246,402.17,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,single_scene_stratum
context,duplicate_or_handoff,bbox_bottom_y_norm,sar_radius_px,17,3,-0.6056,-2748.558057,0.6402,402.17,negative_relation_larger_optical_feature_nearer_radius,moderate_posthoc_relation,single_scene_stratum
context,duplicate_or_handoff,bbox_aspect_ratio,sar_radius_px,17,3,-0.6977,-98.630703,2.3949,402.17,negative_relation_larger_optical_feature_nearer_radius,moderate_posthoc_relation,single_scene_stratum
context,edge,bbox_area_ratio,sar_radius_px,58,4,-0.8915,-4236.603519,0.034691,442.488,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,state_mixed_or_review_context; do not convert to runtime rule
context,edge,bbox_height,sar_radius_px,58,4,-0.8268,-1.992768,91.827691,442.488,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,state_mixed_or_review_context; do not convert to runtime rule
context,edge,bbox_bottom_y_norm,sar_radius_px,58,4,-0.6525,-1077.965966,0.655,442.488,negative_relation_larger_optical_feature_nearer_radius,moderate_posthoc_relation,state_mixed_or_review_context; do not convert to runtime rule
context,edge,bbox_aspect_ratio,sar_radius_px,58,4,0.0337,6.028146,2.0597,442.488,weak_or_flat_relation,unstable_or_not_supported,state_mixed_or_review_context; do not convert to runtime rule
correspondence_confidence,high_confidence_correspondence,bbox_area_ratio,sar_radius_px,213,9,-0.7386,-1395.72768,0.043826,401.774,negative_relation_larger_optical_feature_nearer_radius,moderate_posthoc_relation,state_mixed_or_review_context; do not convert to runtime rule
correspondence_confidence,high_confidence_correspondence,bbox_height,sar_radius_px,213,9,-0.8435,-1.668332,95.010376,401.774,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,state_mixed_or_review_context; do not convert to runtime rule
correspondence_confidence,high_confidence_correspondence,bbox_bottom_y_norm,sar_radius_px,213,9,-0.7787,-845.195577,0.6486,401.774,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,state_mixed_or_review_context; do not convert to runtime rule
correspondence_confidence,high_confidence_correspondence,bbox_aspect_ratio,sar_radius_px,213,9,0.151,25.473251,2.4212,401.774,weak_or_flat_relation,unstable_or_not_supported,state_mixed_or_review_context; do not convert to runtime rule
correspondence_confidence,weak_correspondence,bbox_area_ratio,sar_radius_px,2,1,,1302.478065,0.006235,599.506,insufficient,insufficient_for_stability,single_scene_stratum
correspondence_confidence,weak_correspondence,bbox_height,sar_radius_px,2,1,,-3.468037,54.765,599.506,insufficient,insufficient_for_stability,single_scene_stratum
correspondence_confidence,weak_correspondence,bbox_bottom_y_norm,sar_radius_px,2,1,,-127.647059,0.63325,599.506,insufficient,insufficient_for_stability,single_scene_stratum
correspondence_confidence,weak_correspondence,bbox_aspect_ratio,sar_radius_px,2,1,,7.497532,0.9987,599.506,insufficient,insufficient_for_stability,single_scene_stratum
scene_x_vehicle_research_eligibility,GM_RM017|review_only_vehicle,bbox_area_ratio,sar_radius_px,61,1,-0.8375,-1565.667574,0.054684,335.992,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,single_scene_stratum
scene_x_vehicle_research_eligibility,GM_RM017|review_only_vehicle,bbox_height,sar_radius_px,61,1,-0.1306,-0.525723,100.916748,335.992,weak_or_flat_relation,unstable_or_not_supported,single_scene_stratum
scene_x_vehicle_research_eligibility,GM_RM017|review_only_vehicle,bbox_bottom_y_norm,sar_radius_px,61,1,-0.244,-609.900501,0.6693,335.992,weak_or_flat_relation,unstable_or_not_supported,single_scene_stratum
scene_x_vehicle_research_eligibility,GM_RM017|review_only_vehicle,bbox_aspect_ratio,sar_radius_px,61,1,-0.8516,-35.082268,2.8009,335.992,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,single_scene_stratum
scene_x_vehicle_research_eligibility,GM_RM017|weak_vehicle_layer,bbox_area_ratio,sar_radius_px,138,3,-0.8594,-3583.946096,0.030283,455.772,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,single_scene_stratum
