triage_id,triage_line,source_mode_name,bucket,state_condition,control_support_type,control_variant_group,n_rows,topk_contains_near_gt_rate_posthoc,top1_near_gt_rate_posthoc,gt_inside_support_rate_posthoc,reference_true_topk_rate_posthoc,delta_vs_true_rate_posthoc,median_best_topk_distance_to_gt_px_posthoc,median_peak_background_ratio,median_support_area_px,median_support_overlap_iou_proxy,median_support_intersection_ratio_vs_true,scatter_cluster_type_mix,temporal_stability_label_mix,interpretation,provenance_labels
TR0001,wrong_object_confounder,broad_fan_baseline,high_overlap_ge_0p75,all_states,wrong_object_support,same_scene_other_object,22,0,0,0.9545,0.0279,-0.0279,486.77,1.8359,667548,0.6139,0.8912,diffuse_clutter=14;azimuth_spread_cluster=3;weak_no_structure=3;range_spread_cluster=2,jumping_peak=19;diffuse_or_unstable_cluster_tube=3,wrong-object high is mostly an object-confusion/support-overlap problem,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0002,wrong_object_confounder,broad_fan_baseline,low_overlap_lt_0p25,all_states,wrong_object_support,same_scene_other_object,1,0,0,0,0.0279,-0.0279,123.062,2.1472,583677,0.064,0.1015,range_spread_cluster=1,jumping_peak=1,wrong-object drops after support overlap decreases,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0003,wrong_object_confounder,broad_fan_baseline,medium_overlap_0p25_0p75,all_states,wrong_object_support,same_scene_other_object,184,0,0,0.2989,0.0279,-0.0279,368.067,1.9695,467487,0.2852,0.4154,diffuse_clutter=131;azimuth_spread_cluster=25;weak_no_structure=23;multi_peak_nearby_cluster=3;range_spread_cluster=2,jumping_peak=118;diffuse_or_unstable_cluster_tube=63;stable_cluster_tube=3,wrong-object high is mostly an object-confusion/support-overlap problem,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0004,wrong_object_confounder,broad_fan_baseline,no_overlap,all_states,wrong_object_support,same_scene_other_object,8,0,0,0,0.0279,-0.0279,148.202,2.2702,459918,0,0,range_spread_cluster=8,diffuse_or_unstable_cluster_tube=4;jumping_peak=3;insufficient_temporal_samples=1,wrong-object drops after support overlap decreases,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0005,wrong_object_confounder,state_conditioned_range_band,high_overlap_ge_0p75,all_states,wrong_object_support,same_scene_other_object,11,0.9091,0.1818,0.8182,0.8977,0.0114,70.236,1.703,137601,0.4948,0.788,azimuth_spread_cluster=7;multi_peak_nearby_cluster=2;diffuse_clutter=2,stable_cluster_tube=10;diffuse_or_unstable_cluster_tube=1,wrong-object high is mostly an object-confusion/support-overlap problem,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0006,wrong_object_confounder,state_conditioned_range_band,low_overlap_lt_0p25,all_states,wrong_object_support,same_scene_other_object,128,0.6875,0.3516,0,0.8977,-0.2102,108.555,1.7717,27320,0.0912,0.1315,azimuth_spread_cluster=125;diffuse_clutter=3,stable_cluster_tube=126;diffuse_or_unstable_cluster_tube=2,low-overlap wrong-object remains high; SAR/top-k evidence lacks object discrimination,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0007,wrong_object_confounder,state_conditioned_range_band,medium_overlap_0p25_0p75,all_states,wrong_object_support,same_scene_other_object,68,0.7647,0.5441,0.7353,0.8977,-0.133,44.716,1.6665,107730,0.3849,0.5365,azimuth_spread_cluster=23;diffuse_clutter=21;range_spread_cluster=15;multi_peak_nearby_cluster=9,stable_cluster_tube=68,wrong-object high is mostly an object-confusion/support-overlap problem,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0008,wrong_object_confounder,state_conditioned_range_band,no_overlap,all_states,wrong_object_support,same_scene_other_object,8,0,0,0,0.8977,-0.8977,288.693,1.8276,65223,0,0,diffuse_clutter=6;azimuth_spread_cluster=1;range_spread_cluster=1,stable_cluster_tube=7;insufficient_temporal_samples=1,wrong-object drops after support overlap decreases,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0009,wrong_frame_confounder,broad_fan_baseline,far_offset_21_50,all_states,wrong_sar_frame_support,positive_offset,215,0.0233,0.014,0.9628,0.0279,-0.0047,370.722,1.9244,512919,,,diffuse_clutter=160;azimuth_spread_cluster=27;range_spread_cluster=16;weak_no_structure=12,insufficient_temporal_samples=211;stable_cluster_tube=4,wrong-frame support drops with offset; temporal gate likely has discriminative value,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0010,wrong_frame_confounder,state_conditioned_range_band,far_offset_21_50,all_states,wrong_sar_frame_support,positive_offset,215,0.9116,0.5953,0.9116,0.8977,0.014,54.396,1.7255,90423,,,azimuth_spread_cluster=154;multi_peak_nearby_cluster=29;range_spread_cluster=18;diffuse_clutter=14,insufficient_temporal_samples=211;stable_cluster_tube=4,far/medium wrong-frame remains high; SAR observation is frame-insensitive under current gate,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0011,azimuth_shift_confounder,broad_fan_baseline,high_overlap_ge_0p75,all_states,azimuth_shifted_support,negative_shift:10deg,84,0.0833,0.0238,0.9762,0.0279,0.0554,297.65,1.8409,745520,0.6558,0.7921,diffuse_clutter=59;range_spread_cluster=14;weak_no_structure=6;azimuth_spread_cluster=4;compact_cluster=1,jumping_peak=81;diffuse_or_unstable_cluster_tube=3,shifted support drops; azimuth gate has discriminative value at this magnitude,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0012,azimuth_shift_confounder,broad_fan_baseline,medium_overlap_0p25_0p75,all_states,azimuth_shifted_support,negative_shift:10deg,131,0,0,0.9008,0.0279,-0.0279,369.604,2.0132,458415,0.4946,0.6619,diffuse_clutter=91;range_spread_cluster=18;azimuth_spread_cluster=12;weak_no_structure=10,jumping_peak=127;diffuse_or_unstable_cluster_tube=3;insufficient_temporal_samples=1,shifted support drops; azimuth gate has discriminative value at this magnitude,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0013,azimuth_shift_confounder,broad_fan_baseline,low_overlap_lt_0p25,all_states,azimuth_shifted_support,negative_shift:20deg,31,0,0,0.0323,0.0279,-0.0279,453.881,2.0294,387468,0.1111,0.2,diffuse_clutter=26;range_spread_cluster=5,diffuse_or_unstable_cluster_tube=27;jumping_peak=3;insufficient_temporal_samples=1,shifted support drops; azimuth gate has discriminative value at this magnitude,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0014,azimuth_shift_confounder,broad_fan_baseline,medium_overlap_0p25_0p75,all_states,azimuth_shifted_support,negative_shift:20deg,180,0.0333,0.0111,0.4944,0.0279,0.0054,323.215,1.9804,573282,0.3087,0.4718,diffuse_clutter=126;range_spread_cluster=30;azimuth_spread_cluster=13;weak_no_structure=11,jumping_peak=141;diffuse_or_unstable_cluster_tube=39,shifted support drops; azimuth gate has discriminative value at this magnitude,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0015,azimuth_shift_confounder,broad_fan_baseline,no_overlap,all_states,azimuth_shifted_support,negative_shift:20deg,4,0,0,0,0.0279,-0.0279,440.733,2.1697,226899,0,0,weak_no_structure=2;diffuse_clutter=2,jumping_peak=3;diffuse_or_unstable_cluster_tube=1,shifted support drops; azimuth gate has discriminative value at this magnitude,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0016,azimuth_shift_confounder,broad_fan_baseline,high_overlap_ge_0p75,all_states,azimuth_shifted_support,positive_shift:10deg,84,0.0595,0.0119,0.9762,0.0279,0.0316,307.28,1.8278,745488,0.6558,0.7921,diffuse_clutter=49;azimuth_spread_cluster=23;range_spread_cluster=8;weak_no_structure=4,jumping_peak=78;diffuse_or_unstable_cluster_tube=5;stable_cluster_tube=1,shifted support drops; azimuth gate has discriminative value at this magnitude,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0017,azimuth_shift_confounder,broad_fan_baseline,medium_overlap_0p25_0p75,all_states,azimuth_shifted_support,positive_shift:10deg,131,0,0,0.9618,0.0279,-0.0279,419.066,2.0042,458415,0.4946,0.6619,diffuse_clutter=79;weak_no_structure=25;azimuth_spread_cluster=20;range_spread_cluster=7,jumping_peak=71;diffuse_or_unstable_cluster_tube=58;insufficient_temporal_samples=1;stable_cluster_tube=1,shifted support drops; azimuth gate has discriminative value at this magnitude,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0018,azimuth_shift_confounder,broad_fan_baseline,low_overlap_lt_0p25,all_states,azimuth_shifted_support,positive_shift:20deg,31,0,0,0.129,0.0279,-0.0279,455.515,2.0476,387495,0.1111,0.2,diffuse_clutter=24;range_spread_cluster=5;weak_no_structure=2,diffuse_or_unstable_cluster_tube=26;jumping_peak=4;insufficient_temporal_samples=1,shifted support drops; azimuth gate has discriminative value at this magnitude,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0019,azimuth_shift_confounder,broad_fan_baseline,medium_overlap_0p25_0p75,all_states,azimuth_shifted_support,positive_shift:20deg,180,0.0167,0.0056,0.4556,0.0279,-0.0112,365.923,1.8994,586566,0.3087,0.4718,diffuse_clutter=82;azimuth_spread_cluster=39;weak_no_structure=38;range_spread_cluster=21,jumping_peak=142;diffuse_or_unstable_cluster_tube=36;stable_cluster_tube=2,shifted support drops; azimuth gate has discriminative value at this magnitude,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0020,azimuth_shift_confounder,broad_fan_baseline,no_overlap,all_states,azimuth_shifted_support,positive_shift:20deg,4,0,0,0,0.0279,-0.0279,451.048,2.1657,226976,0,0,diffuse_clutter=4,jumping_peak=3;diffuse_or_unstable_cluster_tube=1,shifted support drops; azimuth gate has discriminative value at this magnitude,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0021,azimuth_shift_confounder,state_conditioned_range_band,high_overlap_ge_0p75,all_states,azimuth_shifted_support,negative_shift:10deg,84,0.7143,0.4524,0.8929,0.8977,-0.1834,42.219,1.8079,137758,0.6558,0.7921,azimuth_spread_cluster=47;range_spread_cluster=22;diffuse_clutter=9;multi_peak_nearby_cluster=5;weak_no_structure=1,stable_cluster_tube=79;diffuse_or_unstable_cluster_tube=5,high shifted result is largely explained by remaining azimuth overlap / wide sector margin,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
