tube_id,case_id,frame_window,linked_primitives_or_components,tube_type,persistence_length,centroid_drift,range_drift,azimuth_drift,extent_stability,intensity_stability,compatible_with_optical_motion,supports_existence_only,supports_association_weakly,confounded_by_wrong_frame,failure_mode,notes
TUBE0001,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0008_oty1t_obj_GM_RM017_bytetrack_bt_0010,310-386,azimuth_spread_cluster=3;range_spread_cluster=2,dropout_existence_tube,,273.742,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0.5,uncertain_needs_motion_gate,yes,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0002,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0012_oty1t_obj_GM_RM017_bytetrack_bt_0014,446-446,range_spread_cluster=1,dropout_existence_tube,,,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0,uncertain_needs_motion_gate,yes,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0003,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0005,8-88,azimuth_spread_cluster=1;range_spread_cluster=1,dropout_existence_tube,,790.401,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0,uncertain_needs_motion_gate,yes,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0004,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0080,202-202,range_spread_cluster=1,dropout_existence_tube,,,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0,uncertain_needs_motion_gate,yes,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0005,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0098,306-354,range_spread_cluster=2,dropout_existence_tube,,141.207,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0,uncertain_needs_motion_gate,yes,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0006,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0098_oty1t_obj_GM_RM019_bytetrack_bt_0111,350-350,range_spread_cluster=1,dropout_existence_tube,,,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0,uncertain_needs_motion_gate,yes,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0007,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0008,302-380,diffuse_clutter=37;azimuth_spread_cluster=18;weak_no_structure=6,jumping peak tube,,204.051,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0.4,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0008,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0010,315-394,diffuse_clutter=52;azimuth_spread_cluster=15;weak_no_structure=8,diffuse or fragmented tube,,167.279,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0.527,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0009,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0012,337-438,diffuse_clutter=43;weak_no_structure=9;azimuth_spread_cluster=8,diffuse or fragmented tube,,199.746,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0.5254,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0010,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0014,383-442,weak_no_structure=3,vehicle-like drifting tube candidate,,0,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,1,uncertain_needs_motion_gate,no,yes,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
