case_id,part_relation_type,part_a_type,part_b_type,spatial_relation,distance_px,relative_to_gt_scale,supports_shell_grammar,failure_reason,physical_interpretation,notes
GTREF_GM_RM011_s0_336,side_ridge_to_endpoint_hotspot,side_ridge,endpoint_hotspot,endpoint_attached,,yes,yes,,Strong side strip is supported by endpoint/corner return.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s0_336,dominant_side_ridge_to_far_side_weak_return,dominant_side_ridge,far_side_weak_return,opposite_side,,yes,uncertain,far-side return not directly separable,Dominant side can be stronger while the opposite side remains weak or ambiguous.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s0_336,left_right_endpoint_relation,endpoint_hotspot,endpoint_or_corner_part,aligned,,yes,yes,,Endpoint/corner parts can close the long-axis vehicle extent.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s0_336,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,yes,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s0_336,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,disconnected,,yes,yes,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s0_336,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,yes,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s0_2,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,uncertain,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s1_3,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,yes,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s1_3,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,disconnected,,yes,yes,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s1_3,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,yes,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s1_4,left_right_endpoint_relation,endpoint_hotspot,endpoint_or_corner_part,aligned,,uncertain,yes,,Endpoint/corner parts can close the long-axis vehicle extent.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s1_4,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,uncertain,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s1_4,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,disconnected,,uncertain,uncertain,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s1_4,range_spread_to_body_core,range_spread,body_core,enclosed,,uncertain,uncertain,range spread may be motion or environment induced,Range spread must retain a core before it can support a vehicle shell.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s1_4,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,uncertain,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s2_336,left_right_endpoint_relation,endpoint_hotspot,endpoint_or_corner_part,aligned,,yes,yes,,Endpoint/corner parts can close the long-axis vehicle extent.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s2_336,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,yes,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s2_336,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,disconnected,,yes,yes,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
