shell_profile,subgroup_type,subgroup,profile_definition,n_frames,n_objects,coverage_pass,coverage_fail,coverage_rate,median_shell_angular_width_deg_at_gt_radius,median_original_azimuth_width_deg,median_intersection_width_deg,median_intersection_compression_rate_vs_original_azimuth,failure_status_counts,failure_scene_counts,objects_relaxed_needed_vs_tight_count,objects_relaxed_needed_vs_tight_examples,objects_relaxed_only_vs_base_count,objects_relaxed_only_vs_base_examples,objects_tight_sufficient_count,objects_tight_sufficient_examples,posthoc_only_note
tight_vehicle_shell,all,all,"{""aspect_max"": 3.1, ""aspect_min"": 1.45, ""long_axis_max_px"": 190.0, ""long_axis_min_px"": 105.0, ""short_axis_max_px"": 95.0, ""short_axis_min_px"": 45.0}",215,9,212,3,0.986,26.582,80.013,26.57,0.6703,complete=3,GM_RM017=3,2,GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0010;GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0012,0,,7,GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0008;GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0014;GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0001;GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0009;GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0005;GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0080;GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0098,vehicle shell profile is an audit profile; no runtime size threshold is selected
tight_vehicle_shell,scene,GM_RM017,"{""aspect_max"": 3.1, ""aspect_min"": 1.45, ""long_axis_max_px"": 190.0, ""long_axis_min_px"": 105.0, ""short_axis_max_px"": 95.0, ""short_axis_min_px"": 45.0}",199,4,196,3,0.9849,26.208,80.013,26.085,0.6757,complete=3,GM_RM017=3,,,,,,,vehicle shell profile is an audit profile; no runtime size threshold is selected
tight_vehicle_shell,scene,GM_RM019,"{""aspect_max"": 3.1, ""aspect_min"": 1.45, ""long_axis_max_px"": 190.0, ""long_axis_min_px"": 105.0, ""short_axis_max_px"": 95.0, ""short_axis_min_px"": 45.0}",16,5,16,0,1,63.39,79.987,63.992,0.2002,,,,,,,,,vehicle shell profile is an audit profile; no runtime size threshold is selected
tight_vehicle_shell,context,ambiguous_or_review_only,"{""aspect_max"": 3.1, ""aspect_min"": 1.45, ""long_axis_max_px"": 190.0, ""long_axis_min_px"": 105.0, ""short_axis_max_px"": 95.0, ""short_axis_min_px"": 45.0}",37,2,37,0,1,32.539,85.989,32.539,0.6216,,,,,,,,,vehicle shell profile is an audit profile; no runtime size threshold is selected
tight_vehicle_shell,context,complete,"{""aspect_max"": 3.1, ""aspect_min"": 1.45, ""long_axis_max_px"": 190.0, ""long_axis_min_px"": 105.0, ""short_axis_max_px"": 95.0, ""short_axis_min_px"": 45.0}",103,6,100,3,0.9709,25.776,79.999,25.557,0.6788,complete=3,GM_RM017=3,,,,,,,vehicle shell profile is an audit profile; no runtime size threshold is selected
tight_vehicle_shell,context,duplicate_or_handoff,"{""aspect_max"": 3.1, ""aspect_min"": 1.45, ""long_axis_max_px"": 190.0, ""long_axis_min_px"": 105.0, ""short_axis_max_px"": 95.0, ""short_axis_min_px"": 45.0}",17,3,17,0,1,26.581,79.999,26.581,0.6686,,,,,,,,,vehicle shell profile is an audit profile; no runtime size threshold is selected
tight_vehicle_shell,context,edge,"{""aspect_max"": 3.1, ""aspect_min"": 1.45, ""long_axis_max_px"": 190.0, ""long_axis_min_px"": 105.0, ""short_axis_max_px"": 95.0, ""short_axis_min_px"": 45.0}",58,4,58,0,1,24.235,80.013,24.235,0.6971,,,,,,,,,vehicle shell profile is an audit profile; no runtime size threshold is selected
tight_vehicle_shell,vehicle_research_eligibility,blocked_vehicle_or_noise,"{""aspect_max"": 3.1, ""aspect_min"": 1.45, ""long_axis_max_px"": 190.0, ""long_axis_min_px"": 105.0, ""short_axis_max_px"": 95.0, ""short_axis_min_px"": 45.0}",1,1,1,0,1,50.178,,,,,,,,,,,,vehicle shell profile is an audit profile; no runtime size threshold is selected
tight_vehicle_shell,vehicle_research_eligibility,review_only_vehicle,"{""aspect_max"": 3.1, ""aspect_min"": 1.45, ""long_axis_max_px"": 190.0, ""long_axis_min_px"": 105.0, ""short_axis_max_px"": 95.0, ""short_axis_min_px"": 45.0}",64,2,64,0,1,31.739,85.989,31.739,0.6309,,,,,,,,,vehicle shell profile is an audit profile; no runtime size threshold is selected
tight_vehicle_shell,vehicle_research_eligibility,weak_vehicle_layer,"{""aspect_max"": 3.1, ""aspect_min"": 1.45, ""long_axis_max_px"": 190.0, ""long_axis_min_px"": 105.0, ""short_axis_max_px"": 95.0, ""short_axis_min_px"": 45.0}",150,6,147,3,0.98,23.845,79.999,23.7,0.7022,complete=3,GM_RM017=3,,,,,,,vehicle shell profile is an audit profile; no runtime size threshold is selected
base_vehicle_shell,all,all,"{""aspect_max"": 3.35, ""aspect_min"": 1.25, ""long_axis_max_px"": 220.0, ""long_axis_min_px"": 80.0, ""short_axis_max_px"": 115.0, ""short_axis_min_px"": 35.0}",215,9,215,0,1,30.595,80.013,30.582,0.6222,,,2,GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0010;GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0012,0,,7,GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0008;GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0014;GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0001;GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0009;GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0005;GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0080;GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0098,vehicle shell profile is an audit profile; no runtime size threshold is selected
base_vehicle_shell,scene,GM_RM017,"{""aspect_max"": 3.35, ""aspect_min"": 1.25, ""long_axis_max_px"": 220.0, ""long_axis_min_px"": 80.0, ""short_axis_max_px"": 115.0, ""short_axis_min_px"": 35.0}",199,4,199,0,1,30.169,80.013,30.03,0.6267,,,,,,,,,vehicle shell profile is an audit profile; no runtime size threshold is selected
base_vehicle_shell,scene,GM_RM019,"{""aspect_max"": 3.35, ""aspect_min"": 1.25, ""long_axis_max_px"": 220.0, ""long_axis_min_px"": 80.0, ""short_axis_max_px"": 115.0, ""short_axis_min_px"": 35.0}",16,5,16,0,1,71.128,79.987,71.765,0.1326,,,,,,,,,vehicle shell profile is an audit profile; no runtime size threshold is selected
base_vehicle_shell,context,ambiguous_or_review_only,"{""aspect_max"": 3.35, ""aspect_min"": 1.25, ""long_axis_max_px"": 220.0, ""long_axis_min_px"": 80.0, ""short_axis_max_px"": 115.0, ""short_axis_min_px"": 35.0}",37,2,37,0,1,37.343,85.989,37.343,0.5679,,,,,,,,,vehicle shell profile is an audit profile; no runtime size threshold is selected
base_vehicle_shell,context,complete,"{""aspect_max"": 3.35, ""aspect_min"": 1.25, ""long_axis_max_px"": 220.0, ""long_axis_min_px"": 80.0, ""short_axis_max_px"": 115.0, ""short_axis_min_px"": 35.0}",103,6,103,0,1,29.678,79.999,29.428,0.6303,,,,,,,,,vehicle shell profile is an audit profile; no runtime size threshold is selected
base_vehicle_shell,context,duplicate_or_handoff,"{""aspect_max"": 3.35, ""aspect_min"": 1.25, ""long_axis_max_px"": 220.0, ""long_axis_min_px"": 80.0, ""short_axis_max_px"": 115.0, ""short_axis_min_px"": 35.0}",17,3,17,0,1,30.594,79.999,30.594,0.6186,,,,,,,,,vehicle shell profile is an audit profile; no runtime size threshold is selected
base_vehicle_shell,context,edge,"{""aspect_max"": 3.35, ""aspect_min"": 1.25, ""long_axis_max_px"": 220.0, ""long_axis_min_px"": 80.0, ""short_axis_max_px"": 115.0, ""short_axis_min_px"": 35.0}",58,4,58,0,1,27.921,80.013,27.921,0.651,,,,,,,,,vehicle shell profile is an audit profile; no runtime size threshold is selected
base_vehicle_shell,vehicle_research_eligibility,blocked_vehicle_or_noise,"{""aspect_max"": 3.35, ""aspect_min"": 1.25, ""long_axis_max_px"": 220.0, ""long_axis_min_px"": 80.0, ""short_axis_max_px"": 115.0, ""short_axis_min_px"": 35.0}",1,1,1,0,1,56.927,,,,,,,,,,,,vehicle shell profile is an audit profile; no runtime size threshold is selected
base_vehicle_shell,vehicle_research_eligibility,review_only_vehicle,"{""aspect_max"": 3.35, ""aspect_min"": 1.25, ""long_axis_max_px"": 220.0, ""long_axis_min_px"": 80.0, ""short_axis_max_px"": 115.0, ""short_axis_min_px"": 35.0}",64,2,64,0,1,36.44,85.989,36.44,0.5784,,,,,,,,,vehicle shell profile is an audit profile; no runtime size threshold is selected
base_vehicle_shell,vehicle_research_eligibility,weak_vehicle_layer,"{""aspect_max"": 3.35, ""aspect_min"": 1.25, ""long_axis_max_px"": 220.0, ""long_axis_min_px"": 80.0, ""short_axis_max_px"": 115.0, ""short_axis_min_px"": 35.0}",150,6,150,0,1,27.477,79.999,27.311,0.6574,,,,,,,,,vehicle shell profile is an audit profile; no runtime size threshold is selected
relaxed_vehicle_shell,all,all,"{""aspect_max"": 4.8, ""aspect_min"": 0.85, ""long_axis_max_px"": 270.0, ""long_axis_min_px"": 55.0, ""short_axis_max_px"": 160.0, ""short_axis_min_px"": 25.0}",215,9,215,0,1,37.112,80.013,37.097,0.544,,,2,GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0010;GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0012,0,,7,GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0008;GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0014;GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0001;GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0009;GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0005;GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0080;GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0098,vehicle shell profile is an audit profile; no runtime size threshold is selected
relaxed_vehicle_shell,scene,GM_RM017,"{""aspect_max"": 4.8, ""aspect_min"": 0.85, ""long_axis_max_px"": 270.0, ""long_axis_min_px"": 55.0, ""short_axis_max_px"": 160.0, ""short_axis_min_px"": 25.0}",199,4,199,0,1,36.608,80.013,36.442,0.5469,,,,,,,,,vehicle shell profile is an audit profile; no runtime size threshold is selected
