gate_name,evidence_source,runtime_safe_optical_evidence,runtime_safe_temporal_evidence,runtime_safe_geometry_or_vehicle_physics,SAR_image_observation,SAR_temporal_observation,SAR_GT_posthoc_evidence,manual_or_review_anchor,hypothesis_to_validate,allowed_stage,not_allowed_use,leakage_risk,current_support_level,main_failure_mode,next_validation_needed
C_time,optical frame stream plus 24fps-to-50fps software-sync contract,yes,yes,no,no,no,no,no,yes,runtime feasible-domain construction,hardware timestamp truth or identity truth,low GT leakage risk; synchronization uncertainty remains,"supported as software-sync tube, not exact timestamp",wrong-frame control remains high after SAR observation,temporal-change and object-motion gates
C_az,fan-polar azimuth support from optical object context,yes,no,yes,no,no,no,no,yes,runtime support-sector construction,strong association gate by itself,"overlap/margin risk, not GT leakage",weak to moderate; azimuth-shift remains high,sector overlap and broad margins,overlap-aware azimuth margin audit
C_shell,vehicle physical footprint assumptions,no,no,yes,no,no,no,no,yes,runtime feasible-domain constraint,final SAR box approximation,low if kept as physical prior range,conceptually supported; still broad for association,edge/truncated cases need relaxed shell,state-conditioned footprint behavior
C_state,optical object state labels and uncertainty categories,yes,no,yes,no,no,no,no,yes,runtime uncertainty modulation,state-conditioned top-k success as runtime rule,medium if posthoc range success is promoted,important but not independently sufficient,duplicate/handoff and review-only states remain ambiguous,GM_RM019 optical object continuity review
C_range,state-conditioned and object-smoothed range-band posthoc hypotheses,no,no,partial,no,no,yes,no,yes,posthoc mechanism validation only in this branch,runtime prior construction or tuned range rule,high if GT-validated bands are copied into runtime,strong posthoc signal versus random/range-shift,wrong-object and wrong-frame remain high,runtime-safe optical-only range derivation
G_support,support-region observation and GT coverage validation,partial,no,yes,no,no,yes,no,yes,posthoc coverage and mechanism audit,claiming association from support existence alone,medium through GT coverage metrics,support can contain signal but may be too broad,support exists without unique SAR structure,separate support exists from structure exists
G_structure,SAR scatter-cluster structure descriptors,no,no,no,yes,no,partial,no,yes,SAR observation mechanism,selector feature or final center,medium if GT-near labels are used to choose structure,useful vocabulary; representation still incomplete,diffuse/spread/weak structures dominate,structure vocabulary review on visual exemplars
G_cluster,"top-k peak group, centroid, compactness, spread",no,no,no,yes,no,partial,no,yes,SAR observation diagnostic,ranking or top1/top-k optimization,medium if best top-k to GT is promoted,peak competition remains serious,top1/top2 competition and multi-peak ambiguity,cluster grouping across adjacent frames
G_temporal,SAR temporal tube and cluster persistence,no,no,no,yes,yes,partial,no,yes,SAR temporal observation,wrong-frame-tolerant identity claim,medium if posthoc tube success is copied into runtime,partial; stable tubes exist but wrong-frame remains high,background persistence or frame-insensitive structure,object-motion and temporal-change constraints
G_motion,optical tracklet trend versus SAR structure drift,yes,yes,no,yes,yes,no,no,yes,future mechanism validation,current selector or final annotation,low if defined without GT residual,not sufficiently measured in existing tables,motion/drift columns are incomplete,derive drift compatibility without GT labels
G_optical_tracklet_quality,"OTY optical object stream, state mix, duplicate/handoff review",yes,yes,no,no,no,no,partial,yes,optical hypothesis qualification,identity truth,low if review anchor is labeled separately,GM_RM019 needs review; GM_RM011 blocked,object identity continuity unresolved,small GM_RM019 optical continuity review
G_review_or_manual_anchor,"manual/review anchor, if separately labeled",no,no,no,no,no,no,yes,yes,review quality anchor and exemplar selection,annotation proposal or identity truth,medium if manual anchor is mixed into runtime labels,allowed only as separate provenance,manual anchor can hide association ambiguity,keep review candidate list separate from annotation proposal
