tube_probe_id,mode_name,sample_pool,scene,object_hypothesis_id,state_mix,n_rows,sar_frame_span,gt_coverage_rate_posthoc,median_radius_band_width_px,median_peak_to_background_ratio,median_top1_top2_ratio,peak_continuity_step_mean_px,centroid_continuity_step_mean_px,tube_peak_continuity_label,notes,provenance_labels
TU0001,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,ambiguous_or_review_only=34;edge_or_truncated=23;duplicate_or_handoff=4,61,302-380,1,1332.7,1.8295,1.004,284.213,29.27,tube_peak_or_centroid_continuity_observed,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0002,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete=46;edge_or_truncated=18;duplicate_or_handoff=11,75,315-394,1,1332.7,1.9188,1.0079,149.318,30.403,tube_peak_or_centroid_continuity_observed,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0003,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,complete=43;edge_or_truncated=15;duplicate_or_handoff=2,60,337-438,1,1332.7,1.987,1.0079,178.561,38.425,tube_peak_variable_or_competing,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0004,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,complete=3,3,383-442,0.3333,1332.7,2.1743,1,0,1.232,tube_peak_or_centroid_continuity_observed,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0005,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,ambiguous_or_review_only=3,3,0-8,1,1332.7,1.7373,1,107.331,16.641,tube_peak_or_centroid_continuity_observed,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0006,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,complete=4,4,27-81,0.5,1332.7,2.1135,1.002,437.641,30.112,tube_peak_or_centroid_continuity_observed,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0008,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,complete=6,6,212-290,0.5,1332.7,2.1151,1.0019,532.427,85.664,tube_peak_variable_or_competing,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0009,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,edge_or_truncated=2,2,315-317,1,1332.7,2.1456,1,0,2.116,tube_peak_or_centroid_continuity_observed,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0010,complete_shape_quantile_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete=46,46,343-394,1,75.253,1.7708,1.0745,15.941,15.941,tube_peak_or_centroid_continuity_observed,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0011,complete_shape_quantile_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,complete=43,43,352-438,0.9535,87.249,1.5944,1.0732,31.73,31.73,tube_peak_or_centroid_continuity_observed,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
