temporal_probe_id,mode_name,sample_pool,scene,object_hypothesis_id,state_mix,n_frames,sar_frame_span,centroid_step_mean_px,top1_step_mean_px,best_peak_step_mean_px,cluster_persistence_rate,topk_contains_peak_near_gt_rate_posthoc,top2_or_top3_nearer_than_top1_rate_posthoc,scatter_cluster_type_mix,range_tube_continuity_label_input,temporal_cluster_label,provenance_labels,notes
T0001,broad_fan_baseline,detection_dropout_temporal_continuation,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008;oty1t_obj_GM_RM017_bytetrack_bt_0010,dropout_or_no_match=5,5,310-386,273.742,332.862,273.742,0.5,0,0,azimuth_spread_cluster=3;range_spread_cluster=2,,jumping_peak,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0002,broad_fan_baseline,detection_dropout_temporal_continuation,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012;oty1t_obj_GM_RM017_bytetrack_bt_0014,dropout_or_no_match=1,1,446-446,,,,0,0,0,range_spread_cluster=1,,insufficient_temporal_samples,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0003,broad_fan_baseline,detection_dropout_temporal_continuation,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,dropout_or_no_match=2,2,8-88,790.401,1312.167,790.401,0,0,0,azimuth_spread_cluster=1;range_spread_cluster=1,tube_peak_or_centroid_continuity_observed,jumping_peak,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0004,broad_fan_baseline,detection_dropout_temporal_continuation,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,dropout_or_no_match=1,1,202-202,,,,0,0,0,range_spread_cluster=1,tube_peak_variable_or_competing,insufficient_temporal_samples,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0005,broad_fan_baseline,detection_dropout_temporal_continuation,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,dropout_or_no_match=2,2,306-354,141.207,1304.148,141.207,0,0,0,range_spread_cluster=2,tube_peak_or_centroid_continuity_observed,jumping_peak,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0006,broad_fan_baseline,detection_dropout_temporal_continuation,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098;oty1t_obj_GM_RM019_bytetrack_bt_0111,dropout_or_no_match=1,1,350-350,,,,0,0,0,range_spread_cluster=1,,insufficient_temporal_samples,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0007,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,ambiguous_or_review_only=34;edge_or_truncated=23;duplicate_or_handoff=4,61,302-380,204.051,284.213,204.051,0.4,0,0.2295,diffuse_clutter=37;azimuth_spread_cluster=18;weak_no_structure=6,tube_peak_or_centroid_continuity_observed,jumping_peak,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0008,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete=46;edge_or_truncated=18;duplicate_or_handoff=11,75,315-394,167.279,149.318,167.279,0.527,0,0.1333,diffuse_clutter=52;azimuth_spread_cluster=15;weak_no_structure=8,tube_peak_or_centroid_continuity_observed,diffuse_or_unstable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0009,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,complete=43;edge_or_truncated=15;duplicate_or_handoff=2,60,337-438,199.746,178.561,199.746,0.5254,0,0.1167,diffuse_clutter=43;weak_no_structure=9;azimuth_spread_cluster=8,tube_peak_variable_or_competing,diffuse_or_unstable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0010,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,complete=3,3,383-442,0,0,0,1,0,1,weak_no_structure=3,tube_peak_or_centroid_continuity_observed,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
