case_id,scene,sar_frame,component_id,source_region,component_area,component_long_axis,component_short_axis,component_aspect_ratio,component_energy,relative_to_gt_scale,hierarchy_label,why_not_vehicle_if_atom,composition_group_id,composition_description,posthoc_gt_relation,notes
GTREF_GM_RM011_s0_336,GM_RM011,0,C001,gt_inside,754,66.004,21.118,3.1254,124035,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0001,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s0_336,GM_RM011,0,C002,gt_inside,420,40.714,18.02,2.2594,69614,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0001,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s0_336,GM_RM011,0,C003,gt_inside,66,15.014,9.299,1.6146,9998,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s0_336,GM_RM011,0,C004,gt_inside,50,12.89,7.416,1.7381,7442,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s0_336,GM_RM011,0,C005,gt_inside,37,15.799,4.946,3.1945,5158,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s0_336,GM_RM011,0,C006,gt_inside,18,10.162,3.947,2.5748,2488,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s0_336,GM_RM011,0,C007,gt_inside,17,7.221,6.201,1.1645,2416,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s0_336,GM_RM011,0,C008,gt_inside,14,6.036,3.453,1.7481,2074,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s0_336,GM_RM011,0,SHELL_0001,gt_inside,1376,66.004,21.118,,223225,vehicle_scale,vehicle_scale_shell_hypothesis,,SHELL_0001,multiple atom/part components form a GT-scale shell/body hypothesis,GT-scale composition hypothesis; not final annotation,Vehicle-scale shell hypothesis requires multiple parts at GT scale and remains posthoc.
GTREF_GM_RM011_s0_2,GM_RM011,0,C001,gt_inside,981,81.337,26.429,3.0776,96739,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0002,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s0_2,GM_RM011,0,C002,gt_inside,94,21.119,6.549,3.225,9559,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s0_2,GM_RM011,0,C003,gt_inside,35,18.319,3.651,5.0169,3233,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s0_2,GM_RM011,0,C004,gt_inside,36,14.598,6.977,2.0923,3210,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s0_2,GM_RM011,0,C005,gt_inside,21,7.532,4.816,1.5637,2000,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s0_2,GM_RM011,0,C006,gt_inside,22,11.999,3.586,3.3459,1940,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s0_2,GM_RM011,0,C007,gt_inside,20,14.175,2.041,6.9464,1934,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s0_2,GM_RM011,0,C008,gt_inside,21,7.524,6.354,1.1842,1878,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s1_3,GM_RM011,1,C001,gt_inside,831,62.185,21.875,2.8428,147956,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0003,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s1_3,GM_RM011,1,C002,gt_inside,518,55.469,16.432,3.3757,91527,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0003,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s1_3,GM_RM011,1,C003,gt_inside,84,17.59,12.954,1.3579,14038,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s1_3,GM_RM011,1,C004,gt_inside,49,20.501,6.399,3.2036,7939,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s1_3,GM_RM011,1,C005,gt_inside,22,9.564,3.545,2.6977,3763,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s1_3,GM_RM011,1,C006,gt_inside,23,11.309,3.482,3.248,3663,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s1_3,GM_RM011,1,C007,gt_inside,16,7.101,3.594,1.976,2672,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s1_3,GM_RM011,1,C008,gt_inside,7,5.051,3.547,1.4239,1138,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s1_3,GM_RM011,1,SHELL_0003,gt_inside,1550,62.185,21.875,,272696,vehicle_scale,vehicle_scale_shell_hypothesis,,SHELL_0003,multiple atom/part components form a GT-scale shell/body hypothesis,GT-scale composition hypothesis; not final annotation,Vehicle-scale shell hypothesis requires multiple parts at GT scale and remains posthoc.
GTREF_GM_RM011_s1_4,GM_RM011,1,C001,gt_inside,1224,97.375,27.041,3.601,143320,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0004,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s1_4,GM_RM011,1,C002,gt_inside,184,28.34,12.323,2.2998,23177,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0004,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s1_4,GM_RM011,1,C003,gt_inside,75,23.716,8.142,2.9127,7877,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s1_4,GM_RM011,1,C004,gt_inside,36,13.271,5.433,2.4425,3779,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s1_4,GM_RM011,1,C005,gt_inside,28,11.397,5.052,2.2559,2951,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s1_4,GM_RM011,1,C006,gt_inside,21,16.549,2.039,8.1179,2181,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s1_4,GM_RM011,1,C007,gt_inside,16,7.732,3.08,2.5105,1667,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s1_4,GM_RM011,1,C008,gt_inside,15,7.477,2.764,2.705,1654,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
