probe_id,relationship_type,sample_pool,scene,object_hypothesis_id,state_mix,n_optical_frames,n_sar_frames_in_tube,sar_frame_span,support_region_mode,range_prior_mode,median_peak_to_background_ratio,median_support_to_background_ratio,peak_continuity_step_mean_px,centroid_continuity_step_mean_px,sar_centroid_drift_x_per_frame,sar_centroid_drift_y_per_frame,sar_centroid_radius_slope_per_frame,sar_centroid_azimuth_slope_per_frame,optical_center_x_slope_per_frame,optical_area_slope_per_frame,optical_bottom_y_slope_per_frame,optical_traj_vs_sar_azimuth_direction,optical_area_vs_sar_radius_trend,tube_observation_status,dropout_temporal_support_note,manual_review_need,notes,provenance_labels
U0001,optical_tracklet_to_sar_temporal_tube,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,ambiguous_or_review_only=34;edge_or_truncated=23;duplicate_or_handoff=4,56,56,302-417,coarse_optical_azimuth_sector_broad_range,broad_unknown_range_prior,1.9028,0.4399,256.078,19.157,7.40598,-0.75172,0.67416,0.61129,-2.2994,-466.47533,-9.58278,opposite_sign_or_conflicting_direction,opposite_sign_area_radius_trend,sar_tube_centroid_continuity_observed,not_dropout_pool,optical_gt_or_identity_continuity_review,Tube support is optical-derived and range-broad; SAR GT is not used for extraction.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence
U0002,optical_tracklet_to_sar_temporal_tube,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete=46;edge_or_truncated=18;duplicate_or_handoff=11,72,36,298-444,coarse_optical_azimuth_sector_broad_range,broad_unknown_range_prior,2.0343,0.4719,424.389,32.873,7.15805,-0.72621,0.07181,0.56261,2.41811,-65.24732,-2.65397,same_sign_optical_x_and_sar_azimuth_drift,opposite_sign_area_radius_trend,sar_tube_centroid_continuity_observed,not_dropout_pool,optical_gt_or_identity_continuity_review,Tube support is optical-derived and range-broad; SAR GT is not used for extraction.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence
U0003,optical_tracklet_to_sar_temporal_tube,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,complete=43;edge_or_truncated=15;duplicate_or_handoff=2,62,31,310-435,coarse_optical_azimuth_sector_broad_range,broad_unknown_range_prior,2.0002,0.4886,436.546,33.508,7.32354,-0.43826,-1.05681,0.56047,14.34243,279.4992,5.86616,same_sign_optical_x_and_sar_azimuth_drift,opposite_sign_area_radius_trend,sar_tube_centroid_continuity_observed,not_dropout_pool,optical_gt_or_identity_continuity_review,Tube support is optical-derived and range-broad; SAR GT is not used for extraction.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence
U0004,optical_tracklet_to_sar_temporal_tube,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,complete=3,62,31,317-442,coarse_optical_azimuth_sector_broad_range,broad_unknown_range_prior,2.0538,0.5116,253.642,25.907,0.49644,-1.1622,1.26147,-0.00624,4.74431,18.75719,2.22253,opposite_sign_or_conflicting_direction,same_sign_area_radius_trend,sar_tube_centroid_continuity_observed,not_dropout_pool,none_for_current_posthoc_report,Tube support is optical-derived and range-broad; SAR GT is not used for extraction.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence
U0005,optical_tracklet_to_sar_temporal_tube,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,ambiguous_or_review_only=3,12,12,0-23,coarse_optical_azimuth_sector_broad_range,broad_unknown_range_prior,1.903,0.2586,122.599,21.909,7.53169,-1.13233,1.57813,0.7501,17.49474,-8064.02652,-0.62202,same_sign_optical_x_and_sar_azimuth_drift,opposite_sign_area_radius_trend,sar_tube_centroid_continuity_observed,not_dropout_pool,optical_gt_or_identity_continuity_review,Tube support is optical-derived and range-broad; SAR GT is not used for extraction.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence
U0006,optical_tracklet_to_sar_temporal_tube,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,complete=4,37,37,10-85,coarse_optical_azimuth_sector_broad_range,broad_unknown_range_prior,2.0797,0.3218,290.639,30.074,6.85842,-2.0606,1.38701,0.70212,20.41433,463.95091,1.21209,same_sign_optical_x_and_sar_azimuth_drift,same_sign_area_radius_trend,sar_tube_centroid_continuity_observed,not_dropout_pool,optical_gt_or_identity_continuity_review;dropout_or_severe_truncation_temporal_continuation_review;dropout_or_severe_truncation_temporal_continuation_review,Tube support is optical-derived and range-broad; SAR GT is not used for extraction.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence
U0007,optical_tracklet_to_sar_temporal_tube,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0009,complete=1,14,14,2-29,coarse_optical_azimuth_sector_broad_range,broad_unknown_range_prior,2.3316,0.3368,0,15.544,1.61033,-2.11542,2.58152,0.06756,39.40317,759.5902,30.66815,same_sign_optical_x_and_sar_azimuth_drift,same_sign_area_radius_trend,sar_tube_centroid_continuity_observed,not_dropout_pool,optical_gt_or_identity_continuity_review,Tube support is optical-derived and range-broad; SAR GT is not used for extraction.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence
U0008,optical_tracklet_to_sar_temporal_tube,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,complete=6,43,43,204-292,coarse_optical_azimuth_sector_broad_range,broad_unknown_range_prior,2.0081,0.336,97.02,20.754,5.47006,-2.15239,1.49003,0.68778,17.13144,697.96457,0.0428,same_sign_optical_x_and_sar_azimuth_drift,same_sign_area_radius_trend,sar_tube_centroid_continuity_observed,not_dropout_pool,optical_gt_or_identity_continuity_review;dropout_or_severe_truncation_temporal_continuation_review,Tube support is optical-derived and range-broad; SAR GT is not used for extraction.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence
U0009,optical_tracklet_to_sar_temporal_tube,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,edge_or_truncated=2,38,38,302-379,coarse_optical_azimuth_sector_broad_range,broad_unknown_range_prior,1.9009,0.2583,130.891,20.821,6.43918,-0.33555,-0.71638,0.67229,17.80888,930.26834,5.11677,same_sign_optical_x_and_sar_azimuth_drift,opposite_sign_area_radius_trend,sar_tube_centroid_continuity_observed,not_dropout_pool,dropout_or_severe_truncation_temporal_continuation_review;optical_gt_or_identity_continuity_review;dropout_or_severe_truncation_temporal_continuation_review,Tube support is optical-derived and range-broad; SAR GT is not used for extraction.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence
U_dropout,optical_tracklet_to_sar_temporal_tube,detection_dropout_temporal_continuation,GM_RM017=6;GM_RM019=6,dropout/no_oty_iou_match special pool,dropout_or_no_match=12,12,12,8-446,optical_temporal_continuation_bbox_diagnostic_broad_range,broad_unknown_range_prior,1.9237,0.4151,,,,,,,,,,dropout_pool_requires_manual_review_not_identity_truth,excluded_from_clean_morphology,dropout_pool_temporal_continuation_supported_but_not_clean_tube,12-row special pool; use for existence recovery and SAR temporal support only.,manual review required before any identity or label claim,Dropout rows are not mixed into clean paired morphology.,runtime_safe_temporal_evidence;SAR_image_observation;SAR_temporal_observation;manual_or_review_anchor;SAR_GT_posthoc_evidence
