object_probe_id,mode_name,scene,object_hypothesis_id,sample_pool,state_mix,n_rows,optical_frame_span,sar_frame_span,gt_coverage_rate_posthoc,median_radius_band_width_px,median_support_area_px,median_peak_to_background_ratio,median_top1_top2_ratio,peak_continuity_step_mean_px,centroid_continuity_step_mean_px,tube_peak_continuity_label,optical_height_vs_gt_radius_slope_posthoc,optical_bottom_y_vs_gt_radius_slope_posthoc,optical_area_vs_gt_radius_slope_posthoc,manual_review_need,notes,provenance_labels
O0001,broad_fan_baseline,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,paired_optical_object_sar_gt,ambiguous_or_review_only=34;edge_or_truncated=23;duplicate_or_handoff=4,61,145-182,302-380,1,1332.7,,1.8295,1.004,284.213,29.27,tube_peak_or_centroid_continuity_observed,-0.5257,-1.01567,-0.00326,optical_gt_or_identity_continuity_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0002,broad_fan_baseline,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,paired_optical_object_sar_gt,complete=46;edge_or_truncated=18;duplicate_or_handoff=11,75,151-189,315-394,1,1332.7,,1.9188,1.0079,149.318,30.403,tube_peak_or_centroid_continuity_observed,-3.4594,-0.83596,-0.00758,optical_gt_or_identity_continuity_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0003,broad_fan_baseline,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,paired_optical_object_sar_gt,complete=43;edge_or_truncated=15;duplicate_or_handoff=2,60,162-210,337-438,1,1332.7,,1.987,1.0079,178.561,38.425,tube_peak_variable_or_competing,-7.20498,2.25345,-0.01512,optical_gt_or_identity_continuity_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0004,broad_fan_baseline,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,paired_optical_object_sar_gt,complete=3,3,184-212,383-442,0.3333,1332.7,,2.1743,1,0,1.232,tube_peak_or_centroid_continuity_observed,-19.63108,-7.38845,1.28864,,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0005,broad_fan_baseline,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,paired_optical_object_sar_gt,ambiguous_or_review_only=3,3,0-4,0-8,1,1332.7,,1.7373,1,107.331,16.641,tube_peak_or_centroid_continuity_observed,-0.26305,28.65748,-0.00013,optical_gt_or_identity_continuity_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0006,broad_fan_baseline,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,paired_optical_object_sar_gt,complete=4,4,4-42,8-88,0.5,1332.7,,2.1135,1.002,437.641,30.112,tube_peak_or_centroid_continuity_observed,-0.13331,-16.67743,-0.0003,optical_gt_or_identity_continuity_review;dropout_or_severe_truncation_temporal_continuation_review;dropout_or_severe_truncation_temporal_continuation_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0007,broad_fan_baseline,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,paired_optical_object_sar_gt,complete=6,6,97-139,202-290,0.5,1332.7,,2.1151,1.0019,532.427,85.664,tube_peak_variable_or_competing,-0.30857,-0.72327,-0.00028,optical_gt_or_identity_continuity_review;dropout_or_severe_truncation_temporal_continuation_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0008,broad_fan_baseline,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,paired_optical_object_sar_gt,edge_or_truncated=2,2,147-170,306-354,1,1332.7,,2.1456,1,0,2.116,tube_peak_or_centroid_continuity_observed,-1.13203,-0.86539,-0.00067,dropout_or_severe_truncation_temporal_continuation_review;optical_gt_or_identity_continuity_review;dropout_or_severe_truncation_temporal_continuation_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0009,complete_shape_quantile_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,paired_optical_object_sar_gt,complete=46,46,151-189,315-394,1,75.253,,1.7708,1.0745,15.941,15.941,tube_peak_or_centroid_continuity_observed,-3.4594,-0.83596,-0.00758,optical_gt_or_identity_continuity_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0010,complete_shape_quantile_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,paired_optical_object_sar_gt,complete=43,43,162-210,337-438,0.9535,87.249,,1.5944,1.0732,31.73,31.73,tube_peak_or_centroid_continuity_observed,-7.20498,2.25345,-0.01512,optical_gt_or_identity_continuity_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
