subject_frame_id,subject_name,pair_id,sar_frame,split,source_region_id,posthoc_evaluation_label,subject_motion_model,persistent_subject_status,relative_aspect_angle_deg,aspect_angle_ci_width_deg,aspect_observability_status,absolute_range_m_grid,center_x,center_y,total_energy,mean_energy,local_background_normalized_energy,high_energy_pixel_fraction,response_occupancy_ratio,inside_vs_ring_contrast,energy_entropy_proxy,range_energy90_width_m,azimuth_energy90_width_m,body_long_energy90_width_m,body_short_energy90_width_m,range_second_moment_width_m,azimuth_second_moment_width_m,body_long_second_moment_width_m,body_short_second_moment_width_m,energy_centroid_range_offset_m,energy_centroid_azimuth_offset_m,energy_centroid_body_long_offset_m,energy_centroid_body_short_offset_m,response_principal_axis_deg,principal_minus_body_axial_deg,principal_minus_range_axial_deg,response_compactness,response_linearity,response_fragment_count,response_fragmentation_index,radar_near_half_energy,radar_far_half_energy,near_far_energy_ratio,counterfactual_role
fixed_known_non_vehicle_N005_sar000315,fixed_known_non_vehicle_N005,WGV35A_PAIR_0003,315,calibration,E0_R1_REG_000315_0043,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,45.846796,4.395572,OBSERVABLE_MEDIUM,36.86557,1196.566369,1166.397906,439961,39.408905,0.946845,0.028574,0.028574,0,0.869065,3.819618,3.010495,4.298054,1.847083,0,0,5.668119,2.395474,-13.227334,4.296312,12.641321,5.798073,-167.541142,8.043077,87.925889,0.134679,2.451217,240,23.886301,0,439961,0,world_fixed_background_aspect_control
fixed_strong_scatterer_sar000315,fixed_strong_scatterer,WGV35A_PAIR_0003,315,calibration,E0_R1_REG_000315_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,45.846796,4.395572,OBSERVABLE_MEDIUM,36.86557,1132.158395,1164.457828,436996,39.400955,0.946654,0.026057,0.026057,0,0.869479,3.637959,2.909011,4.288465,1.893512,0,0,5.427599,2.449706,-11.869234,2.919115,10.709382,5.891442,-170.325985,5.258234,72.836638,0.124466,2.222552,228,22.841343,0,436996,0,world_fixed_background_aspect_control
fixed_linear_structure_sar000315,fixed_linear_structure,WGV35A_PAIR_0003,315,calibration,E0_R1_REG_000315_0044,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,45.846796,4.395572,OBSERVABLE_MEDIUM,36.86557,1461.700834,848.735721,478325,43.162334,1.037025,0.163328,0.163328,0,0.843979,3.588698,3.255067,4.397142,1.572121,0,0,6.326186,1.962466,-11.650909,16.61375,19.824156,-4.331649,-176.814968,1.230749,60.624225,0.159616,3.21272,272,27.271451,0,478325,0,world_fixed_background_aspect_control
fixed_known_non_vehicle_N005_sar000317,fixed_known_non_vehicle_N005,WGV35A_PAIR_0006,317,calibration,E0_R1_REG_000317_0043,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,44.300205,7.018155,OBSERVABLE_MEDIUM,36.989747,1196.566369,1166.397906,480758,43.214203,0.950414,0.03173,0.03173,0,0.86868,3.246964,3.343046,4.23306,1.879561,0,0,5.318662,2.435485,-13.065781,4.274734,12.082732,6.557099,-177.977943,1.183378,77.489088,0.176351,2.187478,281,28.064919,0,480758,0,world_fixed_background_aspect_control
fixed_strong_scatterer_sar000317,fixed_strong_scatterer,WGV35A_PAIR_0006,317,calibration,E0_R1_REG_000317_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,44.300205,7.018155,OBSERVABLE_MEDIUM,36.989747,1132.158395,1164.457828,482365,43.35865,0.95359,0.034157,0.034157,0,0.869362,3.455681,3.230747,4.31295,1.886861,0,0,5.549252,2.440324,-11.726895,2.906885,10.168959,6.52398,-175.040771,4.12055,77.551424,0.12486,2.284314,289,28.86392,0,482365,0,world_fixed_background_aspect_control
fixed_linear_structure_sar000317,fixed_linear_structure,WGV35A_PAIR_0006,317,calibration,E0_R1_REG_000317_0044,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,44.300205,7.018155,OBSERVABLE_MEDIUM,36.989747,1461.700834,848.735721,520707,46.805122,1.029389,0.148404,0.148404,0,0.84539,3.365479,3.73358,4.501274,1.516224,0,0,6.013967,2.075869,-11.394664,16.573818,19.871492,-3.107026,-179.522685,0.361364,57.916508,0.148089,2.900377,282,28.164794,0,520707,0,world_fixed_background_aspect_control
fixed_known_non_vehicle_N005_sar000319,fixed_known_non_vehicle_N005,WGV35A_PAIR_0007,319,calibration,E0_R1_REG_000319_0043,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,48.375314,2.409835,OBSERVABLE_HIGH,37.286259,1196.566369,1166.397906,567124,50.88596,0.968611,0.033827,0.033827,0,0.867923,3.315059,3.268682,4.30625,1.890826,0,0,5.332298,2.424816,-12.649379,4.202132,11.720511,6.347781,-173.75038,4.077055,81.716651,0.15552,2.208538,267,26.618813,0,567124,0,world_fixed_background_aspect_control
fixed_strong_scatterer_sar000319,fixed_strong_scatterer,WGV35A_PAIR_0007,319,calibration,E0_R1_REG_000319_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,48.375314,2.409835,OBSERVABLE_HIGH,37.286259,1132.158395,1164.457828,568708,50.845596,0.967842,0.033795,0.033795,0,0.867578,3.418452,3.303092,4.309253,1.89351,0,0,5.580239,2.418244,-11.3457,2.781849,9.792733,6.369141,-177.249187,0.578248,79.75984,0.154971,2.30925,274,27.218994,0,568708,0,world_fixed_background_aspect_control
fixed_linear_structure_sar000319,fixed_linear_structure,WGV35A_PAIR_0007,319,calibration,E0_R1_REG_000319_0044,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,48.375314,2.409835,OBSERVABLE_HIGH,37.286259,1461.700834,848.735721,599385,54.361057,1.034759,0.132233,0.132233,0,0.847868,2.980427,3.760803,4.210309,1.595771,0,0,5.319595,2.150498,-10.663259,16.452056,19.293529,-3.483531,-179.791908,1.964473,57.647285,0.159004,2.493352,305,30.735433,0,599385,0,world_fixed_background_aspect_control
fixed_known_non_vehicle_N005_sar000321,fixed_known_non_vehicle_N005,WGV35A_PAIR_0010,321,calibration,E0_R1_REG_000321_0043,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,47.442076,2.841601,OBSERVABLE_HIGH,37.651706,1196.566369,1166.397906,535234,48.024586,0.970902,0.029879,0.029879,0,0.871228,2.850211,3.490061,4.329814,1.860619,0,0,5.477315,2.403184,-12.226334,4.15964,11.316454,6.222838,-179.315639,1.488204,76.151392,0.154168,2.286435,247,24.624894,0,535234,0,world_fixed_background_aspect_control
fixed_strong_scatterer_sar000321,fixed_strong_scatterer,WGV35A_PAIR_0010,321,calibration,E0_R1_REG_000321_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,47.442076,2.841601,OBSERVABLE_HIGH,37.651706,1132.158395,1164.457828,536400,47.957085,0.969537,0.032097,0.032097,0,0.869521,2.862534,3.602716,4.183743,1.911387,0,0,5.290808,2.419944,-10.943883,2.724402,9.391837,6.243744,176.571363,5.601202,85.93929,0.156551,2.194986,251,24.934188,0,536400,0,world_fixed_background_aspect_control
fixed_linear_structure_sar000321,fixed_linear_structure,WGV35A_PAIR_0010,321,calibration,E0_R1_REG_000321_0044,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,47.442076,2.841601,OBSERVABLE_HIGH,37.651706,1461.700834,848.735721,557082,50.524395,1.02144,0.108562,0.108562,0,0.851244,2.843312,3.410733,4.030758,1.790336,0,0,4.797167,2.331486,-10.081632,16.386124,18.8982,-3.605885,179.728975,2.44359,57.168168,0.149285,2.071946,263,26.503013,0,557082,0,world_fixed_background_aspect_control
fixed_known_non_vehicle_N005_sar000323,fixed_known_non_vehicle_N005,WGV35A_PAIR_0012,323,calibration,E0_R1_REG_000323_0043,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,49.362651,2.596396,OBSERVABLE_HIGH,37.819196,1196.566369,1166.397906,519854,47.058388,0.968302,0.028877,0.028877,0,0.870707,3.18491,3.519421,4.329651,1.881628,0,0,5.441251,2.42194,-12.008928,4.105793,10.905508,6.491671,-175.272722,3.805575,80.194309,0.150575,2.255733,248,24.943926,0,519854,0,world_fixed_background_aspect_control
fixed_strong_scatterer_sar000323,fixed_strong_scatterer,WGV35A_PAIR_0012,323,calibration,E0_R1_REG_000323_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,49.362651,2.596396,OBSERVABLE_HIGH,37.819196,1132.158395,1164.457828,522671,47.313389,0.973549,0.038472,0.038472,0,0.86706,3.118016,3.978689,4.452455,1.858312,0,0,5.973449,2.355408,-10.746888,2.666103,8.991195,6.462362,175.464027,5.457676,87.046626,0.125416,2.535757,258,25.94973,0,522671,0,world_fixed_background_aspect_control
fixed_linear_structure_sar000323,fixed_linear_structure,WGV35A_PAIR_0012,323,calibration,E0_R1_REG_000323_0044,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,49.362651,2.596396,OBSERVABLE_HIGH,37.819196,1461.700834,848.735721,550666,49.498066,1.018502,0.100674,0.100674,0,0.853844,2.790307,3.565759,4.065884,1.790522,0,0,4.911595,2.319698,-9.6931,16.318835,18.711889,-3.182101,178.138126,2.783577,55.577319,0.138461,2.14811,283,28.264669,0,550666,0,world_fixed_background_aspect_control
fixed_known_non_vehicle_N005_sar000325,fixed_known_non_vehicle_N005,WGV35A_PAIR_0014,325,calibration,E0_R1_REG_000325_0043,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,53.052861,1.367025,OBSERVABLE_HIGH,38.067912,1196.566369,1166.397906,592649,53.052456,0.992042,0.042342,0.042342,0,0.867022,4.146641,1.865586,4.278406,1.878615,0,0,5.393328,2.444075,-11.644682,4.015762,-11.644682,4.015762,53.17332,52.834702,51.359649,0.126532,2.210505,320,31.828445,0,592649,0,world_fixed_background_aspect_control
fixed_strong_scatterer_sar000325,fixed_strong_scatterer,WGV35A_PAIR_0014,325,calibration,E0_R1_REG_000325_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,53.052861,1.367025,OBSERVABLE_HIGH,38.067912,1132.158395,1164.457828,596157,53.366486,0.997914,0.05568,0.05568,0,0.86336,4.150247,1.876436,4.201608,1.887547,0,0,5.614963,2.393397,-10.472408,2.517211,-10.472408,2.517211,63.405173,63.066555,19.10548,0.154904,2.484486,337,33.519331,0,596157,0,world_fixed_background_aspect_control
fixed_linear_structure_sar000325,fixed_linear_structure,WGV35A_PAIR_0014,325,calibration,E0_R1_REG_000325_0044,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,53.052861,1.367025,OBSERVABLE_HIGH,38.067912,1461.700834,848.735721,622241,55.701458,1.041576,0.12434,0.12434,0,0.849528,3.541228,1.812634,3.416805,1.808931,0,0,4.186765,2.150884,-8.883765,16.141537,-8.883765,16.141537,53.728787,53.390169,68.83202,0.166727,1.962809,285,28.347209,0,622241,0,world_fixed_background_aspect_control
fixed_known_non_vehicle_N005_sar000327,fixed_known_non_vehicle_N005,WGV35A_PAIR_0016,327,calibration,E0_R1_REG_000327_0043,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,52.698001,1.936536,OBSERVABLE_HIGH,38.326185,1196.566369,1166.397906,548200,49.642307,0.977407,0.0326,0.0326,0,0.866268,3.225719,3.434322,4.23988,1.87349,0,0,5.293742,2.437709,-11.381792,3.989669,10.016655,6.717833,-177.40942,3.045916,78.057611,0.151711,2.174046,248,24.952962,0,548200,0,world_fixed_background_aspect_control
fixed_strong_scatterer_sar000327,fixed_strong_scatterer,WGV35A_PAIR_0016,327,calibration,E0_R1_REG_000327_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,52.698001,1.936536,OBSERVABLE_HIGH,38.326185,1132.158395,1164.457828,545883,49.589661,0.976371,0.03234,0.03234,0,0.865366,2.837244,3.869432,4.24131,1.823744,0,0,5.507938,2.295768,-10.174434,2.501526,8.101772,6.643646,176.320396,3.224268,86.190257,0.15603,2.406307,237,23.921996,0,545883,0,world_fixed_background_aspect_control
fixed_linear_structure_sar000327,fixed_linear_structure,WGV35A_PAIR_0016,327,calibration,E0_R1_REG_000327_0044,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,52.698001,1.936536,OBSERVABLE_HIGH,38.326185,1461.700834,848.735721,566218,51.436954,1.012742,0.084575,0.084575,0,0.852873,2.666287,3.060529,3.719406,1.872775,0,0,4.39881,2.489007,-8.616596,16.11971,18.067442,-2.76737,173.301054,6.24361,50.740247,0.1482,1.803743,237,23.921996,0,566218,0,world_fixed_background_aspect_control
