region_id,pair_id,sar_frame,split,family,variant,comparison_group,geometry_basis,center_x,center_y,width_px,height_px,width_m_grid,height_m_grid,angle_deg,body_axis_source,heading_confidence,sar_motion_heading_deg,rotation_relative_to_body_deg,area_ratio_to_gt,offset_axis,offset_px_local_range,offset_px_local_azimuth,offset_px_body_long,offset_px_body_short,offset_m_local_range,offset_m_local_azimuth,offset_m_body_long,offset_m_body_short,offset_fraction_body_length,offset_fraction_body_width,scale_ratio,source_role,gt_overlap_allowed,background_source,outer_polygon,inner_polygon,metric_mapping_status,pixel_to_meter_status,sar_resolution_status
E0_R1_REG_000315_0001,WGV35A_PAIR_0003,315,calibration,GT_ORIGINAL,axis_aligned_gt_original,vehicle_reference,axis_aligned_sar_gt_bbox,790.875,940.529,143.982,70.212,4.31946,2.10636,0,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,-4.415781,1,,-0,0,0,0,-0,0,0,0,0,0,1,vehicle_reference_or_perturbation,true,,718.884:905.423;862.866:905.423;862.866:975.635;718.884:975.635,,PASS_CURRENT_IMAGING_CONFIG,PASS_CURRENT_IMAGE_GRID_0_03_M_PER_PX,NOT_READY
E0_R1_REG_000315_0002,WGV35A_PAIR_0003,315,calibration,BODY_ALIGNED_REFERENCE,body_axis_reference,vehicle_reference,SAR_MOTION_HEADING_PROXY_body_support,790.875,940.529,158.83115,69.254939,4.764934,2.077648,4.415781,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,0,1.088095,,-0,0,0,0,-0,0,0,0,0,0,1,vehicle_reference_or_perturbation,true,,714.361259:899.889825;872.720932:912.118814;867.388741:981.168175;709.029068:968.939186,,PASS_CURRENT_IMAGING_CONFIG,PASS_CURRENT_IMAGE_GRID_0_03_M_PER_PX,NOT_READY
E0_R1_REG_000315_0003,WGV35A_PAIR_0003,315,calibration,BODY_SCALE,body_support_scale_0.75,body_scale_response,same_center_body_axis_scale,790.875,940.529,119.123363,51.941204,3.573701,1.558236,4.415781,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,0,0.612054,,-0,0,0,0,-0,0,0,0,0,0,0.75,vehicle_reference_or_perturbation,true,,733.489694:910.049619;852.259449:919.22136;848.260306:971.008381;729.490551:961.83664,,PASS_CURRENT_IMAGING_CONFIG,PASS_CURRENT_IMAGE_GRID_0_03_M_PER_PX,NOT_READY
E0_R1_REG_000315_0004,WGV35A_PAIR_0003,315,calibration,BODY_SCALE,body_support_scale_1.25,body_scale_response,same_center_body_axis_scale,790.875,940.529,198.538938,86.568674,5.956168,2.59706,4.415781,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,0,1.700149,,-0,0,0,0,-0,0,0,0,0,0,1.25,vehicle_reference_or_perturbation,true,,695.232823:889.730031;893.182414:905.016267;886.517177:991.327969;688.567586:976.041733,,PASS_CURRENT_IMAGING_CONFIG,PASS_CURRENT_IMAGE_GRID_0_03_M_PER_PX,NOT_READY
E0_R1_REG_000315_0005,WGV35A_PAIR_0003,315,calibration,METRIC_TRANSLATION,local_range_-0.90m,metric_translation_surface,same_area_metric_grid_shift,811.316212,962.48707,158.83115,69.254939,4.764934,2.077648,4.415781,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,0,1.088095,local_range,-30,-0,22.071166,20.319046,-0.9,-0,0.662135,0.609571,0.13896,0.293395,1,vehicle_reference_or_perturbation,true,,734.802471:921.847895;893.162144:934.076884;887.829954:1003.126245;729.470281:990.897256,,PASS_CURRENT_IMAGING_CONFIG,PASS_CURRENT_IMAGE_GRID_0_03_M_PER_PX,NOT_READY
E0_R1_REG_000315_0006,WGV35A_PAIR_0003,315,calibration,METRIC_TRANSLATION,local_range_-0.45m,metric_translation_surface,same_area_metric_grid_shift,801.095606,951.508035,158.83115,69.254939,4.764934,2.077648,4.415781,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,0,1.088095,local_range,-15,-0,11.035583,10.159523,-0.45,-0,0.331067,0.304786,0.06948,0.146697,1,vehicle_reference_or_perturbation,true,,724.581865:910.86886;882.941538:923.097849;877.609348:992.14721;719.249675:979.918221,,PASS_CURRENT_IMAGING_CONFIG,PASS_CURRENT_IMAGE_GRID_0_03_M_PER_PX,NOT_READY
E0_R1_REG_000315_0007,WGV35A_PAIR_0003,315,calibration,METRIC_TRANSLATION,local_range_+0.00m,metric_translation_surface,same_area_metric_grid_shift,790.875,940.529,158.83115,69.254939,4.764934,2.077648,4.415781,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,0,1.088095,local_range,-0,0,0,0,-0,0,0,0,0,0,1,vehicle_reference_or_perturbation,true,,714.361259:899.889825;872.720932:912.118814;867.388741:981.168175;709.029068:968.939186,,PASS_CURRENT_IMAGING_CONFIG,PASS_CURRENT_IMAGE_GRID_0_03_M_PER_PX,NOT_READY
E0_R1_REG_000315_0008,WGV35A_PAIR_0003,315,calibration,METRIC_TRANSLATION,local_range_+0.45m,metric_translation_surface,same_area_metric_grid_shift,780.654394,929.549965,158.83115,69.254939,4.764934,2.077648,4.415781,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,0,1.088095,local_range,15,0,-11.035583,-10.159523,0.45,0,-0.331067,-0.304786,-0.06948,-0.146697,1,vehicle_reference_or_perturbation,true,,704.140652:888.91079;862.500325:901.139779;857.168135:970.18914;698.808462:957.960151,,PASS_CURRENT_IMAGING_CONFIG,PASS_CURRENT_IMAGE_GRID_0_03_M_PER_PX,NOT_READY
E0_R1_REG_000315_0009,WGV35A_PAIR_0003,315,calibration,METRIC_TRANSLATION,local_range_+0.90m,metric_translation_surface,same_area_metric_grid_shift,770.433788,918.57093,158.83115,69.254939,4.764934,2.077648,4.415781,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,0,1.088095,local_range,30,0,-22.071166,-20.319046,0.9,0,-0.662135,-0.609571,-0.13896,-0.293395,1,vehicle_reference_or_perturbation,true,,693.920046:877.931755;852.279719:890.160744;846.947529:959.210105;688.587856:946.981116,,PASS_CURRENT_IMAGING_CONFIG,PASS_CURRENT_IMAGE_GRID_0_03_M_PER_PX,NOT_READY
E0_R1_REG_000315_0010,WGV35A_PAIR_0003,315,calibration,METRIC_TRANSLATION,local_azimuth_-0.90m,metric_translation_surface,same_area_metric_grid_shift,768.91693,960.970212,158.83115,69.254939,4.764934,2.077648,4.415781,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,0,1.088095,local_azimuth,0,-30,-20.319046,22.071166,0,-0.9,-0.609571,0.662135,-0.127929,0.318694,1,vehicle_reference_or_perturbation,true,,692.403189:920.331037;850.762862:932.560026;845.430671:1001.609388;687.070998:989.380399,,PASS_CURRENT_IMAGING_CONFIG,PASS_CURRENT_IMAGE_GRID_0_03_M_PER_PX,NOT_READY
E0_R1_REG_000315_0011,WGV35A_PAIR_0003,315,calibration,METRIC_TRANSLATION,local_azimuth_-0.45m,metric_translation_surface,same_area_metric_grid_shift,779.895965,950.749606,158.83115,69.254939,4.764934,2.077648,4.415781,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,0,1.088095,local_azimuth,0,-15,-10.159523,11.035583,0,-0.45,-0.304786,0.331067,-0.063964,0.159347,1,vehicle_reference_or_perturbation,true,,703.382224:910.110431;861.741897:922.33942;856.409706:991.388781;698.050033:979.159792,,PASS_CURRENT_IMAGING_CONFIG,PASS_CURRENT_IMAGE_GRID_0_03_M_PER_PX,NOT_READY
