factor_type,connects_node_types,evidence_inputs,allowed_effect,blocked_effect,failure_modes,example_wgv_source,notes
optical_state_factor,optical_observation_node+optical_behavior_state_node,visible state tags;primary repair;missing detection context,classify optical state and uncertainty,prove same physical vehicle or SAR identity,state tag unsupported;state tag conflicts with visual evidence,GM_RM011 M003 primary-box repair,State is explanatory not identity-confirming
optical_continuity_factor,optical_fragment_node+optical_thread_node,frame continuity;merge edge status;start and end visual checks,mark optical continuity as strong weak ambiguous or blocked,force merge across preserved boundaries,context_only edge treated as same-vehicle,GM_RM011 T001 accepted;GM_RM017 T001 weak,Consumes WGV1.4b graph classes conservatively
sar_morphology_factor,sar_gt_local_reference_node+sar_morphology_node,GT-local ridge;hotspot;weak boundary;shell contour vocabulary,support posthoc SAR mechanism explanation,construct runtime prior logic or final box,small atom promoted to vehicle;GT quality ignored,GM_RM011 WGV18W001,Reads SAR morphology as vocabulary only
sar_temporal_drift_factor,sar_morphology_node+sar_temporal_drift_node,non-jump signal;gradual drift;insufficient temporal evidence,explain SAR-side temporal support or ambiguity,declare identity truth across SAR frames,background reflector persists;motion artifact,GM_RM017 temporal continuity evidence categories,Temporal support remains SAR-internal and posthoc
geometry_feasibility_factor,optical_thread_node+geometry_feasible_domain_node,software-sync tube;azimuth proxy;range shell concept,restrict admissible review or exploration domain,select unique offset or candidate box,missing direct mapping;overbroad shell;scene bias unknown,GM_RM017 WGV1.7 ambiguous offset band,Feasible domain is not localization
boundary_preservation_factor,boundary_competition_node+optical_thread_node,context_only edge;not_same_vehicle boundary;before and after frames,preserve known different-vehicle boundary,relax boundary without independent evidence,boundary bridged by color similarity or posthoc overlap,GM_RM011 M005;GM_RM011 M016,Boundary protection overrides thread extension
competitor_risk_factor,boundary_competition_node+optical_behavior_state_node+sar_morphology_node,same-color competitor;multi-target SAR signal;background risk,mark competition or ambiguity,upgrade weak thread due to overlap,neighbor vehicle or static reflector treated as target,GM_RM011 M016 same-color SUV;GM_RM017 weak threads,Competition blocks identity consumption
evidence_permission_factor,evidence_permission_node+any_evidence_node,source provenance;allowed use;forbidden use;upgrade requirement,gate relation outcome and consumption status,convert posthoc evidence into runtime claim,permission missing;source provenance mixed,WGV1.5A blocked_for_sar_consumption rules,Every relation must pass permission before use
mechanism_explanation_factor,mechanism_relation_node+supporting_evidence_nodes,compatible optical state;SAR morphology;geometry feasibility;permission gate,produce conservative mechanism outcome,produce annotation or runtime prediction,explanation overstates evidence;boundary ignored,GM_RM011 truncation may shift SAR support,Explains why a relation is plausible or limited
contradiction_or_blocking_factor,mechanism_relation_node+blocking_nodes,boundary conflict;identity risk;insufficient evidence;permission block,emit blocked outcome,hide contradiction inside weak support,blocked item silently upgraded,GM_RM017 WGV14V004;GM_RM011 M016,Failure is a first-class graph result
