frame_review_id,scene,canonical_vehicle_id,sar_frame,optical_frame,gt_center_px,gt_size_px,gt_size_m,gt_angle_deg,gt_quality,optical_state,current_visible_sar_response,vehicle_relative_position,relation_to_previous,relation_to_next,new_information,background_risk,attribution,evidence_level,judgment_basis,evidence_path
GM_RM017_PV002_000302_001,GM_RM017,GM_RM017:PV002,302,145,"primary:870.1,1008.5",primary:137.2x68.2,primary:4.12x2.05,primary:176.0,primary:usable/high,partial_visible;entry;bbox=true,First reviewed SAR anchor is weak and incomplete; nearby unlinked box exists.,no stable vehicle-coordinate part,entry anchor; no earlier reviewed vehicle response,responses remain weak through early frames,Establishes that the lifecycle begins before the later bright band.,nearby unlinked box; vertical/arc structure,mixed,CANDIDATE_RELATION,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_sar_302_386_contact_p01.png
GM_RM017_PV002_000310_002,GM_RM017,GM_RM017:PV002,310,149,"primary:920.9,1010.5;duplicate1:756.1,941.1",primary:167.8x66.7;duplicate1:151.2x69.4,primary:5.03x2.00;duplicate1:4.54x2.08,primary:-3.0;duplicate1:176.0,primary:usable/high;duplicate1:diagnostic_only/high,partial_visible;none;bbox=true,Sparse local response with a second diagnostic PV002 box 178.8 px (5.36 m) away.,ambiguous because duplicate boxes disagree,duplicate appears relative to 302,later anchors select the high-quality lower/right trajectory,Exposes an identity/geometry conflict that cannot be repaired by brightness.,duplicate vehicle link; fixed scene lines,unresolved,UNRESOLVED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_sar_302_386_contact_p01.png
GM_RM017_PV002_000319_003,GM_RM017,GM_RM017:PV002,319,153,"primary:982.1,1008.9",primary:159.2x70.1,primary:4.77x2.10,primary:-1.0,primary:usable/high,partial_visible;none;bbox=true,Lower/right local response and endpoint energy become visible but remain incomplete.,near lower long-axis side and right endpoint,stronger than 317-318,continues and becomes clearer by 330,Shows a vehicle-sized GT can contain only a partial response set.,PV003 nearby; vertical line to right,vehicle-related with mixing,MULTIFRAME_SUPPORTED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_sar_302_386_contact_p01.png
GM_RM017_PV002_000330_004,GM_RM017,GM_RM017:PV002,330,158,"primary:1051.0,1010.8",primary:164.0x66.2,primary:4.92x1.99,primary:-1.0,primary:usable/high,full_visible;none;bbox=true,"P1 lower long response, P2 right/endpoint cluster and weak P3 upper short response coexist incompletely.",P1 lower long-axis side; P2 endpoint; P3 upper offset,P1/P2 strengthen from 329,parts change relative strength in 331-339,Provides the clearest early three-part complementary observation.,right-side vertical clutter; neighbor PV003,vehicle-related with background risk,DIRECTLY_OBSERVED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_vehicle_coordinate_and_parts.png
GM_RM017_PV002_000339_005,GM_RM017,GM_RM017:PV002,339,163,"primary:1111.4,1005.8",primary:158.3x79.0,primary:4.75x2.37,primary:355.0,primary:usable/high,full_visible;none;bbox=true,P1 broadens and brightens while P2/P3 geometry changes.,lower long-axis side with intermittent endpoint/upper returns,stronger and shifted from 338,344 retains P1 but not identical P2/P3,Refutes a fixed per-frame template while supporting a persistent vehicle-scale relation.,nearby vertical/arc structures,vehicle-related with mixing,MULTIFRAME_SUPPORTED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_vehicle_coordinate_and_parts.png
GM_RM017_PV002_000344_006,GM_RM017,GM_RM017:PV002,344,165,"primary:1140.3,1009.7",primary:160.3x74.4,primary:4.81x2.23,primary:178.0,primary:usable/high,full_visible;none;bbox=true,Broad lower response dominates; upper portion remains incomplete.,lower half of GT along long axis,P1 persists from 343,350 retains endpoint energy with changed width,Shows response completeness changes without a vehicle identity change.,right vertical structure and PV003 adjacency,vehicle-related,DIRECTLY_OBSERVED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_vehicle_coordinate_and_parts.png
GM_RM017_PV002_000350_007,GM_RM017,GM_RM017:PV002,350,168,"primary:1177.3,1004.4",primary:154.4x83.8,primary:4.63x2.51,primary:177.0,primary:usable/high,full_visible;none;bbox=true,Lower response and endpoint energy persist with altered width and intensity.,lower/near-side and one endpoint,continues from 349,later frames retain a weaker shifting band,Adds evidence that the same vehicle response remains incomplete but not absent.,scene-fixed vertical returns,vehicle-related with mixing,MULTIFRAME_SUPPORTED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_vehicle_coordinate_and_parts.png
GM_RM017_PV002_000370_008,GM_RM017,GM_RM017:PV002,370,178,"primary:1307.3,1008.5",primary:146.7x73.1,primary:4.40x2.19,primary:-3.0,primary:usable/high,partial_visible;none;bbox=true,Lower band remains but is weaker and spatially redistributed during partial optical visibility.,lower long-axis side,gradual change from 369,continues without a discontinuous identity jump,Separates response weakening from physical vehicle exit.,PV003/PV004 adjacency; fixed lines,vehicle-related,MULTIFRAME_SUPPORTED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_sar_302_386_contact_p03.png
GM_RM017_PV002_000386_009,GM_RM017,GM_RM017:PV002,386,185,"primary:1407.0,1006.3",primary:159.2x76.9,primary:4.78x2.31,primary:-3.0,primary:usable/high,partial_visible;exit;bbox=true,Final mapped optical frame remains partially visible; SAR response is weak and incomplete.,lower/central weak response,weaker than middle lifecycle,no later PV002 lifecycle evidence in this review,Provides the exit boundary and prevents extending PV002 ownership indefinitely.,persistent scene structures after vehicle exit,vehicle-related only inside lifecycle,MULTIFRAME_SUPPORTED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_sar_302_386_contact_p03.png
GM_RM017_PV003_000315_010,GM_RM017,GM_RM017:PV003,315,151,"primary:790.9,940.5",primary:144.0x70.2,primary:4.32x2.11,primary:177.0,primary:usable/high,partial_visible;entry;bbox=true,First GT anchor for the white SUV contains little clear vehicle response.,no stable part,entry/partial optical visibility,later frames develop weak lower returns,Shows the vehicle may be present before a clear SAR component appears.,PV002 response and background arcs nearby,unresolved,CANDIDATE_RELATION,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p01.png
