comparison,physical_vehicle_id,interval_id,direction,sar_frame,previous_region,current_region,center_shift_px,area_delta,visible_response_coverage_previous,visible_response_coverage_current,category,notes
P1_to_P2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,forward,27,"972.572,1167.739,1154.849,1239.839","972.640,1175.599,1154.917,1247.699",7.860294,0,,,P2_moves_to_stronger_response,P2 changes center using local SAR response; non-target middle frames have no independent eval box.
P1_to_P2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,forward,28,"976.952,1168.573,1154.641,1239.812","975.939,1178.152,1155.234,1249.692",9.731766,168.377629,,,P2_moves_to_stronger_response,P2 changes center using local SAR response; non-target middle frames have no independent eval box.
P1_to_P2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,forward,29,"981.333,1169.408,1154.433,1239.784","980.257,1179.780,1155.525,1250.563",10.575503,223.909244,,,P2_moves_to_stronger_response,P2 changes center using local SAR response; non-target middle frames have no independent eval box.
P1_to_P2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,forward,30,"985.714,1170.243,1154.225,1239.756","983.840,1172.201,1154.717,1242.159",2.28737,240.508023,,,P2_moves_to_stronger_response,P2 changes center using local SAR response; non-target middle frames have no independent eval box.
P1_to_P2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,forward,31,"990.094,1171.077,1154.017,1239.729","988.742,1171.343,1155.099,1240.452",0.512597,243.124117,1,0.996128,P2_hurts_coverage,P2 changes center using local SAR response; non-target middle frames have no independent eval box.
P1_to_P2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,forward,31,"990.094,1171.077,1154.017,1239.729","990.542,1171.198,1154.465,1239.850",0.464053,-0,,,P2_moves_to_wrong_or_unverified_response,P2 changes center using local SAR response; non-target middle frames have no independent eval box.
P1_to_P2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,forward,32,"994.321,1171.043,1158.360,1239.814","992.999,1171.477,1156.998,1240.206",1.404113,-9.638798,,,P2_moves_to_stronger_response,P2 changes center using local SAR response; non-target middle frames have no independent eval box.
P1_to_P2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,forward,33,"998.547,1171.010,1162.704,1239.899","996.636,1171.764,1160.738,1240.597",2.06999,-12.978607,,,P2_moves_to_stronger_response,P2 changes center using local SAR response; non-target middle frames have no independent eval box.
P1_to_P2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,forward,34,"1002.774,1170.976,1167.047,1239.984","997.373,1164.098,1161.586,1233.044",8.788062,-14.321686,,,P2_moves_to_stronger_response,P2 changes center using local SAR response; non-target middle frames have no independent eval box.
P1_to_P2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,forward,35,"1007.001,1170.942,1171.391,1240.069","998.485,1170.172,1162.812,1239.236",8.584996,-14.707602,,,P2_moves_to_stronger_response,P2 changes center using local SAR response; non-target middle frames have no independent eval box.
P1_to_P2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,forward,36,"1011.228,1170.909,1175.734,1240.153","1002.717,1171.136,1167.161,1240.317",8.544237,-14.6531,,,P2_moves_to_stronger_response,P2 changes center using local SAR response; non-target middle frames have no independent eval box.
P1_to_P2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,forward,37,"1015.454,1170.875,1180.077,1240.238","1007.636,1170.770,1172.196,1240.070",7.850687,-14.737149,,,P2_moves_to_stronger_response,P2 changes center using local SAR response; non-target middle frames have no independent eval box.
P1_to_P2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,forward,38,"1019.681,1170.841,1184.421,1240.323","1015.029,1169.235,1179.706,1238.653",4.961675,-14.916694,,,P2_moves_to_stronger_response,P2 changes center using local SAR response; non-target middle frames have no independent eval box.
P1_to_P2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,forward,39,"1023.908,1170.808,1188.764,1240.408","1020.321,1168.683,1185.115,1238.220",4.211937,-14.697222,,,P2_moves_to_wrong_or_unverified_response,P2 changes center using local SAR response; non-target middle frames have no independent eval box.
P1_to_P2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0206_TO_WGV35A_PAIR_0207,forward,77,"1184.523,1169.528,1353.813,1243.634","1184.601,1170.823,1353.891,1244.929",1.297347,-0,,,P2_moves_to_stronger_response,P2 changes center using local SAR response; non-target middle frames have no independent eval box.
P1_to_P2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0206_TO_WGV35A_PAIR_0207,forward,78,"1189.029,1171.410,1354.133,1245.357","1187.621,1176.887,1354.190,1250.890",5.546289,117.660219,,,P2_moves_to_stronger_response,P2 changes center using local SAR response; non-target middle frames have no independent eval box.
