eval_id,family_id,sar_frame,family_state,raw_judgement,assisted_judgement,gt_exact_frame_available,bbox_iou,gt_coverage_ratio,prediction_purity_ratio,prediction_to_gt_area_ratio,center_distance_px,center_distance_m,posthoc_label_group_eval_only,vehicle_identity_eval_only,gt_assisted_explanation_cn,provenance
R21EV0001,R21F00001,27,unresolved:5;vehicle_response_box_possible:1,unresolved,unresolved,true,0,0,0,0.001908,178.098176,5.342945,historical_positive_group_eval_only,white_suv_eval_only,"GT 仅用于冻结后评价；IoU=0, GT coverage=0, purity=0。",eval_only_after_raw_and_assisted_freeze
R21EV0002,R21F00002,28,unresolved:4;vehicle_response_box_possible:1,unresolved,unresolved,false,,,,,,,historical_positive_group_eval_only,white_suv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0003,R21F00003,29,unresolved:3;vehicle_response_box_possible:1,unresolved,unresolved,false,,,,,,,historical_positive_group_eval_only,white_suv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0004,R21F00004,30,unresolved:5;vehicle_part_box_only:1;vehicle_response_box_possible:1;vehicle_response_box_supported:1,vehicle_response,mechanism_partial,false,,,,,,,historical_positive_group_eval_only,white_suv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0005,R21F00005,31,unresolved:3;vehicle_part_box_only:2;vehicle_response_box_possible:1;vehicle_response_box_supported:2,vehicle_response,mechanism_partial,true,0.350894,0.439231,0.635667,0.690976,17.446934,0.523408,historical_positive_group_eval_only,white_suv_eval_only,"GT 仅用于冻结后评价；IoU=0.350894, GT coverage=0.439231, purity=0.635667。",eval_only_after_raw_and_assisted_freeze
R21EV0006,R21F00006,32,unresolved:5;vehicle_part_box_only:2;vehicle_response_box_possible:1,unresolved,unresolved,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,white_suv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0007,R21F00007,34,unresolved:3;vehicle_part_box_only:3;vehicle_response_box_possible:1;vehicle_response_box_supported:1,vehicle_response,mechanism_partial,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,white_suv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0008,R21F00008,39,unresolved:2;vehicle_part_box_only:3;vehicle_response_box_possible:3,background,background_or_misled,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,white_suv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0009,R21F00009,40,unresolved:3;vehicle_response_box_possible:2,background,background_or_misled,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,white_suv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0010,R21F00010,40,vehicle_part_box_only:1,background,background_or_misled,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,white_suv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
