part_review_id,scene,canonical_vehicle_id,part_id,first_observed_sar_frame,main_sar_frames,approx_position_range,approx_metric_scale,relation_to_long_axis,relation_to_other_parts,appearance_mode,vehicle_attribution_confidence,background_mixing_risk,evidence_level,reviewer_note,evidence_path
GM17_PV002_P1,GM_RM017,GM_RM017:PV002,P1,319,330-386; strongest 339-360,lower/near-side half; long response shifts within GT,about 90-145 px = 2.70-4.35 m visible span; not an entity length,roughly long-axis aligned,often co-occurs with P2; P3 may be absent,stable-recurrent but width/strength varies,medium-high,medium,MULTIFRAME_SUPPORTED,"Directly recurring relation, not a recovered full vehicle body.",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_vehicle_coordinate_and_parts.png
GM17_PV002_P2,GM_RM017,GM_RM017:PV002,P2,319,319;330;339-350; later intermittent,right/endpoint-side compact cluster,about 15-35 px = 0.45-1.05 m apparent extent,near one long-axis endpoint,often adjacent to P1 but not fixed,intermittent/endpoint-enhanced,medium,medium-high,CANDIDATE_RELATION,Neutral endpoint label only; no head/tail semantic assigned.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_vehicle_coordinate_and_parts.png
GM17_PV002_P3,GM_RM017,GM_RM017:PV002,P3,319,319;330;339;344 and nearby frames,upper/short offset from P1,about 20-45 px = 0.60-1.35 m; offset from P1 about 35-55 px = 1.05-1.65 m,roughly parallel or oblique to long axis,alternates with P1/P2; frequently absent,intermittent/azimuth-sensitive candidate,medium-low,high,CANDIDATE_RELATION,Could include background or imaging extension; not a physical component claim.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_vehicle_coordinate_and_parts.png
GM17_PV003_P1,GM_RM017,GM_RM017:PV003,P1,330,330-394 intermittent,lower part of white-SUV GT,about 60-130 px = 1.80-3.90 m visible span,roughly long-axis aligned,sometimes paired with P2 endpoint hotspot,weak recurrent and fragmented,medium,medium-high,MULTIFRAME_SUPPORTED,"Weaker than PV002; supports cross-frame complementarity, not a fixed tangent.",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p02.png
GM17_PV003_P2,GM_RM017,GM_RM017:PV003,P2,330,330;344;350-385 intermittent,right/endpoint-side hotspot or short segment,about 15-35 px = 0.45-1.05 m apparent extent,near one endpoint,may appear when P1 weakens,intermittent,medium-low,high,CANDIDATE_RELATION,Attribution remains mixed with neighboring/background responses.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p02.png
GM17_PV003_P3,GM_RM017,GM_RM017:PV003,P3,335,335-336 only,upper-left duplicate-box trajectory,box centers separated from main PV003 by 168.5-179.1 px = 5.05-5.37 m,not physically compatible with one vehicle extent,transitions to PV004 label at 337,identity/geometry conflict,none,critical,UNRESOLVED,Not accepted as a PV003 response part; retained as GT identity-conflict evidence.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p01.png
GM17_PV004_P1,GM_RM017,GM_RM017:PV004,P1,337,337-394 sparse,isolated small returns inside GT,typically below about 30 px = 0.90 m apparent extent,no stable long-axis relation,does not assemble with a repeatable P2/P3 set,intermittent/weak,low,high,CANDIDATE_RELATION,Insufficient to define a vehicle response body.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p01.png
GM17_PV004_P2,GM_RM017,GM_RM017:PV004,P2,337,337-446 scene-wide,diagonal/arc structures crossing outside or near GT,multi-meter scene structures; not bounded by vehicle GT,inconsistent in vehicle coordinates,persists independently of box-local response,scene-fixed background,excluded,critical,EXCLUDED,Stronger than many box-local returns and therefore a major false-attribution risk.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p03.png
GM17_PV004_P3,GM_RM017,GM_RM017:PV004,P3,429,429;438;442;446,late-life weak response inside one of competing boxes,not reliably measurable because duplicate centers differ by 158.1-170.7 px = 4.74-5.12 m,not stable,competes with duplicate GT position,late/exit intermittent,low,high,UNRESOLVED,Cannot be upgraded while late GT identity/geometry remains conflicted.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p04.png
GM19_PV001_P1,GM_RM019,GM_RM019:PV001,P1,8,8;27,sparse compact returns within reliable box,about 20-50 px = 0.60-1.50 m apparent extent,no stable full-length relation,does not form a complete body,intermittent,low-medium,high,CANDIDATE_RELATION,Identity lifecycle is more reliable than pixel ownership.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv001_sar_0_35_contact_p01.png
