target_family_id,scene_id,source_fragment_id,frame_start,frame_end,frame_count,frames_with_raw_all_candidate_table,frames_with_raw_candidate_rows,frames_with_competing_candidate,selected_rows_present_in_bank,competing_source_detection_ids,competing_x_bins,contrast_status,contrast_recommendation,sar_ready,note
GM_RM011_WGV12TF001,GM_RM011,GM_RM011_WG11F001,0,4,5,5,5,5,5,GM_RM011_000000_002;GM_RM011_000001_002;GM_RM011_000002_002;GM_RM011_000003_002;GM_RM011_000004_002,right,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM011_WGV12TF002,GM_RM011,GM_RM011_WG11F002,8,9,2,2,2,1,2,GM_RM011_000009_002;GM_RM011_000009_003,mid,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM011_WGV12TF003,GM_RM011,GM_RM011_WG11F002,10,10,1,1,1,1,1,GM_RM011_000010_002,mid,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM011_WGV12TF004,GM_RM011,GM_RM011_WG11F003,13,16,4,4,4,3,4,GM_RM011_000013_002;GM_RM011_000013_003;GM_RM011_000014_002;GM_RM011_000015_002;GM_RM011_000015_003,mid,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM011_WGV12TF005,GM_RM011,GM_RM011_WG11F004,18,25,8,8,8,7,8,GM_RM011_000019_002;GM_RM011_000020_002;GM_RM011_000020_003;GM_RM011_000021_002;GM_RM011_000022_002;GM_RM011_000023_002;GM_RM011_000023_003;GM_RM011_000024_001;GM_RM011_000024_003;GM_RM011_000025_002;GM_RM011_000025_003,left,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM011_WGV12TF006,GM_RM011,GM_RM011_WG11F006,31,35,5,5,5,5,5,GM_RM011_000031_002;GM_RM011_000032_002;GM_RM011_000033_002;GM_RM011_000034_002;GM_RM011_000035_002,right,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM011_WGV12TF007,GM_RM011,GM_RM011_WG11F007,135,137,3,3,3,3,3,GM_RM011_000135_002;GM_RM011_000136_002;GM_RM011_000137_002,mid,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM011_WGV12TF008,GM_RM011,GM_RM011_WG11F009,151,161,11,11,11,6,11,GM_RM011_000151_002;GM_RM011_000153_002;GM_RM011_000154_002;GM_RM011_000155_002;GM_RM011_000157_002;GM_RM011_000161_002,left;right,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM011_WGV12TF009,GM_RM011,GM_RM011_WG11F010,164,166,3,3,3,1,3,GM_RM011_000166_002,right,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM011_WGV12TF010,GM_RM011,GM_RM011_WG11F011,231,232,2,2,2,2,2,GM_RM011_000231_002;GM_RM011_000232_002,mid,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM011_WGV12TF011,GM_RM011,GM_RM011_WG11F011,233,233,1,1,1,1,1,GM_RM011_000233_002,left,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM011_WGV12TF012,GM_RM011,GM_RM011_WG11F012,236,239,4,4,4,3,4,GM_RM011_000237_002;GM_RM011_000238_002;GM_RM011_000239_002,left,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM011_WGV12TF013,GM_RM011,GM_RM011_WG11F013,242,249,8,8,8,4,8,GM_RM011_000242_001;GM_RM011_000243_002;GM_RM011_000244_002;GM_RM011_000245_002,right,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM011_WGV12TF014,GM_RM011,GM_RM011_WG11F013,250,250,1,1,1,1,1,GM_RM011_000250_002;GM_RM011_000250_003,mid;right,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM011_WGV12TF015,GM_RM011,GM_RM011_WG11F013,251,259,9,9,9,5,9,GM_RM011_000251_002;GM_RM011_000252_002;GM_RM011_000255_002;GM_RM011_000258_002;GM_RM011_000259_002,mid,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
