check_name,status,detail,current_sha256,replay_sha256
replay_axis_observations,PASS,reports/oty2/samples/oty2_gm_rm019_s1_r1_axis_observations_20260712.csv,17aa557e3a5c13e6d96a494c3a42a4250facaa9839fc551897737c518000eea2,17aa557e3a5c13e6d96a494c3a42a4250facaa9839fc551897737c518000eea2
replay_threshold_components,PASS,reports/oty2/samples/oty2_gm_rm019_s1_r1_threshold_components_20260712.csv,ccc6cb9f273e68211d261a073e52a01743c999be9868d5062d8f400099afe466,ccc6cb9f273e68211d261a073e52a01743c999be9868d5062d8f400099afe466
replay_threshold_transitions,PASS,reports/oty2/samples/oty2_gm_rm019_s1_r1_threshold_component_transitions_20260712.csv,81c297603027b82aa97b02b4a2f86170ed9b34b6fb2ed2aefab9f81f45e788c3,81c297603027b82aa97b02b4a2f86170ed9b34b6fb2ed2aefab9f81f45e788c3
replay_vehicle_projection_envelope,PASS,reports/oty2/samples/oty2_gm_rm019_s1_r1_vehicle_projection_envelope_20260712.csv,3393f6ea54f723bc7bc580d2d1848be65497a6930eddcd355764c6e467933585,3393f6ea54f723bc7bc580d2d1848be65497a6930eddcd355764c6e467933585
replay_counterfactual_specs,PASS,reports/oty2/samples/oty2_gm_rm019_s1_r1_counterfactual_specs_20260712.csv,8f6c8af8e129efdd4dd7eab9a8d9e3cda073dd6c04b42c1fda889f6e3182d5ad,8f6c8af8e129efdd4dd7eab9a8d9e3cda073dd6c04b42c1fda889f6e3182d5ad
replay_counterfactual_measurements,PASS,reports/oty2/samples/oty2_gm_rm019_s1_r1_counterfactual_measurements_20260712.csv,81493ae3a6d61a68b3b200aff478acd5a25ff2218561a41f7f579dcfee13c6ce,81493ae3a6d61a68b3b200aff478acd5a25ff2218561a41f7f579dcfee13c6ce
replay_independent_geometry_map,PASS,reports/oty2/samples/oty2_gm_rm019_s1_r1_independent_geometry_map_20260712.csv,2d3c876d3c708a1bb50234328935fcb4a38fddb1115e37803838c184ba2a4497,2d3c876d3c708a1bb50234328935fcb4a38fddb1115e37803838c184ba2a4497
replay_semantic_failures,PASS,reports/oty2/samples/oty2_gm_rm019_s1_r1_semantic_failures_20260712.csv,b8db82d0f9ae0c166973bd02640573613da0421dbfece5299f1e43fce01f3abb,b8db82d0f9ae0c166973bd02640573613da0421dbfece5299f1e43fce01f3abb
replay_pre_eval_seal,PASS,reports/oty2/samples/oty2_gm_rm019_s1_r1_pre_eval_seal_20260712.csv,17fa1d86d50db4aa6a5d0a9aa1677e23c0d5d033fe59cc72ecfba6916efde6f2,17fa1d86d50db4aa6a5d0a9aa1677e23c0d5d033fe59cc72ecfba6916efde6f2
replay_visual_manifest,PASS,reports/oty2/samples/oty2_gm_rm019_s1_r1_visual_manifest_20260712.csv,5317477f766443bd195ba483c7b015690a10a985625ef888eeda3ec423e852b5,5317477f766443bd195ba483c7b015690a10a985625ef888eeda3ec423e852b5
