hidden_sample_id,physical_vehicle_id,pair_id,frame,observed_bbox,observed_depth,visible_left,visible_right,visible_top,visible_bottom,edge_constraint,degradation_pattern,missing_observation
GM17_HIDDEN_0000,PV_GM17_WHITE_SUV,WGV35A_PAIR_0041,163,"166.957,300.604,255.798,393.916",3.669309,false,true,true,true,left,left,false
GM17_HIDDEN_0001,PV_GM17_WHITE_SUV,WGV35A_PAIR_0044,163,"37.360,300.601,255.807,373.218",3.918228,true,true,true,false,bottom,bottom,false
GM17_HIDDEN_0002,PV_GM17_WHITE_SUV,WGV35A_PAIR_0048,164,"53.175,301.474,156.450,354.801",3.869756,true,false,true,false,right_bottom,right_bottom,false
GM17_HIDDEN_0003,PV_GM17_WHITE_SUV,WGV35A_PAIR_0051,164,"53.175,301.474,270.722,391.752",3.60952,true,true,true,true,none,none,false
GM17_HIDDEN_0004,PV_GM17_WHITE_SUV,WGV35A_PAIR_0053,165,"69.705,300.639,236.213,394.105",3.634565,true,false,true,true,right,right,false
GM17_HIDDEN_0005,PV_GM17_WHITE_SUV,WGV35A_PAIR_0056,165,"111.922,300.639,289.576,384.747",3.868405,false,true,true,false,left_bottom,left_bottom,false
GM17_HIDDEN_0006,PV_GM17_WHITE_SUV,WGV35A_PAIR_0060,166,"140.856,298.794,212.665,391.412",3.750665,false,false,true,true,left_right,left_right,false
GM17_HIDDEN_0007,PV_GM17_WHITE_SUV,WGV35A_PAIR_0063,166,"192.579,298.791,308.149,391.418",3.69318,false,true,true,true,left,left,false
GM17_HIDDEN_0008,PV_GM17_WHITE_SUV,WGV35A_PAIR_0065,167,"101.353,297.246,325.641,354.728",3.901496,true,true,true,false,bottom,bottom,false
GM17_HIDDEN_0009,PV_GM17_WHITE_SUV,WGV35A_PAIR_0068,167,"101.348,297.244,209.127,361.765",4.000362,true,false,true,false,right_bottom,right_bottom,false
GM17_HIDDEN_0010,PV_GM17_WHITE_SUV,WGV35A_PAIR_0073,168,"117.927,296.958,343.083,390.025",3.710856,true,true,true,true,none,none,false
GM17_HIDDEN_0011,PV_GM17_WHITE_SUV,WGV35A_PAIR_0076,168,,,false,false,false,false,missing_1_frame,missing_1_frame,true
GM17_HIDDEN_0012,PV_GM17_WHITE_SUV,WGV35A_PAIR_0079,168,"181.720,296.958,343.083,353.465",3.936866,false,true,true,false,left_bottom,left_bottom,false
GM17_HIDDEN_0013,PV_GM17_WHITE_SUV,WGV35A_PAIR_0082,169,"194.043,294.698,308.226,387.350",3.638117,false,false,true,true,left_right,left_right,false
GM17_HIDDEN_0014,PV_GM17_WHITE_SUV,WGV35A_PAIR_0085,169,"181.574,294.698,361.766,387.351",3.651555,false,true,true,true,left,left,false
GM17_HIDDEN_0015,PV_GM17_WHITE_SUV,WGV35A_PAIR_0087,170,"158.816,292.146,381.395,368.887",3.903079,true,true,true,false,bottom,bottom,false
GM17_HIDDEN_0016,PV_GM17_WHITE_SUV,WGV35A_PAIR_0090,170,"158.829,292.142,238.384,377.198",3.929124,true,false,true,false,right_bottom,right_bottom,false
GM17_HIDDEN_0017,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0086,170,"59.899,318.214,193.336,367.601",3.889975,false,true,true,false,left_bottom,left_bottom,false
GM17_HIDDEN_0018,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0089,170,"75.905,318.216,143.005,381.839",3.744879,false,false,true,true,left_right,left_right,false
GM17_HIDDEN_0019,PV_GM17_WHITE_SUV,WGV35A_PAIR_0094,171,"177.566,292.003,348.496,386.439",3.644598,true,false,true,true,right,right,false
GM17_HIDDEN_0020,PV_GM17_WHITE_SUV,WGV35A_PAIR_0097,171,"321.683,292.002,401.424,346.655",3.977921,false,true,true,false,left_bottom,left_bottom,false
GM17_HIDDEN_0021,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0092,171,"41.355,317.323,209.328,362.912",3.898148,true,true,true,false,bottom,bottom,false
GM17_HIDDEN_0022,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0095,171,"41.351,317.322,118.105,361.694",3.945762,true,false,true,false,right_bottom,right_bottom,false
GM17_HIDDEN_0023,PV_GM17_WHITE_SUV,WGV35A_PAIR_0100,172,"338.344,291.030,421.669,387.645",3.592144,false,true,true,true,left,left,false
GM17_HIDDEN_0024,PV_GM17_WHITE_SUV,WGV35A_PAIR_0103,172,"195.898,291.028,421.668,353.530",3.966368,true,true,true,false,bottom,bottom,false
GM17_HIDDEN_0025,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0098,172,"55.526,317.948,166.677,382.090",3.764102,true,false,true,true,right,right,false
GM17_HIDDEN_0026,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0101,172,"101.932,317.951,224.990,358.025",3.991304,false,true,true,false,left_bottom,left_bottom,false
GM17_HIDDEN_0027,PV_GM17_WHITE_SUV,WGV35A_PAIR_0106,173,"216.152,290.774,441.725,385.915",3.633052,true,true,true,true,none,none,false
GM17_HIDDEN_0028,PV_GM17_WHITE_SUV,WGV35A_PAIR_0109,173,"216.150,290.775,341.883,385.915",3.646047,true,false,true,true,right,right,false
GM17_HIDDEN_0029,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0104,173,"158.629,317.745,241.129,381.699",3.746219,false,true,true,true,left,left,false
GM17_HIDDEN_0030,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0107,173,"72.066,317.748,241.122,360.105",3.92445,true,true,true,false,bottom,bottom,false
GM17_HIDDEN_0031,PV_GM17_WHITE_SUV,WGV35A_PAIR_0112,174,"304.299,287.242,395.547,385.466",3.675906,false,false,true,true,left_right,left_right,false
GM17_HIDDEN_0032,PV_GM17_WHITE_SUV,WGV35A_PAIR_0115,174,"294.400,287.247,463.981,385.466",3.675187,false,true,true,true,left,left,false
GM17_HIDDEN_0033,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0110,174,"87.884,316.959,258.939,381.793",3.670052,true,true,true,true,none,none,false
GM17_HIDDEN_0034,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0113,174,"87.885,316.960,214.838,381.799",3.638157,true,false,true,true,right,right,false
GM17_HIDDEN_0035,PV_GM17_WHITE_SUV,WGV35A_PAIR_0118,175,"256.531,288.128,354.379,370.885",3.837323,true,false,true,false,right_bottom,right_bottom,false
GM17_HIDDEN_0036,PV_GM17_WHITE_SUV,WGV35A_PAIR_0121,175,"256.530,288.134,486.222,387.175",3.684751,true,true,true,true,none,none,false
GM17_HIDDEN_0037,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0116,175,"133.924,317.843,189.493,384.082",3.683438,false,false,true,true,left_right,left_right,false
GM17_HIDDEN_0038,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0119,175,,,false,false,false,false,missing_1_frame,missing_1_frame,true
GM17_HIDDEN_0039,PV_GM17_WHITE_SUV,WGV35A_PAIR_0123,176,"358.374,285.327,506.698,365.112",3.892771,false,true,true,false,left_bottom,left_bottom,false
GM17_HIDDEN_0040,PV_GM17_WHITE_SUV,WGV35A_PAIR_0126,176,"401.751,285.327,445.490,384.274",3.601383,false,false,true,true,left_right,left_right,false
GM17_HIDDEN_0041,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0124,176,"116.934,315.446,218.661,370.961",3.943916,true,false,true,false,right_bottom,right_bottom,false
GM17_HIDDEN_0042,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0127,176,"117.461,315.134,292.100,379.753",3.710884,true,true,true,true,none,none,false
