case_id,response_box_id,sar_frame,error_type,reason,provenance
R2ERR0001,R2B0001,27,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=overlaps_gt_eval_only,eval_only_gt_assisted
R2ERR0002,R2B0002,27,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=overlaps_gt_eval_only,eval_only_gt_assisted
R2ERR0003,R2B0003,28,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0004,R2B0004,28,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0005,R2B0005,29,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0006,R2B0006,29,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0007,R2B0007,30,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0008,R2B0008,30,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0009,R2B0009,31,blind_confirmed_vehicle_miss,blind_confirmed_vehicle_miss: status=unresolved_box; assisted=vehicle_part; gt_relation=overlaps_gt_eval_only,eval_only_gt_assisted
R2ERR0010,R2B0009,31,runtime_blind_vehicle_disagreement,runtime_blind_vehicle_disagreement: status=unresolved_box; assisted=vehicle_part; gt_relation=overlaps_gt_eval_only,eval_only_gt_assisted
R2ERR0011,R2B0010,32,no_error_taxonomy_flag,no_error_taxonomy_flag: status=unresolved_box; assisted=background; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0012,R2B0011,34,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0013,R2B0012,34,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0014,R2B0013,34,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_part; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
