pair_id,physical_vehicle_id,mask_class,method,primary_failure_source,azimuth_error,radial_error,blocked_reason,review_cn
WGV35A_PAIR_0200,PV_GM19_BLACK_SEDAN_NEAR_FIELD,SAR_MASK_S2_CENTER_CENSORED,Z1B_anchorless_track_level_completion,sar_mask_center_semantic_risk,10.556022,135.920695,center_semantics_mask_censored_or_unconfirmed;R2B_recovered_full_state_projects_outside_reconstructed_mask,该样本不能把Z1B预测中心直接与mask内SAR框中心比较；需先做mask求交/区间语义评价。
WGV35A_PAIR_0201,PV_GM19_BLACK_SEDAN_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,Z1B_anchorless_track_level_completion,sar_mask_center_semantic_risk,7.256916,134.249264,center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,该样本不能把Z1B预测中心直接与mask内SAR框中心比较；需先做mask求交/区间语义评价。
WGV35A_PAIR_0202,PV_GM19_BLACK_SEDAN_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,Z1B_anchorless_track_level_completion,sar_mask_center_semantic_risk,2.460619,131.809789,center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,该样本不能把Z1B预测中心直接与mask内SAR框中心比较；需先做mask求交/区间语义评价。
WGV35A_PAIR_0204,PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,Z1B_anchorless_track_level_completion,sar_mask_center_semantic_risk,8.561238,3.259652,center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,该样本不能把Z1B预测中心直接与mask内SAR框中心比较；需先做mask求交/区间语义评价。
WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,Z1B_anchorless_track_level_completion,sar_mask_center_semantic_risk,10.689937,20.151251,center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,该样本不能把Z1B预测中心直接与mask内SAR框中心比较；需先做mask求交/区间语义评价。
WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,Z1B_anchorless_track_level_completion,sar_mask_center_semantic_risk,19.653348,12.944215,center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,该样本不能把Z1B预测中心直接与mask内SAR框中心比较；需先做mask求交/区间语义评价。
WGV35A_PAIR_0207,PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S2_CENTER_CENSORED,Z1B_anchorless_track_level_completion,sar_mask_center_semantic_risk,18.911311,20.427984,center_semantics_mask_censored_or_unconfirmed;sar_bbox_partly_outside_reconstructed_mask,该样本不能把Z1B预测中心直接与mask内SAR框中心比较；需先做mask求交/区间语义评价。
WGV35A_PAIR_0208,PV_GM19_SILVER_MPV_NEAR_FIELD,SAR_MASK_S2_CENTER_CENSORED,Z1B_anchorless_track_level_completion,sar_mask_center_semantic_risk,11.647201,88.687858,center_semantics_mask_censored_or_unconfirmed;sar_bbox_partly_outside_reconstructed_mask,该样本不能把Z1B预测中心直接与mask内SAR框中心比较；需先做mask求交/区间语义评价。
WGV35A_PAIR_0209,PV_GM19_SILVER_MPV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,Z1B_anchorless_track_level_completion,sar_mask_center_semantic_risk,0.682829,15.324659,center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,该样本不能把Z1B预测中心直接与mask内SAR框中心比较；需先做mask求交/区间语义评价。
WGV35A_PAIR_0210,PV_GM19_SILVER_MPV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,Z1B_anchorless_track_level_completion,sar_mask_center_semantic_risk,19.796665,24.71664,center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,该样本不能把Z1B预测中心直接与mask内SAR框中心比较；需先做mask求交/区间语义评价。
WGV35A_PAIR_0211,PV_GM19_SILVER_MPV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,Z1B_anchorless_track_level_completion,sar_mask_center_semantic_risk,19.643154,25.451178,center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,该样本不能把Z1B预测中心直接与mask内SAR框中心比较；需先做mask求交/区间语义评价。
WGV35A_PAIR_0212,PV_GM19_SILVER_MPV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,Z1B_anchorless_track_level_completion,sar_mask_center_semantic_risk,13.069722,13.678981,center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,该样本不能把Z1B预测中心直接与mask内SAR框中心比较；需先做mask求交/区间语义评价。
