exclusivity_review_id,scene,sar_frame_range,optical_frame_range,competing_vehicle_ids,conflicting_response,evidence_for_each_explanation,exclusivity_evidence,current_conclusion,evidence_level,unresolved_reason,evidence_path
GM17_310_PV002_DUP,GM_RM017,310,149,GM_RM017:PV002 vs duplicate PV002 link,two PV002 centers 178.8 px (5.36 m) apart,usable lower/right anchor versus diagnostic upper/left duplicate,later smooth PV002 trajectory follows usable anchor,retain duplicate as GT conflict; do not merge,UNRESOLVED,brightness cannot validate both positions,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_sar_302_386_contact_p01.png
GM17_319_386_THREE_CARS,GM_RM017,319-386,153-185,GM_RM017:PV002;GM_RM017:PV003;GM_RM017:PV004,neighboring weak/strong responses and shared background structures,optical ordering is stable; SAR boxes mostly separate,PV002/PV003/PV004 preserve left-to-right order and different response histories,"responses must be interpreted per identity and lifecycle, not by a common tangent",MULTIFRAME_SUPPORTED,local background can still mix near box edges,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_sar_302_386_contact_p02.png
GM17_335_337_PV003_PV004,GM_RM017,335-337,161-162,GM_RM017:PV003;GM_RM017:PV004,two PV003 boxes at 335-336 become PV003 plus PV004 at 337,main PV003 trajectory remains near white SUV; upper-left trajectory continues to PV004,optical white SUV and trailing dark sedan are simultaneously visible,record as identity-link conflict; no automatic relabel,UNRESOLVED,GT labels conflict during vehicle-entry transition,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p01.png
GM17_387_394_UNLINKED,GM_RM017,387-394,186-189,GM_RM017:PV003;GM_RM017:PV004;UNLINKED,new unlinked box appears near right side while PV003/PV004 remain visible,each explanation has partial spatial continuity,optical vehicle ordering constrains but does not identify the unlinked SAR box,unlinked response remains unassigned,UNRESOLVED,no reliable identity evidence for unlinked box,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p03.png
GM17_429_438_PV004_DUP,GM_RM017,429;438,206;211,GM_RM017:PV004 vs duplicate PV004 link,duplicate centers differ by 158.1 px (4.74 m) and 170.7 px (5.12 m),one usable/high link and one diagnostic/low link at each frame,optical trailing sedan is at right boundary; primary link follows audited quality,use primary only as review anchor; scientific attribution remains unresolved,UNRESOLVED,late lifecycle and boundary truncation plus duplicate GT,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p04.png
GM19_0_4_PV001_DUP,GM_RM019,0;4,0;2,GM_RM019:PV001 vs duplicate PV001 link,two same-ID boxes separated by 6.34 m and 6.26 m,primary usable/high boxes versus diagnostic/low boxes,frame 8 and optical black-sedan trajectory favor primary,retain duplicate as identity conflict,UNRESOLVED,same-frame duplicate links cannot both represent one car,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv001_sar_0_35_contact_p01.png
GM19_5_14_PV001_PV002,GM_RM019,10-30,5-14,GM_RM019:PV001;GM_RM019:PV002,black sedan and white MPV overlap in optical time while SAR has sparse anchors,optical color/shape/order distinguish vehicles,PV001 exits at optical 14; PV002 continues to 43,use lifecycle exclusion to prevent stale PV001 ownership,MULTIFRAME_SUPPORTED,SAR pixels remain mixed with fixed scene structures,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv001_optical_0_14_contact_p01.png
GM19_27_TWO_VEHICLES,GM_RM019,27,13,GM_RM019:PV001;GM_RM019:PV002,two reliable boxes with sparse local returns,both have usable/high GT and distinct optical identities,boxes are spatially separated and optical vehicle colors differ,two vehicles directly present; individual response completeness remains unresolved,DIRECTLY_OBSERVED,local returns do not define complete objects,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_multivehicle_sar_20_60_contact_p01.png
GM19_31_PV002_DUP,GM_RM019,31,15,GM_RM019:PV002 primary; low-confidence duplicate; prior GM_RM019:PV001 trajectory,two PV002-linked boxes separated by 225.0 px (6.75 m),primary continues PV002 anchor; right duplicate is spatially closer to prior PV001 side,optical PV001 has exited while PV002 remains; this conflicts with a stale-PV001 interpretation,primary used as review anchor; duplicate remains unassigned,UNRESOLVED,identity link and lifecycle evidence disagree for duplicate,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_vehicle_coordinate_and_background_risk.png
GM19_32_60_BACKGROUND,GM_RM019,32-60,15-29,GM_RM019:PV002 vs fixed background,"vertical line, fan arcs and hotspots persist through the vehicle passage",PV002 is optically visible but direct SAR GT is absent,background structures remain in scene coordinates and outlive vehicle-specific intervals,do not assign persistent structures to PV002,EXCLUDED,interpolated crop cannot establish pixel ownership,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_multivehicle_sar_20_60_contact_p03.png
GM19_77_90_EXIT,GM_RM019,77-90,37-43,GM_RM019:PV002 vs fixed background,weak exit-side cluster coexists with persistent arcs/lines,usable anchors at 77/81/88 support only sparse local returns,optical vehicle exits at 43; scene structures continue,retain weak vehicle candidate only inside lifecycle; exclude persistent background,MULTIFRAME_SUPPORTED,response object remains incomplete,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_sar_10_90_contact_p03.png
