source_file,source_role,rows_read,used_for,source_status,posthoc_or_runtime_status,notes
docs/OTY2_SESSION_START_HERE.md,required_reading_or_timing_contract,not_csv,"scope boundary, timing semantics, layer separation, or physical-factor interpretation",present,design_context_only,read before generating WGV1.7 artifacts
docs/oty2_sar_physical_factor_modeling_idea_archive.md,required_reading_or_timing_contract,not_csv,"scope boundary, timing semantics, layer separation, or physical-factor interpretation",present,design_context_only,read before generating WGV1.7 artifacts
docs/oty2_temporal_window_to_spatial_constraint_design.md,required_reading_or_timing_contract,not_csv,"scope boundary, timing semantics, layer separation, or physical-factor interpretation",present,design_context_only,read before generating WGV1.7 artifacts
docs/oty2_physical_structure_first_not_weighted_fusion_archive.md,required_reading_or_timing_contract,not_csv,"scope boundary, timing semantics, layer separation, or physical-factor interpretation",present,design_context_only,read before generating WGV1.7 artifacts
reports/oty2/oty2_wgv1_6_small_window_optical_sar_dual_evidence_closure_audit_20260709.md,required_reading_or_timing_contract,not_csv,"scope boundary, timing semantics, layer separation, or physical-factor interpretation",present,design_context_only,read before generating WGV1.7 artifacts
reports/oty2/oty2_software_sync_temporal_contract_20260702_135912.md,required_reading_or_timing_contract,not_csv,"scope boundary, timing semantics, layer separation, or physical-factor interpretation",present,design_context_only,read before generating WGV1.7 artifacts
reports/oty2/oty2_object_sar_temporal_window_contract_20260702_142454.md,required_reading_or_timing_contract,not_csv,"scope boundary, timing semantics, layer separation, or physical-factor interpretation",present,design_context_only,read before generating WGV1.7 artifacts
reports/oty2/oty2_alignment_mode_decision_report_20260702_132945.md,required_reading_or_timing_contract,not_csv,"scope boundary, timing semantics, layer separation, or physical-factor interpretation",present,design_context_only,read before generating WGV1.7 artifacts
reports/oty2/samples/oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv,optical_to_sar_consumption_contract,50,structured WGV1.7 offset scan and conservative mapping decisions,present,posthoc_proxy_or_pre_sar_design_only,source values are not used as runtime priors or annotation decisions
reports/oty2/samples/oty2_wgv1_5c_sar_prior_evidence_ledger_20260709.csv,prior_sar_evidence_ledger,60,structured WGV1.7 offset scan and conservative mapping decisions,present,posthoc_proxy_or_pre_sar_design_only,source values are not used as runtime priors or annotation decisions
reports/oty2/samples/oty2_wgv1_5c_optical_thread_sar_evidence_alignment_20260709.csv,optical_thread_to_prior_sar_alignment,50,structured WGV1.7 offset scan and conservative mapping decisions,present,posthoc_proxy_or_pre_sar_design_only,source values are not used as runtime priors or annotation decisions
reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv,selected_window_input,9,structured WGV1.7 offset scan and conservative mapping decisions,present,posthoc_proxy_or_pre_sar_design_only,source values are not used as runtime priors or annotation decisions
reports/oty2/oty2_azimuth_vehicle_size_shell_audit_20260702_190435.csv,posthoc_azimuth_sector_proxy_source,215,structured WGV1.7 offset scan and conservative mapping decisions,present,posthoc_proxy_or_pre_sar_design_only,source values are not used as runtime priors or annotation decisions
reports/oty2/oty2_azimuth_margin_ablation_20260702_204915.csv,azimuth_margin_context,110,structured WGV1.7 offset scan and conservative mapping decisions,present,posthoc_proxy_or_pre_sar_design_only,source values are not used as runtime priors or annotation decisions
reports/oty2/oty2_azimuth_shift_overlap_triage_20260703_105108.csv,azimuth_shift_risk_context,20,structured WGV1.7 offset scan and conservative mapping decisions,present,posthoc_proxy_or_pre_sar_design_only,source values are not used as runtime priors or annotation decisions
reports/oty2/oty2_feasible_domain_factor_audit_20260702_224649.csv,feasible_domain_factor_context,8,structured WGV1.7 offset scan and conservative mapping decisions,present,posthoc_proxy_or_pre_sar_design_only,source values are not used as runtime priors or annotation decisions
