joint_rule_id,joint_factor_name_cn,component_factors,runtime_observable_requirement,required_association,physical_plausibility_requirement,independent_evidence_requirement,gt_positive_validation_requirement,non_target_negative_contrast_requirement,counterexample_requirement,boundary_or_competition_requirement,permission_requirement,allowed_conclusion,forbidden_conclusion,example_windows,notes
J001,截断支撑缺失解释规则,"near-field truncation factor + support failure feedback + vehicle-scale shell closure","truncation and support field must be defined without GT","runtime state predicts support uncertainty before GT crop is inspected","partial visibility can physically shift or widen expected SAR support","optical state and support geometry must be independent of GT","if GT is used; GT-local morphology must show vehicle-scale structure near miss","nearby support-internal tiny component or background must fail vehicle-scale closure","complete visible counterexample must not trigger the rule","competitor evidence keeps relation blocked when ambiguous","GT can validate miss but cannot redefine support","posthoc explanation of support miss","final box; revised GT; GT-guided support expansion","GM_RM011_WGV14T001; GM_RM011_WGV14T004","strictly explanatory"
J002,可见未框住存在支持规则,"visible-unboxed existence support + SAR vehicle-scale shell + permission blocking","visible optical evidence and detector gap must be observable without SAR GT","SAR evidence may support existence but not identity","incomplete optical box can coexist with vehicle-scale SAR morphology","optical gap and SAR morphology must be separately sourced","GT-local evidence may validate vehicle-like structure","outside-GT background or competitor must not satisfy same shell","visible gap caused by competitor blocks relation","competitor risk must be explicitly checked","permission gate limits conclusion to hypothesis","posthoc existence-support hypothesis only","annotation permission or identity upgrade","dropout_pool; GM_RM011","keeps existence and identity separate"
J003,同色竞争边界保持规则,"same-color competitor risk + boundary preservation + weak optical thread conservativeness","competition or preserved boundary must be visible in optical evidence","candidate relation must cross a known boundary or competitor context","similar vehicles make same-target bridging unsafe","boundary evidence must be independent of SAR overlap","GT may show target morphology but not resolve identity alone","competitor or outside-GT region must be tested for similar cues","single isolated target without competition is counterexample","boundary remains active unless independent boundary evidence closes it","posthoc evidence cannot relax boundary","boundary remains blocked or review-required","same-vehicle relation from overlap","GM_RM011 M005; GM_RM011 M016; GM_RM017 WGV14V004","blocks unsafe bridges"
J004,SAR侧脊时间持续规则,"SAR side-ridge persistence + non-jump SAR temporal drift + background static reflector rejection","SAR evidence stage must be explicitly opened; no SAR GT in construction","ridge and drift must refer to the same local SAR structure","vehicle side return should persist or drift gradually","ridge observation and temporal drift must be independently observed","GT may validate that persistent ridge is vehicle-local","static background ridge or guardrail must be rejected","low-SNR missing frames or static reflector break rule","competitor SAR structure must be checked","GT crop cannot define ridge threshold","posthoc SAR vehicle-structure mechanism support","identity truth or selected SAR box","GM_RM017; GM_RM019","requires negative static-reflector check"
J005,端点热点外壳闭合规则,"endpoint hotspot stability + weak opposite-side return + vehicle-scale shell closure","SAR evidence stage must observe parts before GT validation","endpoint hotspot weak-side return and shell scale must be associated","parts must compose vehicle-scale structure rather than atom cluster","hotspot and weak-side evidence cannot be the same measurement twice","GT may validate part placement inside local vehicle region","nearby isolated peaks and texture blobs must fail part-to-shell relation","single hotspot without shell is counterexample","neighbor vehicle part composition remains competition risk","GT cannot create part labels used in runtime","posthoc part-to-shell support","bright point equals vehicle or final support","SAR-only reference; GM_RM019","prevents atom-to-shell shortcut"
J006,方位距离形态一致规则,"azimuth/range feasible domain + imaging geometry sector + vehicle-scale shell","feasible domain must be constructed from runtime-safe geometry/calibration","domain and shell must intersect without GT-derived center","fan-polar geometry and vehicle size must be physically plausible","geometry and SAR morphology evidence must be independent","GT may validate that vehicle-local structure lies in domain","nearby non-target structure in same domain must fail vehicle morphology","missing calibration blocks promotion","multi-object domain overlap preserves ambiguity","GT center cannot define azimuth or range factor","geometry-supported mechanism explanation","final location or ranked candidate","GM_RM017; GM_RM019","domain is not a selected box"
J007,短间隙时间兼容规则,"optical short-gap continuity + SAR non-jump temporal drift + permission blocking","short gap and optical motion continuity must be runtime observable","SAR drift may support compatibility after SAR evidence stage opens","target should not teleport across optical or SAR time","optical gap and SAR drift are independent evidence streams","GT may validate local SAR persistence through gap","nearby competitor drift or static background must not match","gap across crossing competitor blocks relation","competition state must be preserved","result remains posthoc unless runtime-safe without GT","posthoc dropout or continuity explanation","tracker ID as identity truth","GM_RM011 dropout/no-match pool","useful but conservative"
J008,非目标拒绝闭环规则,"background static reflector rejection + road-edge rejection + GT-positive/non-target-negative contrast","negative comparison regions must be chosen by observable context not by outcome","positive and negative regions must test same proposed mechanism","vehicle-like claim requires rejection of non-vehicle alternatives","negative evidence must be separate from GT-positive evidence","GT may anchor positive crop only after factor exists","road edge guardrail static reflector and background blobs must fail same mechanism","no negative region available defers admission","competitor negatives must be included in crowded scenes","negative examples cannot be mined into runtime thresholds","negative-contrast checked factor","GT-positive-only mechanism proof","all scenes","required gate for admission"
J009,权限泄漏阻断规则,"permission blocking + evidence provenance integrity + GT validation boundary","each component must declare source layer and allowed use","posthoc validation evidence must not feed runtime construction","permission state is a physical graph gate for meaning","provenance labels must independently identify GT/manual/selector/final sources","GT may reveal leakage but cannot rescue the rule","runtime layer must be reproducible without GT-local evidence","missing provenance blocks admission","boundary and competition evidence cannot be overridden by permission failure","blocked source remains blocked","blocked_by_permission or deferred","runtime prior threshold score rank or annotation from posthoc evidence","all scenes","meta-rule for all joint factors"
J010,跨场景稳定 admission 规则,"cross-scene generalization + candidate factor definition + counterexample registry","factor definition must be frozen before scene comparison","same factor must be comparable across scenes","physical explanation must survive scene changes","evidence cannot be retuned per scene from GT","GT may validate transfer posthoc","scene-specific background and competitor negatives must be checked","factor works only after local tuning or GT thresholding","crowded and simple scenes must be separately reported","no GT-derived retuning","candidate for future admitted graph factor","scene patch treated as general law","GM_RM011; GM_RM017; GM_RM019","admission requires frozen definition"
J011,弱光学重叠保守规则,"weak optical thread conservativeness + SAR overlap observation + evidence permission","weak optical status must be known before SAR GT is read","overlap can associate only as posthoc support","weak optical thread lacks identity strength","SAR overlap and optical weakness are not independent proof of identity","GT may show overlap but only validates weak support","nearby competitors and background overlaps must be examined","strong runtime optical evidence later may define a different rule","identity-risk or boundary blocks remain active","GT overlap cannot upgrade weak identity","weak posthoc support only","upgraded identity or final annotation","GM_RM017 WGV14T001-WGV14T003","matches WGV2.2 conservative outcome"
J012,机制支持非标注许可规则,"vehicle-scale shell + positive/negative GT validation + permission blocking","candidate mechanism must be runtime-observable or explicitly posthoc-only","support is mechanism relation not label relation","vehicle-like morphology can explain but not authorize annotation","GT validation and permission gate are independent","GT may validate mechanism support","non-target regions must fail the mechanism","weak GT quality or support miss defers rule","competitors keep annotation blocked","permission gate forbids annotation until later protocol","posthoc mechanism support","SAR-ready annotation; final boxes; revised GT","all scenes","final guardrail rule"
