response_box_id,core_subgraph_id,sar_frame,box_status,core_member_atom_ids,included_optional_atom_ids,excluded_or_uncertain_atom_ids,core_bbox_x1_px,core_bbox_y1_px,core_bbox_x2_px,core_bbox_y2_px,response_bbox_x1_px,response_bbox_y1_px,response_bbox_x2_px,response_bbox_y2_px,bbox_width_px,bbox_height_px,bbox_width_m,bbox_height_m,center_x_m,center_y_m,range_m,azimuth_deg,final_annotation_space
R2B0001,R2C0001,27,vehicle_response_box_possible,R1A0004,R1A0003,R1A0001;R1A0002;R1A0005,1096,1209,1144,1233,1036,1131,1186,1233,150,102,4.5,3.06,33.33,35.46,4.64089,-16.138723,sar_image_pixel_domain
R2B0002,R2C0002,27,vehicle_response_box_possible,R1A0003;R1A0004,R1A0001;R1A0002;R1A0005,,1036,1131,1186,1233,1006,1131,1186,1233,180,102,5.4,3.06,32.88,35.46,4.785536,-21.321178,sar_image_pixel_domain
R2B0003,R2C0003,28,vehicle_response_box_possible,R1A0009,R1A0008,R1A0006;R1A0007,1096,1203,1150,1233,1036,1131,1192,1233,156,102,4.68,3.06,33.42,35.46,4.616683,-15.065724,sar_image_pixel_domain
R2B0004,R2C0004,28,vehicle_response_box_possible,R1A0008;R1A0009,R1A0006;R1A0007,,1036,1131,1192,1233,1006,1131,1192,1233,186,102,5.58,3.06,32.97,35.46,4.753552,-20.310581,sar_image_pixel_domain
R2B0005,R2C0005,29,vehicle_response_box_possible,R1A0012,R1A0011,R1A0010,1096,1203,1156,1245,1042,1131,1192,1245,150,114,4.5,3.42,33.51,35.64,4.419658,-14.545611,sar_image_pixel_domain
R2B0006,R2C0006,29,vehicle_response_box_possible,R1A0011;R1A0012,R1A0010,,1042,1131,1192,1245,1042,1131,1192,1245,150,114,4.5,3.42,33.51,35.64,4.419658,-14.545611,sar_image_pixel_domain
R2B0007,R2C0007,30,vehicle_response_box_possible,R1A0015,R1A0014;R1A0017,R1A0013;R1A0016,1096,1207,1162,1243,1042,1135,1193,1243,151,108,4.53,3.24,33.525,35.67,4.383138,-14.264514,sar_image_pixel_domain
R2B0008,R2C0008,30,vehicle_response_box_possible,R1A0014;R1A0015,R1A0013;R1A0016;R1A0017,,1042,1135,1193,1243,1042,1135,1193,1243,151,108,4.53,3.24,33.525,35.67,4.383138,-14.264514,sar_image_pixel_domain
R2B0009,R2C0009,31,unresolved_box,R1A0020,R1A0019;R1A0021,R1A0018,1042,1225,1060,1243,1042,1135,1193,1243,151,108,4.53,3.24,33.525,35.67,4.383138,-14.264514,sar_image_pixel_domain
R2B0010,R2C0010,32,unresolved_box,R1A0026,R1A0027,R1A0022;R1A0023;R1A0024;R1A0025,1048,1225,1060,1243,1048,1219,1090,1243,42,24,1.26,0.72,32.07,36.93,3.928185,-40.477898,sar_image_pixel_domain
R2B0011,R2C0011,34,vehicle_response_box_possible,R1A0030,R1A0029;R1A0032;R1A0034,R1A0028;R1A0031;R1A0033,1108,1135,1193,1267,1072,1135,1193,1267,121,132,3.63,3.96,33.975,36.03,3.94362,-9.634296,sar_image_pixel_domain
R2B0012,R2C0012,34,vehicle_response_box_possible,R1A0029;R1A0030;R1A0034,R1A0032;R1A0033,R1A0028;R1A0031,1078,1135,1193,1267,1036,1135,1193,1267,157,132,4.71,3.96,33.435,36.03,4.068973,-17.152424,sar_image_pixel_domain
R2B0013,R2C0013,34,vehicle_response_box_possible,R1A0031;R1A0033,R1A0028;R1A0032;R1A0034,R1A0029;R1A0030,952,1153,1072,1243,952,1141,1102,1243,150,102,4.5,3.06,30.81,35.76,5.639597,-42.499218,sar_image_pixel_domain
