scene,node_id,diagnostic_vehicle_id,source_track_id,source_segment_id,frame_start,frame_end,node_type,same_vehicle_fragment_status,box_content_status,appearance_status,usable_for_timeline,risk_tags,reason
GM_RM017,GM_RM017_N001,GM_RM017_V001,bs_0008,GM_RM017__botsort__normalized_active__bs_0008__seg_001,145,185,same_vehicle_fragment,same_vehicle,partial_edge_box_still_on_leading_dark_sedan,downweight_crop_feature,yes,edge_contact;partial_visible;appearance_weak,"Leading dark sedan fragment; same referent inside the track, not a final identity."
GM_RM017,GM_RM017_N002,GM_RM017_V002,bs_0010,GM_RM017__botsort__normalized_active__bs_0010__seg_001,151,200,same_vehicle_fragment,same_vehicle,partial_edge_box_still_on_white_suv,downweight_crop_feature,yes,edge_contact;partial_visible;appearance_weak,White SUV fragment; strongest GM_RM017 same-vehicle referent.
GM_RM017,GM_RM017_N003,GM_RM017_V003,bs_0012,GM_RM017__botsort__normalized_active__bs_0012__seg_001,162,214,same_vehicle_fragment,likely_same_vehicle,partial_edge_box_still_on_trailing_dark_sedan,downweight_crop_feature,yes_weak,edge_contact;partial_visible;similar_dark_vehicle_guard,Trailing dark sedan fragment; keep separate from bs_0008.
GM_RM017,GM_RM017_N004,GM_RM017_V004,bs_0001,GM_RM017__botsort__normalized_active__bs_0001__seg_001,118,164,context_vehicle_fragment,same_vehicle,large_bright_vehicle_box,appearance_not_primary,yes_context,large_vehicle_context;target_relevance_review,Large box/truck-like context vehicle; not promoted to final target.
GM_RM017,GM_RM017_N005,GM_RM017_NONVEHICLE_001,bs_0002,GM_RM017__botsort__normalized_active__bs_0002__seg_001,121,129,non_vehicle_exclusion,not_same_vehicle,non_vehicle_barrier_content,not_applicable,no,non_vehicle;exclude_from_vehicle_timeline,"Foreground barrier or temporary structure, not a vehicle referent."
GM_RM011,GM_RM011_N001,GM_RM011_V001,bs_0015,GM_RM011__botsort__normalized_active__bs_0015__seg_001,13,16,same_vehicle_fragment,same_vehicle,partial_front_side_box,downweight_if_needed,yes,partial_visible;short_gap_endpoint,First segment of the white vehicle front/windshield local chain.
GM_RM011,GM_RM011_N002,GM_RM011_V001,bs_0015,GM_RM011__botsort__normalized_active__bs_0015__seg_002,18,35,same_vehicle_fragment,same_vehicle,partial_front_side_box,downweight_if_needed,yes,partial_visible;short_gap_endpoint,Second segment of the same bs_0015 white vehicle chain.
GM_RM011,GM_RM011_N003,GM_RM011_V002,bs_0061,GM_RM011__botsort__normalized_active__bs_0061__seg_001,262,270,weak_same_vehicle_fragment,possible_same_vehicle,rear_side_to_front_window_transition,appearance_not_comparable,yes_weak,part_state_transition;longer_gap;review,Weak first fragment of the bs_0061 local chain.
GM_RM011,GM_RM011_N004,GM_RM011_V002,bs_0061,GM_RM011__botsort__normalized_active__bs_0061__seg_002,279,281,same_vehicle_fragment,same_vehicle,partial_front_window_box,downweight_if_needed,yes,partial_visible;competitor_excluded,Central white vehicle front/window segment.
GM_RM011,GM_RM011_N005,GM_RM011_V002,bs_0061,GM_RM011__botsort__normalized_active__bs_0061__seg_003,283,292,same_vehicle_fragment,same_vehicle,partial_front_window_box,downweight_if_needed,yes,partial_visible;competitor_excluded,Continuation of central white vehicle front/window segment.
GM_RM011,GM_RM011_N006,GM_RM011_FORBIDDEN_CONTEXT_001,bs_0064,GM_RM011__botsort__normalized_active__bs_0064__seg_001,283,292,forbidden_context_fragment,not_same_vehicle,left_edge_competing_vehicle,appearance_misleading,no,forbidden_bridge;competition,Competing left-edge vehicle used only to block bs_0061 to bs_0064 merge.
GM_RM011,GM_RM011_N007,GM_RM011_FORBIDDEN_CONTEXT_002,bs_0056,GM_RM011__botsort__normalized_active__bs_0056__seg_001,256,261,forbidden_context_fragment,not_same_vehicle,side_window_strip_competition,appearance_misleading,no,forbidden_bridge;part_switch;competition,Source fragment used only to block bs_0056 to bs_0061 bridge.
GM_RM011,GM_RM011_N008,GM_RM011_V003,bs_0029,GM_RM011__botsort__normalized_active__bs_0029__seg_001,135,161,review_fragment,possible_same_vehicle,right_edge_white_vehicle,feature_not_meaningful,review_only,edge_contact;thin_crop_risk,Right-edge white vehicle review fragment.
GM_RM011,GM_RM011_N009,GM_RM011_V003,bs_0029,GM_RM011__botsort__normalized_active__bs_0029__seg_002,164,166,review_fragment,possible_same_vehicle,thin_right_edge_strip,feature_not_meaningful,review_only,edge_contact;thin_crop_risk,Thin edge continuation; review only.
GM_RM011,GM_RM011_N010,GM_RM011_V004,bs_0044,GM_RM011__botsort__normalized_active__bs_0044__seg_002,231,233,weak_same_vehicle_fragment,possible_same_vehicle,upper_side_window_part,appearance_not_comparable,yes_weak,part_state_transition;review,Weak source fragment for bs_0044 to bs_0038 part transition.
GM_RM011,GM_RM011_N011,GM_RM011_V004,bs_0038,GM_RM011__botsort__normalized_active__bs_0038__seg_002,236,245,weak_same_vehicle_fragment,possible_same_vehicle,front_hood_part,appearance_not_comparable,yes_weak,part_state_transition;review,Weak target fragment for bs_0044 to bs_0038 part transition.
GM_RM011,GM_RM011_N012,GM_RM011_V005,bs_0002,GM_RM011__botsort__normalized_active__bs_0002__seg_001,0,4,weak_same_vehicle_fragment,possible_same_vehicle,rear_body_white_suv,appearance_not_comparable,yes_weak,part_state_transition,Weak source fragment for early white SUV relation.
GM_RM011,GM_RM011_N013,GM_RM011_V005,bs_0007,GM_RM011__botsort__normalized_active__bs_0007__seg_001,8,10,weak_same_vehicle_fragment,possible_same_vehicle,upper_window_strip,appearance_not_comparable,yes_weak,part_state_transition,Weak target fragment for early white SUV relation.
