gt_pair_id,gt_instance_id,physical_vehicle_id,energy_support_status,density_contrast_status,component_structure_status,threshold_identity_status,vehicle_projection_envelope_status,rotation_physical_status,region_status,range_center_interval_m,azimuth_center_interval_m,range_extent_interval_m,azimuth_extent_interval_m,background_sensitivity_status,support_factor_count,evidence_note_cn
WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,ENERGY_PLATFORM_SUPPORT,DENSITY_PLATFORM_CONTRAST,COMPONENT_STRUCTURE_STABLE,THRESHOLD_IDENTITY_PERSISTENT,PARTIAL_SUPPORT_BELOW_ENVELOPE,ROTATION_INTERVAL_ONLY,GT_REGION_INTERVAL_IDENTIFIABLE,"[-0.3,0.45]","[-0.3,0.45]","[-0.3,0.3]","[-0.3,0.3]",COUNTERFACTUAL_BACKGROUND_SENSITIVE,4,分因素评价，无加权总分；GT 只作为 SAR 可见响应框评价。
WGV35A_PAIR_0205,317,PV_GM19_WHITE_SUV_NEAR_FIELD,ENERGY_PLATFORM_SUPPORT,DENSITY_GT_LOCAL_CONTRAST,COMPONENT_STRUCTURE_FRAGMENTED_OR_UNSTABLE,THRESHOLD_IDENTITY_UNSTABLE,PARTIAL_SUPPORT_BELOW_ENVELOPE,ROTATION_INTERVAL_ONLY,GT_REGION_INTERVAL_IDENTIFIABLE,"[-0.3,0.45]","[-0.15,0.45]","[-0.3,0.3]","[-0.3,0.3]",COUNTERFACTUAL_BACKGROUND_SENSITIVE,2,分因素评价，无加权总分；GT 只作为 SAR 可见响应框评价。
WGV35A_PAIR_0206,319,PV_GM19_WHITE_SUV_NEAR_FIELD,ENERGY_PLATFORM_SUPPORT,DENSITY_PLATFORM_CONTRAST,COMPONENT_STRUCTURE_STABLE,THRESHOLD_IDENTITY_PERSISTENT,WITHIN_VEHICLE_PROJECTION_ENVELOPE,ROTATION_NOT_IDENTIFIABLE,GT_REGION_INTERVAL_IDENTIFIABLE,"[-0.45,0.45]","[-0.45,0.3]","[-0.3,0.3]","[-0.3,0.3]",COUNTERFACTUAL_BACKGROUND_SENSITIVE,4,分因素评价，无加权总分；GT 只作为 SAR 可见响应框评价。
WGV35A_PAIR_0207,320,PV_GM19_WHITE_SUV_NEAR_FIELD,ENERGY_NOT_DISTINGUISHING,DENSITY_NOT_DISTINGUISHING,COMPONENT_STRUCTURE_STABLE,THRESHOLD_IDENTITY_PERSISTENT,PARTIAL_SUPPORT_BELOW_ENVELOPE,ROTATION_INTERVAL_ONLY,GT_REGION_INTERVAL_IDENTIFIABLE,"[-0.45,0.45]","[-0.45,0.15]","[-0.3,0.3]","[-0.3,0.3]",BACKGROUND_STABLE,2,分因素评价，无加权总分；GT 只作为 SAR 可见响应框评价。
WGV35A_PAIR_0208,323,PV_GM19_SILVER_MPV_NEAR_FIELD,ENERGY_PLATFORM_SUPPORT,DENSITY_PLATFORM_CONTRAST,COMPONENT_STRUCTURE_FRAGMENTED_OR_UNSTABLE,THRESHOLD_IDENTITY_UNSTABLE,PARTIAL_SUPPORT_BELOW_ENVELOPE,ROTATION_NOT_IDENTIFIABLE,GT_REGION_INTERVAL_IDENTIFIABLE,"[-0.3,0.45]","[-0.3,0.45]","[-0.3,0.3]","[-0.3,0.3]",COUNTERFACTUAL_BACKGROUND_SENSITIVE,2,分因素评价，无加权总分；GT 只作为 SAR 可见响应框评价。
WGV35A_PAIR_0209,324,PV_GM19_SILVER_MPV_NEAR_FIELD,ENERGY_PLATFORM_SUPPORT,DENSITY_PLATFORM_CONTRAST,COMPONENT_STRUCTURE_STABLE,THRESHOLD_IDENTITY_PERSISTENT,PARTIAL_SUPPORT_BELOW_ENVELOPE,ROTATION_90_DEG_SWAP_AMBIGUOUS,GT_REGION_PHYSICALLY_DISTINGUISHABLE,"[-0.45,0.45]","[-0.45,0.45]","[-0.3,0.3]","[-0.3,0.3]",BACKGROUND_STABLE,4,分因素评价，无加权总分；GT 只作为 SAR 可见响应框评价。
WGV35A_PAIR_0210,325,PV_GM19_SILVER_MPV_NEAR_FIELD,ENERGY_PLATFORM_SUPPORT,DENSITY_PLATFORM_CONTRAST,COMPONENT_STRUCTURE_STABLE,THRESHOLD_IDENTITY_PERSISTENT,PARTIAL_SUPPORT_BELOW_ENVELOPE,ROTATION_90_DEG_SWAP_AMBIGUOUS,GT_REGION_INTERVAL_IDENTIFIABLE,"[-0.45,0.45]","[-0.45,0.3]","[-0.3,0.3]","[-0.3,0.3]",COUNTERFACTUAL_BACKGROUND_SENSITIVE,4,分因素评价，无加权总分；GT 只作为 SAR 可见响应框评价。
WGV35A_PAIR_0211,326,PV_GM19_SILVER_MPV_NEAR_FIELD,ENERGY_PLATFORM_SUPPORT,DENSITY_PLATFORM_CONTRAST,COMPONENT_STRUCTURE_FRAGMENTED_OR_UNSTABLE,THRESHOLD_IDENTITY_UNSTABLE,PARTIAL_SUPPORT_BELOW_ENVELOPE,ROTATION_90_DEG_SWAP_AMBIGUOUS,GT_REGION_INTERVAL_IDENTIFIABLE,"[-0.45,0.45]","[-0.45,0.3]","[-0.3,0.3]","[-0.3,0.3]",BACKGROUND_STABLE,2,分因素评价，无加权总分；GT 只作为 SAR 可见响应框评价。
WGV35A_PAIR_0212,327,PV_GM19_SILVER_MPV_NEAR_FIELD,ENERGY_PLATFORM_SUPPORT,DENSITY_PLATFORM_CONTRAST,COMPONENT_STRUCTURE_STABLE,THRESHOLD_IDENTITY_PERSISTENT,PARTIAL_SUPPORT_BELOW_ENVELOPE,ROTATION_90_DEG_SWAP_AMBIGUOUS,GT_REGION_INTERVAL_IDENTIFIABLE,"[-0.45,0.45]","[-0.45,0.3]","[-0.3,0.3]","[-0.3,0.3]",COUNTERFACTUAL_BACKGROUND_SENSITIVE,4,分因素评价，无加权总分；GT 只作为 SAR 可见响应框评价。
WGV35A_PAIR_0213,328,PV_GM19_SILVER_MPV_NEAR_FIELD,ENERGY_PLATFORM_SUPPORT,DENSITY_PLATFORM_CONTRAST,COMPONENT_STRUCTURE_STABLE,THRESHOLD_IDENTITY_PERSISTENT,PARTIAL_SUPPORT_BELOW_ENVELOPE,ROTATION_90_DEG_SWAP_AMBIGUOUS,GT_REGION_PHYSICALLY_DISTINGUISHABLE,"[-0.3,0.45]","[-0.45,0.3]","[-0.3,0.3]","[-0.3,0.3]",BACKGROUND_STABLE,4,分因素评价，无加权总分；GT 只作为 SAR 可见响应框评价。
