pair_id,scene,sar_frame,sar_gt_id,sar_center_x,sar_center_y,sar_center_azimuth_deg,sar_center_radial_pixel,sar_azimuth_min,sar_azimuth_max,sar_radial_min,sar_radial_max,sar_azimuth_span,sar_radial_span,sar_geometry_warning
WGV35A_PAIR_0001,GM_RM017,302,95,870.138,1008.476,-41.3871,429.35,-51.0054,-31.1076,362.169,499.259,19.8978,137.09,
WGV35A_PAIR_0002,GM_RM017,310,98,920.89,1010.485,-36.0624,395.997,-48.1363,-22.8881,326.458,472.61,25.2482,146.152,
WGV35A_PAIR_0003,GM_RM017,315,99,790.875,940.529,-42.9511,532.931,-50.9631,-34.3452,460.948,606.95,16.6179,146.002,
WGV35A_PAIR_0004,GM_RM017,315,100,956.45,1010.55,-31.6848,376.109,-44.012,-18.6583,313.228,446.46,25.3537,133.232,
WGV35A_PAIR_0005,GM_RM017,317,101,977.076,1007.111,-28.6753,368.71,-41.3154,-16.1248,312.051,433.701,25.1906,121.65,
WGV35A_PAIR_0006,GM_RM017,317,102,796.483,941.214,-42.5568,528.621,-51.2072,-32.9848,451.048,609.274,18.2224,158.226,
WGV35A_PAIR_0007,GM_RM017,319,103,813.8,939.398,-41.0111,518.435,-49.5807,-31.7423,443.344,595.86,17.8384,152.516,
WGV35A_PAIR_0008,GM_RM017,319,104,982.076,1008.91,-28.1218,364.75,-41.3328,-14.5523,302.275,435.705,26.7805,133.43,
WGV35A_PAIR_0009,GM_RM017,321,105,993.833,1004.75,-26.1758,363.086,-39.4379,-12.8692,300.286,433.809,26.5687,133.523,
WGV35A_PAIR_0010,GM_RM017,321,106,826.984,944.068,-40.2321,506.307,-48.6695,-31.063,435.429,579.88,17.6065,144.451,
WGV35A_PAIR_0011,GM_RM017,323,107,1010.317,1004.063,-23.7505,356.751,-37.2889,-10.439,294.761,426.824,26.8499,132.063,
WGV35A_PAIR_0012,GM_RM017,323,108,835.794,943.748,-39.4391,500.909,-48.6485,-29.306,425.685,579.919,19.3425,154.234,
WGV35A_PAIR_0013,GM_RM017,325,109,1021.685,1008.302,-22.3199,348.401,-35.4822,-9.4163,294.352,411.283,26.0658,116.931,
WGV35A_PAIR_0014,GM_RM017,325,110,853.094,939.369,-37.5648,493.565,-47.8613,-26.5112,414.111,577.611,21.3501,163.5,
WGV35A_PAIR_0015,GM_RM017,327,111,1031.899,1008.267,-20.7469,344.684,-34.3833,-7.5248,289.496,409.155,26.8585,119.659,
WGV35A_PAIR_0016,GM_RM017,327,112,860.089,944.645,-37.2899,485.124,-47.2708,-26.5095,410.545,564.464,20.7613,153.919,
WGV35A_PAIR_0017,GM_RM017,329,113,1047.415,1009.202,-18.347,338.61,-31.8984,-5.6756,287.631,399.088,26.2228,111.458,
WGV35A_PAIR_0019,GM_RM017,330,115,1050.984,1010.79,-17.8546,335.992,-32.881,-3.4894,288.874,397.457,29.3916,108.583,
WGV35A_PAIR_0021,GM_RM017,331,117,890.023,941.182,-34.1324,470.457,-44.7377,-23.1702,399.936,546.707,21.5674,146.77,
WGV35A_PAIR_0022,GM_RM017,331,118,1060.746,1009.975,-16.2171,333.911,-31.1102,-2.4515,289.503,392.507,28.6587,103.004,
WGV35A_PAIR_0023,GM_RM017,332,119,898.926,944.358,-33.4408,462.867,-43.5,-22.8581,396.407,534.633,20.6419,138.227,
WGV35A_PAIR_0024,GM_RM017,332,120,1062.413,1009.621,-15.9254,333.79,-30.7289,-2.2147,290.659,391.214,28.5142,100.556,
WGV35A_PAIR_0025,GM_RM017,333,121,903.311,939.939,-32.6885,464.178,-44.0294,-20.9919,392.681,542.881,23.0375,150.2,
WGV35A_PAIR_0026,GM_RM017,333,122,1073.125,1009.103,-14.1202,331.513,-28.9332,-0.5409,288.219,388.799,28.3922,100.58,
