sar_frame,old_family_count,new_family_count,old_member_count,new_member_count,overmerged_old_family_ids,split_new_family_ids,old_spatially_distinct_members_in_same_family,new_spatially_distinct_members_in_same_family,old_arbitrary_representative_bbox,new_family_boundary_status,change_reason_cn
27,1,5,6,6,R21F00001,R21R1F00001;R21R1F00002;R21R1F00003;R21R1F00004;R21R1F00005,0,0,"1006,1131,1018,1137",common_core_only:1;single_consensus_bbox:4,R2.1-R1 不继承旧 family 身份，按 response-box 成员两两空间一致性重建族边界。
28,1,4,5,5,R21F00002,R21R1F00006;R21R1F00007;R21R1F00008;R21R1F00009,0,0,"1006,1131,1024,1143",common_core_only:1;single_consensus_bbox:3,R2.1-R1 不继承旧 family 身份，按 response-box 成员两两空间一致性重建族边界。
29,1,3,4,4,R21F00003,R21R1F00010;R21R1F00011;R21R1F00012,0,0,"1042,1131,1192,1197",common_core_only:1;single_consensus_bbox:2,R2.1-R1 不继承旧 family 身份，按 response-box 成员两两空间一致性重建族边界。
30,1,5,8,8,R21F00004,R21R1F00013;R21R1F00014;R21R1F00015;R21R1F00016;R21R1F00017,0,0,"1042,1131,1193,1197",common_core_only:2;single_consensus_bbox:3,R2.1-R1 不继承旧 family 身份，按 response-box 成员两两空间一致性重建族边界。
31,1,3,8,8,R21F00005,R21R1F00018;R21R1F00019;R21R1F00020,0,0,"1042,1135,1114,1243",common_core_only:1;single_consensus_bbox:2,R2.1-R1 不继承旧 family 身份，按 response-box 成员两两空间一致性重建族边界。
32,1,6,8,8,R21F00006,R21R1F00021;R21R1F00022;R21R1F00023;R21R1F00024;R21R1F00025;R21R1F00026,1,0,"1048,1165,1072,1177",multiple_valid_bbox_variants:1;single_consensus_bbox:5,R2.1-R1 不继承旧 family 身份，按 response-box 成员两两空间一致性重建族边界。
34,1,7,8,8,R21F00007,R21R1F00027;R21R1F00028;R21R1F00029;R21R1F00030;R21R1F00031;R21R1F00032;R21R1F00033,1,0,"1018,1141,1042,1159",common_core_only:1;single_consensus_bbox:6,R2.1-R1 不继承旧 family 身份，按 response-box 成员两两空间一致性重建族边界。
39,1,5,8,8,R21F00008,R21R1F00034;R21R1F00035;R21R1F00036;R21R1F00037;R21R1F00038,1,0,"1048,1165,1192,1276",common_core_only:2;single_consensus_bbox:3,R2.1-R1 不继承旧 family 身份，按 response-box 成员两两空间一致性重建族边界。
40,2,5,6,6,R21F00009,R21R1F00039;R21R1F00040;R21R1F00041;R21R1F00042;R21R1F00043,1,0,"1054,1207,1108,1237 | 994,1135,1090,1159",common_core_only:1;single_consensus_bbox:4,R2.1-R1 不继承旧 family 身份，按 response-box 成员两两空间一致性重建族边界。
46,1,1,1,1,,R21R1F00044,0,0,"1030,1135,1193,1255",single_consensus_bbox:1,R2.1-R1 不继承旧 family 身份，按 response-box 成员两两空间一致性重建族边界。
52,1,2,4,4,R21F00012,R21R1F00045;R21R1F00046,0,0,"1024,1135,1193,1189",common_core_only:1;single_consensus_bbox:1,R2.1-R1 不继承旧 family 身份，按 response-box 成员两两空间一致性重建族边界。
60,2,2,2,2,,R21R1F00047;R21R1F00048,0,0,"1126,1207,1186,1243 | 1162,1249,1192,1267",single_consensus_bbox:2,R2.1-R1 不继承旧 family 身份，按 response-box 成员两两空间一致性重建族边界。
77,1,6,8,8,R21F00015,R21R1F00049;R21R1F00050;R21R1F00051;R21R1F00052;R21R1F00053;R21R1F00054,0,0,"1146,1133,1266,1163",common_core_only:1;single_consensus_bbox:5,R2.1-R1 不继承旧 family 身份，按 response-box 成员两两空间一致性重建族边界。
78,1,6,7,7,R21F00016,R21R1F00055;R21R1F00056;R21R1F00057;R21R1F00058;R21R1F00059;R21R1F00060,1,0,"1146,1247,1164,1271",multiple_valid_bbox_variants:1;single_consensus_bbox:5,R2.1-R1 不继承旧 family 身份，按 response-box 成员两两空间一致性重建族边界。
79,1,6,8,8,R21F00017,R21R1F00061;R21R1F00062;R21R1F00063;R21R1F00064;R21R1F00065;R21R1F00066,1,0,"1146,1247,1164,1271",common_core_only:2;single_consensus_bbox:4,R2.1-R1 不继承旧 family 身份，按 response-box 成员两两空间一致性重建族边界。
80,1,6,8,8,R21F00018,R21R1F00067;R21R1F00068;R21R1F00069;R21R1F00070;R21R1F00071;R21R1F00072,1,0,"1146,1133,1266,1163",common_core_only:1;single_consensus_bbox:5,R2.1-R1 不继承旧 family 身份，按 response-box 成员两两空间一致性重建族边界。
81,1,4,5,5,R21F00019,R21R1F00073;R21R1F00074;R21R1F00075;R21R1F00076,0,0,"1176,1181,1260,1271",common_core_only:1;single_consensus_bbox:3,R2.1-R1 不继承旧 family 身份，按 response-box 成员两两空间一致性重建族边界。
212,1,1,3,3,R21F00020,R21R1F00077,0,0,"1005,1210,1023,1240",common_core_only:1,R2.1-R1 不继承旧 family 身份，按 response-box 成员两两空间一致性重建族边界。
213,1,3,4,4,R21F00021,R21R1F00078;R21R1F00079;R21R1F00080,0,0,"1005,1210,1023,1246",multiple_valid_bbox_variants:1;single_consensus_bbox:2,R2.1-R1 不继承旧 family 身份，按 response-box 成员两两空间一致性重建族边界。
216,1,1,3,3,R21F00022,R21R1F00081,0,0,"1017,1216,1035,1240",common_core_only:1,R2.1-R1 不继承旧 family 身份，按 response-box 成员两两空间一致性重建族边界。
