gate_name,status,detail,source_file,sha256,row_count
PROJECT_CONFIRMED_CALIBRATION_APPLIED,PASS,PROJECT_CONFIRMED constants applied,reports/oty2/samples/oty2_gm_rm019_s1_r1_axis_observations_20260712.csv,17aa557e3a5c13e6d96a494c3a42a4250facaa9839fc551897737c518000eea2,215
GT_NOT_READ_DURING_GENERATION,PASS,gt_file_opened=false,,,
PAIRED_ANNOTATIONS_NOT_READ_DURING_GENERATION,PASS,paired_annotations_opened=false,,,
MASK_AUDIT_NOT_READ_DURING_GENERATION,PASS,mask_audit_opened=false,,,
RAW_EIGENVECTOR_USED_FOR_RELATIVE_AXIS,PASS,raw eigenvector canonical line stored before relative angle,,,
IMAGE_AXIS_RANGE_IS_0_180,PASS,image_axis_count=215,,,
SIGNED_AXIS_RANGE_IS_MINUS90_TO90,PASS,signed_axis_count=215,,,
ACUTE_AXIS_RANGE_IS_0_TO90,PASS,acute_axis_count=215,,,
RANGE_AZIMUTH_ACUTE_COMPLEMENT_VALID,PASS,max_error=0,,,
NEAR_ISOTROPIC_AXIS_NOT_OVERINTERPRETED,PASS,near-isotropic rows have explicit status,,,
YAW_TERM_REMOVED_FROM_STATIC_OUTPUT,PASS,"static S1-R1 fields use aspect angle, not yaw",,,
ASPECT_ANGLE_RANGE_IS_0_TO90,PASS,aspect_count=215,,,
VEHICLE_SCALE_USED_AS_ENVELOPE_NOT_EXACT_TARGET,PASS,vehicle scale note records envelope semantics,,,
MISSING_SUPPORT_AND_EXTRA_SPREAD_SEPARATED,PASS,missing support and extra spread columns present,,,
THRESHOLD_COMPONENT_IDENTITY_TRACKED,PASS,component_rows=645 transition_rows=430,,,
COUNTERFACTUALS_REMEASURE_REAL_SAR,PASS,measurement_rows=9675 expected=9675,,,
NO_PROXY_COUNTERFACTUAL_DELTA_FIELDS_USED_AS_RESULT,PASS,proxy_formula_used=false for all rows,,,
ROTATION_COUNTERFACTUALS_PRESENT,PASS,rotation measurements present,,,
INDEPENDENT_GEOMETRY_DEDUP_VALID,PASS,response_unit_level=250 independent_geometry_level=215,,,
FROZEN_REPLAY_IDENTICAL,PASS,replay_rows=10,,,
NO_SELECTOR_OUTPUT,PASS,no selector/ranking output names,,,
NO_FINAL_BOX_OUTPUT,PASS,no final-box/runtime output names,,,
S2_GT_EVALUATION_NOT_EXECUTED,PASS,S2 not executed; forbidden status terms absent,,,
axis_45_vs_135_not_collapsed,PASS,synthetic angle test passed,,,
axis_v_and_minus_v_equivalent,PASS,synthetic axis sign equivalence passed,,,
rotation_180_equivalent_to_0,PASS,synthetic 180 equivalence passed,,,
rotation_90_long_short_swap_recorded,PASS,synthetic projection swap passed,,,
VISUAL_REVIEW_PACKAGE_READY,PASS,visual_rows=12; files under outputs/,,,
