scene,edge_id,from_node,to_node,edge_type,same_vehicle_judgement,connection_strength,visual_basis,method_failure_layer,recommended_action,forbidden_reason,can_merge_for_visualization,can_support_sar_later,reason
GM_RM011,GM_RM011_E001,GM_RM011_N001,GM_RM011_N002,strong_same_vehicle_edge,same_vehicle,strong,Same white vehicle front and windshield continue across a short gap.,box_layer;crop_layer;track_id_layer,connect_window,,yes,yes_soft_prior_later,Strong local diagnostic edge only; not a final identity merge.
GM_RM011,GM_RM011_E002,GM_RM011_N004,GM_RM011_N005,strong_same_vehicle_edge,same_vehicle,strong,Central white vehicle front and windshield continue; left-edge neighbor is separable.,box_layer;crop_layer;window_connection_layer,connect_window,,yes,yes_soft_prior_later,Strong local edge with competitor-exclusion note.
GM_RM011,GM_RM011_E003,GM_RM011_N003,GM_RM011_N004,weak_same_vehicle_edge,possible_same_vehicle,weak,"Same white vehicle is plausible, but the visible part changes from rear/side to front/window over a longer gap.",box_layer;crop_layer;feature_layer;window_connection_layer,weak_connect_only,,weak_label_only,review_before_sar,Weak diagnostic edge; do not direct-merge track identity.
GM_RM011,GM_RM011_E004,GM_RM011_N008,GM_RM011_N009,weak_same_vehicle_edge,possible_same_vehicle,review_only,"Right-edge white vehicle may continue, but the successor crop is too thin.",box_layer;crop_layer,manual_review,,no_auto_merge,no_until_review,Review-only edge; too little visible vehicle area.
GM_RM011,GM_RM011_E005,GM_RM011_N010,GM_RM011_N011,weak_same_vehicle_edge,possible_same_vehicle,weak,Plausible upper side/window to front/hood part transition.,box_layer;crop_layer;feature_layer,weak_connect_only,,weak_label_only,review_before_sar,Weak part-transition edge.
GM_RM011,GM_RM011_E006,GM_RM011_N012,GM_RM011_N013,weak_same_vehicle_edge,possible_same_vehicle,weak,Plausible white SUV rear/body to upper-window part transition.,box_layer;crop_layer;feature_layer,weak_connect_only,,weak_label_only,review_before_sar,Weak early-scene part-transition edge.
GM_RM017,GM_RM017_E001,GM_RM017_N001,GM_RM017_N003,forbidden_edge,not_same_vehicle,forbidden,"Dense frames show two separate dark sedans, not one target.",window_connection_layer;feature_layer,forbid_connection,similar dark-car appearance would create a false merge,no,no,Forbidden false-merge guard between leading and trailing dark sedans.
GM_RM011,GM_RM011_E007,GM_RM011_N003,GM_RM011_N006,forbidden_edge,not_same_vehicle,forbidden,Successor box falls on a left-edge competing vehicle while the central white car remains separate.,box_layer;window_connection_layer;track_id_layer,forbid_connection,competitor explains successor better,no,no,Forbidden bs_0061 to bs_0064 bridge.
GM_RM011,GM_RM011_E008,GM_RM011_N007,GM_RM011_N003,forbidden_edge,not_same_vehicle,forbidden,Side/window strip switches to left-edge rear fragment or competing region.,crop_layer;window_connection_layer;feature_layer,forbid_connection,competition cannot be excluded,no,no,Forbidden proximity/appearance bridge.
GM_RM017,GM_RM017_E002,GM_RM017_N005,GM_RM017_N005,non_vehicle_exclusion,not_same_vehicle,excluded,"Box follows a foreground barrier or temporary structure, not a vehicle.",box_layer;track_id_layer,manual_review,non_vehicle_box_content,no,no,Unary exclusion edge for non-vehicle track content.
