scene_id,optical_frame_num,candidate_node_id,detector_source,source_detection_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,display_label,display_status,risk_tags,bbox_semantics,reason
GM_RM011,0,GM_RM011_Y26N001,yolo26l,GM_RM011_000000_001,car,0.915507,4.132,292.040,493.018,597.389,GM_RM011_Y26N001,diagnostic_body_candidate,large_lower_vehicle_body_proxy;multi_box_competition,existing_yolo26l_detection_for_diagnostic_render_only_not_final_box,"Early white SUV rear/body candidate; diagnostic only, not final box, not SAR-ready."
GM_RM011,1,GM_RM011_Y26N001,yolo26l,GM_RM011_000001_001,car,0.914152,3.125,289.141,505.305,597.294,GM_RM011_Y26N001,diagnostic_body_candidate,large_lower_vehicle_body_proxy;multi_box_competition,existing_yolo26l_detection_for_diagnostic_render_only_not_final_box,"Early white SUV rear/body candidate; diagnostic only, not final box, not SAR-ready."
GM_RM011,2,GM_RM011_Y26N001,yolo26l,GM_RM011_000002_001,car,0.933461,3.295,279.753,519.276,596.977,GM_RM011_Y26N001,diagnostic_body_candidate,large_lower_vehicle_body_proxy;multi_box_competition,existing_yolo26l_detection_for_diagnostic_render_only_not_final_box,"Early white SUV rear/body candidate; diagnostic only, not final box, not SAR-ready."
GM_RM011,3,GM_RM011_Y26N001,yolo26l,GM_RM011_000003_001,car,0.922680,2.344,242.918,525.607,597.111,GM_RM011_Y26N001,diagnostic_body_candidate,large_lower_vehicle_body_proxy;multi_box_competition,existing_yolo26l_detection_for_diagnostic_render_only_not_final_box,"Early white SUV rear/body candidate; diagnostic only, not final box, not SAR-ready."
GM_RM011,4,GM_RM011_Y26N001,yolo26l,GM_RM011_000004_001,car,0.889553,3.366,199.798,559.398,594.920,GM_RM011_Y26N001,diagnostic_body_candidate,large_lower_vehicle_body_proxy;multi_box_competition,existing_yolo26l_detection_for_diagnostic_render_only_not_final_box,"Early white SUV rear/body candidate; diagnostic only, not final box, not SAR-ready."
GM_RM011,8,GM_RM011_Y26N002,yolo26l,GM_RM011_000008_001,car,0.870576,9.065,309.388,604.393,597.619,GM_RM011_Y26N002,diagnostic_body_candidate_review,large_lower_vehicle_body_proxy,existing_yolo26l_detection_for_diagnostic_render_only_not_final_box,YOLO26l upgrades baseline upper-window strip into body-visible candidate; needs human review.
GM_RM011,9,GM_RM011_Y26N002,yolo26l,GM_RM011_000009_001,car,0.844331,8.623,306.670,603.278,597.894,GM_RM011_Y26N002,diagnostic_body_candidate_review,large_lower_vehicle_body_proxy;multi_box_competition,existing_yolo26l_detection_for_diagnostic_render_only_not_final_box,YOLO26l upgrades baseline upper-window strip into body-visible candidate; needs human review.
GM_RM011,10,GM_RM011_Y26N002,yolo26l,GM_RM011_000010_001,car,0.808237,194.812,283.987,785.550,596.387,GM_RM011_Y26N002,diagnostic_body_candidate_review,large_lower_vehicle_body_proxy;multi_box_competition,existing_yolo26l_detection_for_diagnostic_render_only_not_final_box,YOLO26l upgrades baseline upper-window strip into body-visible candidate; needs human review.
GM_RM011,13,GM_RM011_Y26N003,yolo26l,GM_RM011_000013_001,car,0.790670,169.602,253.026,772.916,597.579,GM_RM011_Y26N003,diagnostic_body_candidate,large_lower_vehicle_body_proxy;multi_box_competition,existing_yolo26l_detection_for_diagnostic_render_only_not_final_box,Short strong-edge source candidate for white vehicle front/windshield.
GM_RM011,14,GM_RM011_Y26N003,yolo26l,GM_RM011_000014_001,car,0.860781,216.216,263.124,795.807,597.319,GM_RM011_Y26N003,diagnostic_body_candidate,large_lower_vehicle_body_proxy;multi_box_competition,existing_yolo26l_detection_for_diagnostic_render_only_not_final_box,Short strong-edge source candidate for white vehicle front/windshield.
GM_RM011,15,GM_RM011_Y26N003,yolo26l,GM_RM011_000015_001,car,0.817912,234.055,276.684,796.445,596.129,GM_RM011_Y26N003,diagnostic_body_candidate,large_lower_vehicle_body_proxy;multi_box_competition,existing_yolo26l_detection_for_diagnostic_render_only_not_final_box,Short strong-edge source candidate for white vehicle front/windshield.
GM_RM011,16,GM_RM011_Y26N003,yolo26l,GM_RM011_000016_001,car,0.849294,242.751,288.467,795.159,596.521,GM_RM011_Y26N003,diagnostic_body_candidate,large_lower_vehicle_body_proxy,existing_yolo26l_detection_for_diagnostic_render_only_not_final_box,Short strong-edge source candidate for white vehicle front/windshield.
GM_RM011,18,GM_RM011_Y26N004,yolo26l,GM_RM011_000018_001,car,0.903605,246.353,303.279,795.362,596.939,GM_RM011_Y26N004,diagnostic_body_candidate,large_lower_vehicle_body_proxy,existing_yolo26l_detection_for_diagnostic_render_only_not_final_box,"Short strong-edge target candidate; baseline already usable, YOLO26l is review support."
GM_RM011,19,GM_RM011_Y26N004,yolo26l,GM_RM011_000019_001,car,0.811309,248.712,284.470,796.694,596.891,GM_RM011_Y26N004,diagnostic_body_candidate,large_lower_vehicle_body_proxy;multi_box_competition,existing_yolo26l_detection_for_diagnostic_render_only_not_final_box,"Short strong-edge target candidate; baseline already usable, YOLO26l is review support."
GM_RM011,20,GM_RM011_Y26N004,yolo26l,GM_RM011_000020_001,car,0.862631,251.774,233.568,796.216,598.160,GM_RM011_Y26N004,diagnostic_body_candidate,large_lower_vehicle_body_proxy;multi_box_competition,existing_yolo26l_detection_for_diagnostic_render_only_not_final_box,"Short strong-edge target candidate; baseline already usable, YOLO26l is review support."
