gate_id,gate_name,status,detail,source_file,sha256,row_count
G001,input_hash_local_response_units,PASS,frozen input present and hashed,reports/oty2/samples/oty2_wgv3_6a_a1_8a_r2_1_r1_1_local_response_units_20260711.csv,83a62fb7ca01e91270c5c64ea63997b5676259ccfb5d22c3e8e789d37bdcaf64,250
G002,input_hash_boundary_variant_families,PASS,frozen input present and hashed,reports/oty2/samples/oty2_wgv3_6a_a1_8a_r2_1_r1_1_boundary_variant_families_20260711.csv,f76cc9d4caefa98310ac843116b9e1283073b3a18715630243a66346f30016ac,176
G003,input_hash_response_unit_gt_instance_matrix,PASS,frozen input present and hashed,reports/oty2/samples/oty2_wgv3_6a_a1_8a_r2_1_r1_1_response_unit_gt_instance_matrix_20260711.csv,cdbe1efbc5e36a31c3341eba32da9fff182c8c7b670155f08a3cdbeda9e02873,63
G004,input_hash_boundary_family_gt_instance_matrix,PASS,frozen input present and hashed,reports/oty2/samples/oty2_wgv3_6a_a1_8a_r2_1_r1_1_boundary_family_gt_instance_matrix_20260711.csv,0a2e0ee00ca0112884613f4ebea7e9f5325adb38e7283d6652f32c2210ffa9fb,45
G005,input_hash_background_counterexamples,PASS,frozen input present and hashed,reports/oty2/samples/oty2_wgv3_6a_a1_8a_r2_1_background_counterexamples_20260711.csv,ef831956cc1e6ecea4510441209d7325c9132ed8238c121534038d573ef24043,46
G006,input_hash_vehicle_structure_hypothesis,PASS,frozen input present and hashed,reports/oty2/samples/oty2_wgv3_6a_a1_8a_vehicle_structure_hypothesis_20260711.csv,2cfd5efb832a0e7279ee1d24a9a802d57ab7694ffc7e635f70960f9ae86398da,40
G007,input_hash_mask_observation_audit,PASS,frozen input present and hashed,reports/oty2/samples/oty2_wgv3_5a_r2c_gm019_mask_observation_audit_20260711.csv,738c723f2ec03d53fdf67155ae8378ad204a61316eb5c9065cbcfe6a2110c22a,16
G008,input_hash_paired_annotations,PASS,frozen input present and hashed,reports/oty2/samples/oty2_wgv3_5a_paired_annotations_20260710.csv,54c558f1308629f4be349dedf9618803b8b3d99eed845dffa370c47d7ec9203d,204
G009,input_hash_atom_graph_nodes,PASS,frozen input present and hashed,reports/oty2/samples/oty2_wgv3_6a_a1_8a_r2_1_atom_graph_nodes_20260711.csv,5dbce3dfb3567df40e63a21d9557c69e431f1dcaf0081fe22aa1a92e5f4c5192,184
G010,input_hash_response_box_hypotheses,PASS,frozen input present and hashed,reports/oty2/samples/oty2_wgv3_6a_a1_8a_r2_1_response_box_hypotheses_20260711.csv,b0102c04730d44a67f17f517e9942afb0e902da92084879a0b18b2eaf1fed209,250
G011,all_units_represented,PASS,represented=250 expected=250,,,
G012,measurement_rows_stable,PASS,rows=500 expected=500,,,
G013,positive_group_present,PASS,count=47,,,
G014,background_group_present,PASS,count=129,,,
G015,boundary_group_present,PASS,count=142,,,
G016,statistics_recomputable_from_measurements,PASS,evaluate reads object-level CSV,,,
G017,counterexamples_preserved,PASS,rows=9,,,
G018,forbidden_artifact_names_absent,PASS,no selector/ranking/final/revised/runtime artifact output names,,,
